Another	Another	j-jn	Another	another	0
voyage	voyage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Iles	Iles	n2	Isles	isle	0
of	of	pp-f	of	of	0
Candia	Candia	np1	Candia	Candia	0
and	and	cc	and	and	0
Chio	Chio	np1	Chio	Chio	0
made	made	vvd	made	make	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
shippe	shippe	n1	ship	ship	0
the	the	dt	the	the	0
Mathew	Mathew	np1	Mathew	Matthew	0
Gonson	Gonson	np1	Gonson	Gonson	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1535	1535	crd	1535	1535	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
relation	relation	n1	relation	relation	0
of	of	pp-f	of	of	0
John	John	np1	John	John	0
Williamson	Williamson	np1	Williamson	Williamson	0
,	,	,	,	,	0
then	then	cs	then	than	0
Cooper	Cooper	np1	Cooper	Cooper	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
made	made	vvn	made	make	0
to	to	p-acp	to	to	0
M.	M.	n1	M.	m.	0
Richard	Richard	np1	Richard	Richard	0
Hackluit	Hackluit	np1	Hackluit	Hackluit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1592.	1592.	crd	1592.	1592.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Mathew	Mathew	np1	Mathew	Matthew	0
Gonson	Gonson	np1	Gonson	Gonson	0
goeth	goeth	vvz	goes	go	0
into	into	p-acp	into	into	0
Turkie	Turkie	n1	Turkey	turquoise	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
good	good	j	good	good	0
shippe	shippe	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Mathew	Mathew	np1	Mathew	Matthew	0
Gonson	Gonson	np1	Gonson	Gonson	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
burden	burden	n1	burden	burden	0
300	300	crd	300	300	0
tunnes	tunnes	n2	tons	ton	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
was	was	vbds	was	be	0
owner	owner	n1	owner	owner	0
old	old	j	old	old	0
M.	M.	n1	M.	m.	0
William	William	np1	William	William	0
Gonson	Gonson	np1	Gonson	Gonson	0
,	,	,	,	,	0
paymaster	paymaster	n1	paymaster	paymaster	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
Navie	Navie	n1	Navy	navy	0
,	,	,	,	,	0
made	made	vvd	made	make	0
her	her	po31	her	her	0
voyage	voyage	n1	voyage	voyage	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
153	153	crd	153	153	0
5.	5.	crd	5.	5.	1
In	In	p-acp	In	in	0
this	this	d	this	this	0
ship	ship	n1	ship	ship	0
