A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
Master	Master	n1	Master	master	0
William	William	np1	William	William	0
Hareborne	Hareborne	vvn	Hareborne	hareborne	0
,	,	,	,	,	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
,	,	,	,	,	0
Ligier	Ligier	np1	Ligier	Ligier	0
in	in	p-acp	in	in	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Bassa	Bassa	n1	Bassa	bassa	0
Romadan	Romadan	np1	Romadan	Romadan	0
,	,	,	,	,	0
the	the	dt	the	the	0
Beglerbeg	Beglerbeg	np1	Beglerbeg	Beglerbeg	0
of	of	pp-f	of	of	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
in	in	p-acp	in	in	0
Barbarie	Barbarie	np1	Barbarie	Barbary	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
restoring	restoring	j-vvg	restoring	restore	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
English	English	jp	English	english	0
shippe	shippe	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
men	men	n2	men	man	0
,	,	,	,	,	0
detained	detained	vvn	detained	detain	0
as	as	p-acp	as	as	0
slaves	slaves	n2	slaves	slave	0
,	,	,	,	,	0
Anno	Anno	fw-la	Anno	anno	0
1585	1585	crd	1585	1585	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
317	317	crd	317	317	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
[	[	[	[	[	0
II.	II.	crd	II	ii	0
i	i	sy	i	i	0
.	.	.	.	.	1
194.	194.	crd	194.	194.	0
]	]	]	]	]	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Right	Right	av-jn	Right	right	0
honourable	honourable	j	honourable	honourable	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
signified	signified	vvn	signified	signify	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
by	by	p-acp	by	by	0
