A	A	dt	A	a	0
description	description	n1	description	description	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
yeerely	yeerely	j	yearly	yearly	0
voyage	voyage	n1	voyage	voyage	0
or	or	cc	or	or	0
pilgrimage	pilgrimage	n1	pilgrimage	pilgrimage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mahumitans	Mahumitans	njp2	Mahumitans	mahumitans	0
,	,	,	,	,	0
Turkes	Turkes	np2	Turkes	Turk	0
and	and	cc	and	and	0
Moores	Moores	n2	Moors	moor	0
unto	unto	p-acp	unto	unto	0
Mecca	Mecca	np1	Mecca	Mecca	0
in	in	p-acp	in	in	0
Arabia	Arabia	np1	Arabia	Arabia	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Lexandria	Lexandria	np1	Lexandria	Lexandria	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
ancient	ancient	j	ancient	ancient	0
citie	citie	n1	city	city	0
in	in	p-acp	in	in	0
Africa	Africa	np1	Africa	Africa	0
situated	situated	vvn	situated	situate	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
seaside	seaside	n1	seaside	seaside	0
containeth	containeth	vvz	containeth	contain	0
seven	seven	crd	seven	seven	0
miles	miles	n2	miles	mile	0
in	in	p-acp	in	in	0
circuite	circuite	n1	circuit	circuit	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
environed	environed	vvn	environed	environ	0
with	with	p-acp	with	with	0
two	two	crd	two	two	0
walles	walles	n2	walls	wall	0
one	one	crd	one	one	0
neere	neere	j	near	near	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
with	with	p-acp	with	with	0
high	high	j	high	high	0
towers	towers	n2	towers	tower	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
walles	walles	n2	walls	wall	0
within	within	a-acp	within	within	0
be	be	vbb	be	be	0
farre	farre	av-j	far	far	0
higher	higher	jc	higher	high	0
then	then	cs	then	than	0
those	those	d	those	those	0
without	without	p-acp	without	without	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
great	great	j	great	great	0
ditch	ditch	n1	ditch	ditch	0
round	round	av-j	round	round	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
this	this	d	this	this	0
Citie	Citie	n1	City	city	0
very	very	av	very	very	0
329	329	crd	329	329	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
strong	strong	j	strong	strong	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
antiquitie	antiquitie	n1	antiquity	antiquity	0
,	,	,	,	,	0
being	being	vbg	being	be	0
almost	almost	av	almost	almost	0
halfe	halfe	av-jn	half	half	0
destroyed	destroyed	vvn	destroyed	destroy	0
and	and	cc	and	and	0
ruinated	ruinated	vvn	ruinated	ruinate	0
.	.	.	.	.	1
The	The	dt	The	the	0
greatnesse	greatnesse	n1	greatness	greatness	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Citie	Citie	n1	City	city	0
is	is	vbz	is	be	0
such	such	d	such	such	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
of	of	pp-f	of	of	0
double	double	j-jn	double	double	0
habitation	habitation	n1	habitation	habitation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
compassed	compassed	vvn	compassed	compass	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
double	double	j-jn	double	double	0
wall	wall	n1	wall	wall	0
,	,	,	,	,	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
truely	truely	av-j	truly	true	0
said	said	vvn	said	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
were	were	vbdr	were	be	0
two	two	crd	two	two	0
Alexandrias	Alexandrias	npg1	Alexandrias	alexandrias	0
one	one	crd	one	one	0
builded	builded	vvn	built	build	0
upon	upon	p-acp	upon	upon	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
foundations	foundations	n2	foundations	foundation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
City	City	n1	City	city	0
are	are	vbr	are	be	0
great	great	j	great	great	0
habitations	habitations	n2	habitations	habitation	0
,	,	,	,	,	0
and	and	cc	and	and	0
incredible	incredible	j	incredible	incredible	0
huge	huge	j	huge	huge	0
pillers	pillers	n2	pillars	pillar	0
.	.	.	.	.	1
True	True	j	True	true	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
part	part	n1	part	part	0
underneath	underneath	a-acp	underneath	underneath	0
remaineth	remaineth	vvz	remains	remain	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
day	day	n1	day	day	0
inhabitable	inhabitable	j	inhabitable	inhabitable	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
corrupt	corrupt	j	corrupt	corrupt	0
aire	aire	n1	air	air	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
time	time	n1	time	time	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
consumeth	consumeth	vvz	consumeth	consume	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
greatly	greatly	av-j	greatly	great	0
ruinated	ruinated	vvn	ruinated	ruinate	0
.	.	.	.	.	1
It	It	pn31	It	it	0
might	might	vmd	might	may	0
well	well	av	well	well	0
be	be	vbi	be	be	0
sayd	sayd	vvn	said	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
founder	founder	n1	founder	founder	0
hereof	hereof	av	hereof	hereof	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
worthy	worthy	j	worthy	worthy	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
his	his	po31	his	his	0
