His	His	po31	His	his	0
third	third	ord	third	three	0
Letter	Letter	n1	Letter	letter	0
to	to	p-acp	to	to	0
Maister	Maister	n1	Master	master	0
Leonard	Leonard	np1	Leonard	Leonard	0
Poore	Poore	j	Poor	poor	0
,	,	,	,	,	0
written	written	vvn	written	write	0
from	from	p-acp	from	from	0
Goa	Goa	zz	Goa	goa	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Michael	Michael	np1	Michael	Michael	0
Stropene	Stropene	np1	Stropene	Stropene	0
an	an	dt	and	a	0
Italian	Italian	njp	Italian	italian	0
accused	accused	vvn	accused	accuse	0
our	our	po12	our	our	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
spies	spies	n2	spies	spy	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Y	Y	zz	Y	y	0
last	last	ord	last	last	0
1	1	vvn	1	encage	0
sent	sent	vvd	sent	send	0
you	you	pn22	you	you	0
was	was	vbds	was	be	0
from	from	p-acp	from	from	0
Ormuz	Ormuz	n1	Ormuz	ormuz	0
,	,	,	,	,	0
wherby	wherby	c-crq	whereby	whereby	0
I	I	pns11	I	i	0
certified	certified	vvd	certified	certify	0
you	you	pn22	you	you	0
what	what	r-crq	what	what	0
had	had	vhd	had	have	0
happened	happened	vvn	happened	happen	0
there	there	a-acp	there	there	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
company	company	n1	company	company	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
foure	foure	crd	foure	four	0
dayes	dayes	n2	days	day	0
after	after	p-acp	after	after	0
our	our	po12	our	our	0
arrivall	arrivall	n1	arrival	arrival	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
all	all	d	all	all	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
prison	prison	n1	prison	prison	0
,	,	,	,	,	0
except	except	c-acp	except	except	0
one	one	crd	one	one	0
Italian	Italian	jp	Italian	italian	0
which	which	r-crq	which	which	0
came	came	vvd	came	come	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Aleppo	Aleppo	np1	Aleppo	Aleppo	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
never	never	av-x	never	never	0
examined	examined	vvn	examined	examine	0
,	,	,	,	,	0
onely	onely	av-j	only	only	0
demaunded	demaunded	vvd	demanded	demand	0
what	what	r-crq	what	what	0
countryman	countryman	n1	countryman	countryman	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
make	make	vvb	make	make	0
account	account	n1	account	account	0
Michael	Michael	np1	Michael	Michael	0
Stropene	Stropene	np1	Stropene	Stropene	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
accused	accused	vvd	accused	accuse	0
us	us	pno12	us	we	0
,	,	,	,	,	0
had	had	vhd	had	have	0
informed	informed	vvn	informed	inform	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
day	day	n1	day	day	0
we	we	pns12	we	we	0
arrived	arrived	vvd	arrived	arrive	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
this	this	d	this	this	0
Stropene	Stropene	np1	Stropene	Stropene	0
accused	accused	vvd	accused	accuse	0
us	us	pno12	us	we	0
that	that	d	that	that	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
spies	spies	n2	spies	spy	0
sent	sent	vvn	sent	send	0
from	from	p-acp	from	from	0
Don	Don	n1	DONE	don	0
Antonio	Antonio	np1	Antonio	Antonio	0
,	,	,	,	,	0
besides	besides	p-acp	beside	beside	0
divers	divers	j	diverse	diverse	0
other	other	n-jn	other	other	0
lies	lies	vvz	lies	lie	0
:	:	:	:	:	0
notwithstanding	notwithstanding	c-acp	notwithstanding	notwithstanding	0
458	458	crd	458	458	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
beene	beene	vbn	been	be	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
countrey	countrey	n1	country	country	0
then	then	av	then	then	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
we	we	pns12	we	we	0
might	might	vmd	might	may	0
freely	freely	av-j	freely	free	0
have	have	vhi	have	have	0
traded	traded	vvn	traded	trade	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
although	although	cs	although	although	0
we	we	pns12	we	we	0
be	be	vbb	be	be	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
,	,	,	,	,	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
no	no	dx	no	no	0
reason	reason	n1	reason	reason	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
contrary	contrary	n-jn	contrary	contrary	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
trade	trade	vvi	trade	trade	0
hither	hither	av	hither	hither	0
and	and	cc	and	and	0
thither	thither	av	thither	thither	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
other	other	j-jn	other	other	0
nations	nations	n2	nations	nation	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
nations	nations	n2	nations	nation	0
doe	doe	vdb	do	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
come	come	vvi	come	come	0
freely	freely	av-j	freely	free	0
to	to	p-acp	to	to	0
Ormuz	Ormuz	np1	Ormuz	Ormuz	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Frenchmen	Frenchmen	np1	Frenchmen	Frenchmen	0
,	,	,	,	,	0
Flemmings	Flemmings	np2	Flemmings	Fleming	0
,	,	,	,	,	0
Almains	Almains	njp2	Almains	almain	0
,	,	,	,	,	0
Hungarians	Hungarians	njp2	Hungarians	hungarian	0
,	,	,	,	,	0
Italians	Italians	njp2	Italians	italian	0
,	,	,	,	,	0
Greekes	Greekes	njp2	Greeks	greek	0
,	,	,	,	,	0
Armenians	Armenians	njp2	Armenians	armenian	0
,	,	,	,	,	0
Nazaranies	Nazaranies	n2	Nazaranies	nazarany	0
,	,	,	,	,	0
Turkes	Turkes	np2	Turkes	Turk	0
and	and	cc	and	and	0
Moores	Moores	n2	Moors	moor	0
,	,	,	,	,	0
Jewes	Jewes	np2	Jewes	Jew	0
8c	8c	n1	8c	8c	0
Gentiles	Gentiles	np1	Gentiles	Gentiles	0
,	,	,	,	,	0
Persians	Persians	njp2	Persians	persian	0
,	,	,	,	,	0
Moscovites	Moscovites	np2	Moscovites	moscovite	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
nation	nation	n1	nation	nation	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
seeke	seeke	vvb	seek	seek	0
for	for	p-acp	for	for	0
to	to	pc-acp	to	to	0
trouble	trouble	vvi	trouble	trouble	0
,	,	,	,	,	0
except	except	c-acp	except	except	0
ours	ours	png12	ours	we	0
:	:	:	:	:	0
wherefore	wherefore	c-crq	wherefore	wherefore	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
justice	justice	n1	justice	justice	0
and	and	cc	and	and	0
reason	reason	n1	reason	reason	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
suffer	suffer	vvi	suffer	suffer	0
all	all	d	all	all	0
nations	nations	n2	nations	nation	0
to	to	pc-acp	to	to	0
trade	trade	vvi	trade	trade	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
forbid	forbid	vvi	forbid	forbid	0
us	us	pno12	us	we	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
now	now	av	now	now	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
as	as	p-acp	as	as	0
great	great	j	great	great	0
liberty	liberty	n1	liberty	liberty	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
nation	nation	n1	nation	nation	0
,	,	,	,	,	0
except	except	c-acp	except	except	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
