Certaine	Certaine	j	Certain	certain	0
Articles	Articles	n2	Articles	article	0
delivered	delivered	vvn	delivered	deliver	0
to	to	p-acp	to	to	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Lok	Lok	np1	Lok	Lok	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Sir	Sir	n1	Sir	sir	0
William	William	np1	William	William	0
Gerard	Gerard	np1	Gerard	Gerard	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
M.	M.	n1	M.	m.	0
William	William	np1	William	William	0
Winter	Winter	n1	Winter	winter	0
,	,	,	,	,	0
M.	M.	n1	M.	m.	0
Benjamin	Benjamin	np1	Benjamin	Benjamin	0
Gonson	Gonson	np1	Gonson	Gonson	0
,	,	,	,	,	0
M.	M.	n1	M.	m.	0
Anthony	Anthony	np1	Anthony	Anthony	0
Hickman	Hickman	np1	Hickman	Hickman	0
,	,	,	,	,	0
and	and	cc	and	and	0
M.	M.	n1	M.	m.	0
Edward	Edward	np1	Edward	Edward	0
Castelin	Castelin	np1	Castelin	Castelin	0
the	the	dt	the	the	0
8	8	crd	8	8	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
1561	1561	crd	1561	1561	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
a	a	dt	a	a	0
voyage	voyage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
Guinea	Guinea	np1	Guinea	Guinea	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A	A	dt	A	a	0
remembrance	remembrance	n1	remembrance	remembrance	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
M.	M.	n1	M.	m.	0
Lok	Lok	np1	Lok	Lok	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
com-ming	com-ming	j	coming	coming	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Guinie	Guinie	zz	Guinie	guinie	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
tions	tions	n2	tions	tion	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
