A	A	dt	A	a	0
discourse	discourse	n1	discourse	discourse	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
Sir	Sir	n1	Sir	sir	0
Humphrey	Humphrey	np1	Humphrey	Humphrey	0
Gilbert	Gilbert	np1	Gilbert	Gilbert	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
prove	prove	vvi	prove	prove	0
a	a	dt	a	a	0
passage	passage	n1	passage	passage	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Northwest	Northwest	av-an	Northwest	northwest	0
to	to	p-acp	to	to	0
Cathaia	Cathaia	np1	Cathaia	Cathaia	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
East	East	n1	East	east	0
Indies	Indies	np2	Indies	Indies	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Table	Table	n1	Table	table	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matters	matters	n2	matters	matter	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
Chapter	Chapter	n1	Chapter	chapter	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
discourse	discourse	n1	discourse	discourse	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Capitulo	Capitulo	np1	Capitulo	Capitulo	0
1.	1.	crd	1.	1.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
O	O	sy	O	o	0
prove	prove	vvi	prove	prove	0
by	by	p-acp	by	by	0
authoritie	authoritie	n1	authority	authority	0
a	a	dt	a	a	0
passage	passage	n1	passage	passage	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
North	North	n1	North	north	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
America	America	np1	America	America	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
to	to	p-acp	to	to	0
Cataia	Cataia	np1	Cataia	Cataia	0
,	,	,	,	,	0
China	China	np1	China	China	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
East	East	n1	East	east	0
India	India	np1	India	India	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Capitulo	Capitulo	np1	Capitulo	Capitulo	0
2.	2.	crd	2.	2.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
To	To	pc-acp	To	to	0
prove	prove	vvi	prove	prove	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
a	a	dt	a	a	0
passage	passage	n1	passage	passage	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
North	North	n1	North	north	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
America	America	np1	America	America	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
to	to	p-acp	to	to	0
Cataia	Cataia	np1	Cataia	Cataia	0
,	,	,	,	,	0
Moluccas	Moluccas	np1	Moluccas	Moluccas	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
