The	The	dt	The	the	0
Letters	Letters	n2	Letters	letter	0
Patents	Patents	n2	Patents	patent	0
graunted	graunted	vvn	granted	grant	0
by	by	p-acp	by	by	0
her	her	po31	her	her	0
Majestie	Majestie	n1	Majesty	majesty	0
to	to	p-acp	to	to	0
Sir	Sir	n1	Sir	sir	0
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
Gilbert	Gilbert	np1	Gilbert	Gilbert	0
knight	knight	n1	knight	knight	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
inhabiting	inhabiting	vvg	inhabiting	inhabit	0
and	and	cc	and	and	0
planting	planting	vvg	planting	plant	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
people	people	n1	people	people	0
in	in	p-acp	in	in	0
America	America	np1	America	America	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
LIZABETH	LIZABETH	np1	LIZABETH	LIZABETH	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
To	To	p-acp	To	to	0
all	all	d	all	all	0
people	people	n1	people	people	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
these	these	d	these	these	0
presents	presents	n2	presents	present	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
,	,	,	,	,	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
Know	Know	vvb	Know	know	0
ye	ye	pn22	you	you	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
especiall	especiall	j	especial	especial	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
certaine	certaine	j	certain	certain	0
science	science	n1	science	science	0
and	and	cc	and	and	0
meere	meere	j	mere	mere	0
motion	motion	n1	motion	motion	0
,	,	,	,	,	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
and	and	cc	and	and	0
granted	granted	vvn	granted	grant	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
these	these	d	these	these	0
presents	presents	n2	presents	present	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
,	,	,	,	,	0
our	our	po12	our	our	0
heires	heires	n2	heirs	heir	0
and	and	cc	and	and	0
succes	succes	n1	success	success	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
sours	sours	n2-j	source	sour	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
give	give	vvi	give	give	0
and	and	cc	and	and	0
graunt	graunt	vvi	grant	grant	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
trustie	trustie	j	trusty	trusty	0
and	and	cc	and	and	0
welbeloved	welbeloved	j	well-beloved	well-beloved	0
servaunt	servaunt	n1	servant	servant	0
Sir	Sir	n1	Sir	sir	0
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
Gilbert	Gilbert	np1	Gilbert	Gilbert	0
of	of	pp-f	of	of	0
Compton	Compton	np1	Compton	Compton	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Countie	Countie	n1	County	county	0
of	of	pp-f	of	of	0
Devonshire	Devonshire	np1	Devonshire	Devonshire	0
knight	knight	n1	knight	knight	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
heires	heires	n2	heirs	heir	0
and	and	cc	and	and	0
assignes	assignes	vvz	assigns	assign	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
,	,	,	,	,	0
free	free	j	free	free	0
libertie	libertie	n1	liberty	liberty	0
and	and	cc	and	and	0
licence	licence	n1	licence	licence	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
for	for	c-acp	for	for	0
ever	ever	av	ever	ever	0
hereafter	hereafter	av	hereafter	hereafter	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
discover	discover	vvi	discover	discover	0
,	,	,	,	,	0
finde	finde	vvb	find	find	0
,	,	,	,	,	0
search	search	vvb	search	search	0
out	out	av	out	out	0
,	,	,	,	,	0
and	and	cc	and	and	0
view	view	vvi	view	view	0
such	such	d	such	such	0
remote	remote	j	remote	remote	0
,	,	,	,	,	0
heathen	heathen	j-jn	heathen	heathen	0
and	and	cc	and	and	0
barbarous	barbarous	j	barbarous	barbarous	0
lands	lands	n2	lands	land	0
,	,	,	,	,	0
countreys	countreys	ng2	countries'	country	0
and	and	cc	and	and	0
territories	territories	n2	territories	territory	0
not	not	xx	not	not	0
actually	actually	av-j	actually	actual	0
possessed	possessed	vvn	possessed	possess	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
Christian	Christian	njp	Christian	christian	0
prince	prince	n1	prince	prince	0
or	or	cc	or	or	0
people	people	n1	people	people	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
his	his	po31	his	his	0
heires	heires	n2	heirs	heir	0
&	&	cc	&	and	0
assignes	assignes	vvz	assigns	assign	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
or	or	cc	or	or	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
seeme	seeme	vvi	seem	seem	0
good	good	j	good	good	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
,	,	,	,	,	0
hold	hold	vvb	hold	hold	0
,	,	,	,	,	0
occupie	occupie	vvi	occupy	occupy	0
and	and	cc	and	and	0
enjoy	enjoy	vvi	enjoy	enjoy	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
his	his	po31	his	his	0
heires	heires	n2	heirs	heir	0
and	and	cc	and	and	0
assignes	assignes	vvz	assigns	assign	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
commodities	commodities	n2	commodities	commodity	0
,	,	,	,	,	0
jurisdictions	jurisdictions	n2	jurisdictions	jurisdiction	0
and	and	cc	and	and	0
royalties	royalties	n2	royalties	royalty	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
sea	sea	n1	sea	sea	0
and	and	cc	and	and	0
land	land	n1	land	land	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
sir	sir	n1	sir	sir	0
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
and	and	cc	and	and	0
all	all	d	all	all	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
by	by	p-acp	by	by	0
licence	licence	n1	licence	licence	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
,	,	,	,	,	0
our	our	po12	our	our	0
heires	heires	n2	heirs	heir	0
and	and	cc	and	and	0
successours	successours	n2	successors	successor	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
goe	goe	vvi	go	go	0
and	and	cc	and	and	0
travell	travell	vvi	travel	travel	0
thither	thither	av	thither	thither	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
inhabite	inhabite	vvi	inhabit	inhabit	0
or	or	cc	or	or	0
remaine	remaine	vvi	remain	remain	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
and	and	cc	and	and	0
fortifie	fortifie	vvi	fortify	fortify	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
discretion	discretion	n1	discretion	discretion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
sir	sir	n1	sir	sir	0
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
heires	heires	n2	heirs	heir	0
and	and	cc	and	and	0
assignes	assignes	vvz	assigns	assign	0
,	,	,	,	,	0
the	the	dt	the	the	0
statutes	statutes	n2	statutes	statute	0
or	or	cc	or	or	0
actes	actes	n2	acts	act	0
of	of	pp-f	of	of	0
Parliament	Parliament	n1	Parliament	parliament	0
made	made	vvn	made	make	0
against	against	p-acp	against	against	0
Fugitives	Fugitives	n2-jn	Fugitives	fugitive	0
,	,	,	,	,	0
or	or	cc	or	or	0
against	against	p-acp	against	against	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
depart	depart	vvi	depart	depart	0
,	,	,	,	,	0
remaine	remaine	vvb	remain	remain	0
,	,	,	,	,	0
or	or	cc	or	or	0
continue	continue	vvi	continue	continue	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Realme	Realme	n1	Realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
without	without	p-acp	without	without	0
licence	licence	n1	licence	licence	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
acte	acte	n1	act	act	0
,	,	,	,	,	0
statute	statute	n1	statute	statute	0
,	,	,	,	,	0
lawe	lawe	n1	law	law	0
,	,	,	,	,	0
or	or	cc	or	or	0
matter	matter	n1	matter	matter	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
contrary	contrary	j-jn	contrary	contrary	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
wise	wise	n1	wise	wise	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
.	.	.	.	.	1
And	And	cc	And	and	0
wee	wee	pns12	we	we	0
doe	doe	vdb	do	do	0
likewise	likewise	av	likewise	likewise	0
by	by	p-acp	by	by	0
these	these	d	these	these	0
presents	presents	n2	presents	present	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
,	,	,	,	,	0
our	our	po12	our	our	0
heires	heires	n2	heirs	heir	0
and	and	cc	and	and	0
successours	successours	n2	successors	successor	0
,	,	,	,	,	0
give	give	vvb	give	give	0
full	full	j	full	full	0
authoritie	authoritie	n1	authority	authority	0
and	and	cc	and	and	0
power	power	n1	power	power	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
Sir	Sir	n1	Sir	sir	0
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
,	,	,	,	,	0
his	his	po31	his	his	0
heires	heires	n2	heirs	heir	0
and	and	cc	and	and	0
assignes	assignes	vvz	assigns	assign	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
and	and	cc	and	and	0
viii	viii	crd	viii	viii	0
17	17	crd	17	17	0
b	b	sy	b	b	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
they	they	pns32	they	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
and	and	cc	and	and	0
every	every	d	every	every	0
time	time	n1	time	time	0
and	and	cc	and	and	0
times	times	n2	times	time	0
hereafter	hereafter	av	hereafter	hereafter	0
,	,	,	,	,	0
have	have	vhb	have	have	0
,	,	,	,	,	0
take	take	vvb	take	take	0
,	,	,	,	,	0
and	and	cc	and	and	0
lead	lead	vvi	led	lead	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
voyages	voyages	n2	voyages	voyage	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
travell	travell	vvi	travel	travel	0
thitherward	thitherward	av	thitherward	thitherward	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
inhabite	inhabite	vvi	inhabit	inhabit	0
there	there	a-acp	there	there	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
or	or	cc	or	or	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
such	such	d	such	such	0
and	and	cc	and	and	0
so	so	av	so	so	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
subjects	subjects	n2-jn	subject's	subject	0
as	as	a-acp	as	as	0
shall	shall	vmb	shall	shall	0
willingly	willingly	av-j	willingly	willing	0
accompany	accompany	vvi	accompany	accompany	0
him	him	pno31	him	he	0
and	and	cc	and	and	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
or	or	cc	or	or	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
sufficient	sufficient	j	sufficient	sufficient	0
shipping	shipping	n-vvg	shipping	ship	0
,	,	,	,	,	0
and	and	cc	and	and	0
furniture	furniture	n1	furniture	furniture	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
transportations	transportations	n2	transportations	transportation	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
persons	persons	n2	persons	person	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
be	be	vbi	be	be	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
