Certaine	Certaine	j	Certain	certain	0
observations	observations	n2	observations	observation	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
countreys	countreys	ng2	countries'	country	0
and	and	cc	and	and	0
places	places	n2	places	place	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
travelled	travelled	vvd	traveled	travel	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
Newfoundland	Newfoundland	np1	Newfoundland	Newfoundland	0
we	we	pns12	we	we	0
found	found	vvd	found	find	0
very	very	av	very	very	0
subject	subject	j-jn	subject	subject	0
to	to	p-acp	to	to	0
fogs	fogs	n2	fogs	fog	0
and	and	cc	and	and	0
mists	mists	n2	mists	mist	0
.	.	.	.	.	1
The	The	dt	The	the	0
ground	ground	n1	ground	ground	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
very	very	av	very	very	0
rocky	rocky	j	rocky	rocky	0
:	:	:	:	:	0
and	and	cc	and	and	0
upon	upon	p-acp	upon	upon	0
it	it	pn31	it	it	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
great	great	j	great	great	0
store	store	n1	store	store	0
of	of	pp-f	of	of	0
firre	firre	n1	fir	fir	0
trees	trees	n2	trees	tree	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
places	places	n2	places	place	0
red	red	vvn	read	read	0
;	;	;	;	;	0
and	and	cc	and	and	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
shore	shore	n1	shore	shore	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
great	great	j	great	great	0
abundance	abundance	n1	abundance	abundance	0
of	of	pp-f	of	of	0
cod-fish	cod-fish	n1	codfish	codfish	0
.	.	.	.	.	1
We	We	pns12	We	we	0
were	were	vbdr	were	be	0
on	on	p-acp	on	on	0
land	land	n1	land	land	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
180	180	crd	180	180	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1597-foure	1597-foure	j	1597-foure	1597-foure	0
severall	severall	j	several	several	0
places	places	n2	places	place	0
:	:	:	:	:	0
1	1	crd	1	1	0
At	At	p-acp	At	at	0
Caplin	Caplin	n1	Caplin	caplin	0
bay	bay	n1	bay	bay	0
and	and	cc	and	and	0
Farrillon	Farrillon	np1	Farrillon	Farrillon	0
:	:	:	:	:	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
2	2	crd	2	2	0
At	At	p-acp	At	at	0
Cape	Cape	n1	Cape	cape	0
Rase	Rase	vvb	Raze	raze	0
:	:	:	:	:	0
3	3	crd	3	3	0
At	At	p-acp	At	at	0
the	the	dt	the	the	0
harborow	harborow	n1	harbour	harbour	0
of	of	pp-f	of	of	0
Lano	Lano	np1	Lano	Lano	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
lieth	lieth	vvz	lies	lie	0
foure	foure	crd	foure	four	0
leagues	leagues	n2	leagues	league	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
West	West	n1	West	west	0
beyond	beyond	p-acp	beyond	beyond	0
Cape	Cape	n1	Cape	cape	0
Laurence	Laurence	np1	Laurence	Laurence	0
:	:	:	:	:	0
4	4	crd	4	4	0
At	At	p-acp	At	at	0
S.	S.	n1	S.	saint	0
Marie	Marie	uh	Marry	marie	0
port	port	n1	port	port	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Island	Island	n1	Island	island	0
of	of	pp-f	of	of	0
Menego	Menego	np1	Menego	Menego	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
soile	soile	n1	soil	soil	0
is	is	vbz	is	be	0
much	much	av-d	much	much	0
like	like	av-j	like	like	0
Newfoundland	Newfoundland	np1	Newfoundland	Newfoundland	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
fish	fish	n1	fish	fish	0
about	about	p-acp	about	about	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
throwout	throwout	j	throwout	throwout	0
the	the	dt	the	the	0
Grande	Grande	fw-fr	Grande	grande	0
Bay	Bay	n1	Bay	bay	0
within	within	p-acp	within	within	0
Cape	Cape	np1	Cape	Cape	0
Briton	Briton	jp	Briton	briton	0
,	,	,	,	,	0
is	is	vbz	is	be	0
much	much	av-d	much	much	0
larger	larger	jc	larger	large	0
and	and	cc	and	and	0
better	better	jc	better	better	0
then	then	cs	then	than	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Newfoundland	Newfoundland	np1	Newfoundland	Newfoundland	0
.	.	.	.	.	1
This	This	d	This	this	0
Island	Island	n1	Island	island	0
is	is	vbz	is	be	0
scant	scant	av-j	scant	scant	0
