A	A	dt	A	a	0
relation	relation	n1	relation	relation	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
memorable	memorable	j	memorable	memorable	0
fight	fight	n1	fight	fight	0
made	made	vvd	made	make	0
the	the	dt	the	the	0
13.	13.	crd	13.	13.	0
of	of	pp-f	of	of	0
June	June	np1	June	June	0
1591.	1591.	crd	1591.	1591.	0
against	against	p-acp	against	against	0
certaine	certaine	j	certain	certain	0
Spanish	Spanish	jp	Spanish	spanish	0
ships	ships	n2	ships	ship	0
&	&	cc	&	and	0
gallies	gallies	n2	galleys	galley	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
3.	3.	crd	3.	3.	0
ships	ships	n2	ships	ship	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
honorable	honorable	j	honourable	honourable	0
sir	sir	n1	sir	sir	0
George	George	np1	George	George	0
Carey	Carey	np1	Carey	Carey	0
knight	knight	n1	knight	knight	0
,	,	,	,	,	0
then	then	av	then	then	0
marshall	marshall	j	marshal	martial	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
houshold	houshold	n1	household	household	0
,	,	,	,	,	0
and	and	cc	and	and	0
captaine	captaine	n1	captain	captain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
He	He	pns31	He	he	0
of	of	pp-f	of	of	0
Wight	Wight	n1	Wight	wight	0
,	,	,	,	,	0
now	now	av	now	now	0
lord	lord	n1	lord	lord	0
Hunsdon	Hunsdon	np1	Hunsdon	Hunsdon	0
,	,	,	,	,	0
lord	lord	n1	lord	lord	0
Chamberlaine	Chamberlaine	np1	Chamberlaine	Chamberlaine	0
,	,	,	,	,	0
and	and	cc	and	and	0
captaine	captaine	n1	captain	captain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
honourable	honourable	j	honourable	honourable	0
band	band	n1	band	band	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
Pensioners	Pensioners	n2	Pensioners	pensioner	0
