Here	Here	av	Here	here	0
follow	follow	vvb	follow	follow	0
certaine	certaine	j	certain	certain	0
wordes	wordes	n2	words	word	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
language	language	n1	language	language	0
of	of	pp-f	of	of	0
Trinidad	Trinidad	np1	Trinidad	Trinidad	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
observed	observed	vvd	observed	observe	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
being	being	vbg	being	be	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Guttemock	Guttemock	vvb	Guttemock	guttemock	0
.	.	.	.	.	1
A	A	dt	A	a	0
man	man	n1	man	man	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Tabairo	Tabairo	np1	Tabairo	Tabairo	0
,	,	,	,	,	0
Dabarah	Dabarah	np1	Dabarah	Dabarah	0
,	,	,	,	,	0
]	]	]	]	]	0
t	t	sy	tO	t	0
,	,	,	,	,	0
,	,	,	,	,	0
,	,	,	,	,	0
c	c	sy	c	c	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
t	t	sy	tO	t	0
»	»	»	»	»	0
u	u	sy	u	u	0
r	r	sy	r	r	0
The	The	dt	The	the	0
heare	heare	n1	hear	hair	0
or	or	cc	or	or	0
ones	ones	pi2	ones	one	0
head	head	n1	head	head	0
.	.	.	.	.	1
Or	Or	cc	Or	or	0
Dabarra	Dabarra	np1	Dabarra	Dabarra	0
.	.	.	.	.	1
J	J	pns11	J	i	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Dessie	Dessie	np1	Dessie	Dessie	0
The	The	dt	The	the	0
forehead	forehead	n1	forehead	forehead	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Dasereth	Dasereth	vvz	Dasereth	daser	0
,	,	,	,	,	0
or	or	cc	or	or	0
Dacosi	Dacosi	np1	Dacosi	Dacosi	0
An	An	dt	And	a	0
eye	eye	n1	eye	eye	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Dalacoack	Dalacoack	np1	Dalacoack	Dalacoack	0
The	The	dt	The	the	0
mouth	mouth	n1	mouth	mouth	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Archeh	Archeh	np1	Archeh	Archeh	0
The	The	dt	The	the	0
teeth	teeth	n2	teeth	tooth	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Daria	Daria	np1	Daria	Daria	0
The	The	dt	The	the	0
gummes	gummes	n2	gums	gum	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Desire	Desire	vvb	Desire	desire	0
The	The	dt	The	the	0
lips	lips	n2	lips	lip	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Dill	Dill	zz	Dill	dill	0
The	The	dt	The	the	0
tongue	tongue	n1	tongue	tongue	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Dudica	Dudica	fw-la	Dudica	dudica	0
The	The	dt	The	the	0
eares	eares	n2	ears	ear	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Dacan	Dacan	jp	Dacan	dacan	0
A	A	dt	A	a	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Dacabbo	Dacabbo	np1	Dacabbo	Dacabbo	0
The	The	dt	The	the	0
palme	palme	n1	palm	palm	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Diidena	Diidena	np1	Diidena	Diidena	0
The	The	dt	The	the	0
wrist	wrist	n1	wrist	wrist	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Dacurle	Dacurle	vvi	Dacurle	dacurle	0
A	A	dt	A	a	0
knee	knee	n1	knee	knee	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Daddano	Daddano	np1	Daddano	Daddano	0
The	The	dt	The	the	0
calfe	calfe	n1	calf	calf	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
legge	legge	n1	leg	leg	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Dabodda	Dabodda	np1	Dabodda	Dabodda	0
The	The	dt	The	the	0
toes	toes	n2	toes	toe	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Dacutti	Dacutti	fw-it	Dacutti	dacutti	0
The	The	dt	The	the	0
feete	feete	n2	feet	foot	0
.	.	.	.	.	1
{	{	{	{	{	0
