Certaine	Certaine	j	Certain	certain	0
notes	notes	n2	notes	note	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
Brasill	Brasill	np1	Brasill	Brasill	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Minion	Minion	n1	Minion	minion	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
1580.	1580.	crd	1580.	1580.	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
Thomas	Thomas	np1	Thomas	Thomas	0
Grigs	Grigs	vvz	Grigs	grig	0
Purser	Purser	n1	Purser	purser	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
ship	ship	n1	ship	ship	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
thirde	thirde	ord	thirde	third	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
November	November	np1	November	November	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
abovesaid	abovesaid	j	abovesaid	abovesaid	0
we	we	pns12	we	we	0
departed	departed	vvd	departed	depart	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Minion	Minion	n1	Minion	minion	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
from	from	p-acp	from	from	0
Harwich	Harwich	np1	Harwich	Harwich	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
no	no	dx	no	no	0
great	great	j	great	great	0
thing	thing	n1	thing	thing	0
worth	worth	j	worth	worth	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
or	or	cc	or	or	0
regard	regard	n1	regard	regard	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
happened	happened	vvn	happened	happen	0
until	until	p-acp	until	until	0
the	the	dt	the	the	0
22.	22.	crd	22.	22.	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
the	the	dt	the	the	0
next	next	ord	next	next	0
moneth	moneth	n1	month	month	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
day	day	n1	day	day	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
learning	learning	n1	learning	learning	0
&	&	cc	&	and	0
use	use	n1	use	use	0
wee	wee	pns12	we	we	0
ob	ob	fw-la	ob	ob	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
served	served	vvn	served	serve	0
the	the	dt	the	the	0
setting	setting	n-vvg	setting	set	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
ne	ne	fw-fr	ne	ne	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
West	West	n1	West	west	0
southwest	southwest	n1	southwest	southwest	0
,	,	,	,	,	0
we	we	pns12	we	we	0
then	then	av	then	then	0
being	being	vbg	being	be	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
line	line	n1	line	line	0
Equinoctiall	Equinoctiall	j-jn	Equinoctial	equinoctial	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
found	found	vvd	found	find	0
the	the	dt	the	the	0
air	air	n1	air	air	0
very	very	av	very	very	0
temperate	temperate	j	temperate	temperate	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
winde	winde	n1	wind	wind	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
Southeast	Southeast	n1	Southeast	southeast	0
and	and	cc	and	and	0
East	East	n1	East	east	0
southeast	southeast	n1	southeast	southeast	0
.	.	.	.	.	1
The	The	dt	The	the	0
same	same	d	same	same	0
day	day	n1	day	day	0
we	we	pns12	we	we	0
also	also	av	also	also	0
observed	observed	vvd	observed	observe	0
the	the	dt	the	the	0
rising	rising	n-vvg	rising	rise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
moone	moone	n1	moon	moon	0
,	,	,	,	,	0
being	being	vbg	being	be	0
one	one	crd	one	one	0
day	day	n1	day	day	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
full	full	j	full	full	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
rose	rose	vvd	rose	rise	0
at	at	p-acp	at	at	0
East	East	n1	East	east	0
northeast	northeast	n1	northeast	north-east	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
first	first	ord	first	first	0
land	land	n1	land	land	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
fell	fell	vvd	fell	fall	0
with	with	p-acp	with	with	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
The	The	dt	The	the	0
yle	yle	n1	isle	isle	0
ofS	ofS	n2	ofS	of	0
.	.	.	.	.	1
Brasill	Brasill	np1	Brasill	Brasill	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
yland	yland	n1	island	island	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Sebastian	Sebastian	np1	Sebastian	Sebastian	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
arrived	arrived	vvd	arrived	arrive	0
Sebastian	Sebastian	np1	Sebastian	Sebastian	0
.	.	.	.	.	1
^g	^g	sy	g	g	0
Jay	Jay	np1	Jay	Jay	0
of	of	pp-f	of	of	0
JanUary	JanUary	np1	JanUary	JanUary	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1581.	1581.	crd	1581.	1581.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
16.	16.	crd	16.	16.	0
day	day	n1	day	day	0
Thomas	Thomas	np1	Thomas	Thomas	0
Babington	Babington	np1	Babington	Babington	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
pinnesse	pinnesse	n1	pinnace	pinnace	0
,	,	,	,	,	0
went	went	vvd	went	go	0
a	a	dt	a	a	0
shoare	shoare	n1	shore	shore	0
to	to	p-acp	to	to	0
Guaybea	Guaybea	np1	Guaybea	Guaybea	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
met	met	vvd	met	meet	0
with	with	p-acp	with	with	0
John	John	np1	John	John	0
Whithall	Whithall	av	Whithall	whithall	0
his	his	po31	his	his	0
father	father	n1	father	father	0
and	and	cc	and	and	0
mother	mother	n1	mother	mother	0
in	in	p-acp	in	in	0
lawe	lawe	n1	law	law	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
having	having	vhg	having	have	0
received	received	vvn	received	receive	0
letters	letters	n2	letters	letter	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
delivered	delivered	vvn	delivered	deliver	0
at	at	p-acp	at	at	0
Santos	Santos	np1	Santos	Santos	0
,	,	,	,	,	0
came	came	vvd	came	come	0
abord	abord	a-acp	aboard	aboard	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
we	we	pns12	we	we	0
weyed	weyed	vvd	weighed	weigh	0
and	and	cc	and	and	0
set	set	vvn	set	set	0
saile	saile	n1	sail	sail	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
TheykofS	TheykofS	n2	TheykofS	theykof	0
.	.	.	.	.	1
28.	28.	crd	28.	28.	0
day	day	n1	day	day	0
wee	wee	pns12	we	we	0
arrived	arrived	vvd	arrived	arrive	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
yland	yland	n1	island	island	0
of	of	pp-f	of	of	0
Santa	Santa	np1	Santa	Santa	0
Catelina	Catelina	np1	Catelina	Catelina	0
,	,	,	,	,	0
Catelina	Catelina	np1	Catelina	Catelina	0
.	.	.	.	.	0
neere	neere	av-j	near	near	0
the	the	dt	the	the	0
entrance	entrance	n1	entrance	entrance	0
of	of	pp-f	of	of	0
Santos	Santos	np1	Santos	Santos	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Our	Our	po12	Our	our	0
course	course	n1	course	course	0
from	from	p-acp	from	from	0
S.	S.	n1	S.	saint	0
Sebastian	Sebastian	np1	Sebastian	Sebastian	0
was	was	vbds	was	be	0
Southwest	Southwest	n1	Southwest	southwest	0
