A	A	dt	A	a	0
ruttier	ruttier	jc	ruttier	rutty	0
or	or	cc	or	or	0
course	course	n1	course	course	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
kept	kept	vvn	kept	keep	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
sayle	sayle	vvi	sail	sail	0
from	from	p-acp	from	from	0
Cabo	Cabo	np1	Cabo	Cabo	0
Verde	Verde	np1	Verde	Verde	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Brasil	Brasil	np1	Brasil	Brasil	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
along	along	p-acp	along	along	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Brasil	Brasil	np1	Brasil	Brasil	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Plate	Plate	n1	Plate	plate	0
:	:	:	:	:	0
and	and	cc	and	and	0
namely	namely	av	namely	namely	0
first	first	ord	first	first	0
from	from	p-acp	from	from	0
Cabo	Cabo	np1	Cabo	Cabo	0
Verde	Verde	np1	Verde	Verde	0
to	to	p-acp	to	to	0
Fernambuck	Fernambuck	np1	Fernambuck	Fernambuck	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
ship	ship	n1	ship	ship	0
that	that	cst	that	that	0
goeth	goeth	vvz	goes	go	0
from	from	p-acp	from	from	0
Cabo	Cabo	np1	Cabo	Cabo	0
Verde	Verde	np1	Verde	Verde	0
to	to	p-acp	to	to	0
Brasil	Brasil	np1	Brasil	Brasil	0
,	,	,	,	,	0
must	must	vmb	must	must	0
goe	goe	vvi	go	go	0
Southsoutheast	Southsoutheast	n1	Southsoutheast	southsoutheast	0
:	:	:	:	:	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
she	she	pns31	she	she	0
is	is	vbz	is	be	0
within	within	p-acp	within	within	0
5	5	crd	5	5	0
or	or	cc	or	or	0
6	6	crd	6	6	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Equinoctial	Equinoctial	j-jn	Equinoctial	equinoctial	0
she	she	pns31	she	she	0
must	must	vmb	must	must	0
go	go	vvi	go	go	0
Southeast	Southeast	n1	Southeast	southeast	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
South	South	n1	South	south	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
she	she	pns31	she	she	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
ternados	ternados	n2	ternados	ternado	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
thundrings	thundrings	n2-vvg	thunderings	thundering	0
and	and	cc	and	and	0
lightnings	lightnings	n2	lightnings	lightning	0
,	,	,	,	,	0
then	then	cs	then	than	0
thou	thou	pns21	thou	thou	0
must	must	vmb	must	must	0
go	go	vvi	go	go	0
altogether	altogether	av	altogether	altogether	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
South	South	n1	South	south	0
,	,	,	,	,	0
or	or	cc	or	or	0
that	that	d	that	that	0
way	way	n1	way	way	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
boord	boord	n1	board	board	0
that	that	cst	that	that	0
doth	doth	vdz	does	do	0
profit	profit	vvi	profit	profit	0
thee	thee	pno21	thee	thou	0
most	most	av-ds	most	most	0
.	.	.	.	.	1
And	And	cc	And	and	0
take	take	vvb	take	take	0
this	this	d	this	this	0
for	for	c-acp	for	for	0
advise	advise	vvb	advice	advise	0
,	,	,	,	,	0
that	that	cst	that	that	0
having	having	vhg	having	have	0
the	the	dt	the	the	0
general	general	j	general	general	0
winds	winds	n2	winds	wind	0
,	,	,	,	,	0
&	&	cc	&	and	0
if	if	cs	if	if	0
the	the	dt	the	the	0
wind	wind	n1	wind	wind	0
be	be	vbb	be	be	0
at	at	p-acp	at	at	0
South	South	n1	South	south	0
or	or	cc	or	or	0
Southeast	Southeast	n1	Southeast	southeast	0
,	,	,	,	,	0
then	then	av	then	then	0
go	go	vvb	go	go	0
Southwest	Southwest	np1	Southwest	Southwest	0
,	,	,	,	,	0
or	or	cc	or	or	0
westsouthwest	westsouthwest	n1	westsouthwest	westsouthwest	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
the	the	dt	the	the	0
winde	winde	n1	wind	wind	0
Ye	Ye	pn22	You	you	0
that	that	d	that	that	0
toitt	toitt	n1	toitt	toitt	0
be	be	vbi	be	be	0
South	South	n1	South	south	0
,	,	,	,	,	0
then	then	av	then	then	0
goe	goe	vvb	go	go	0
Southwest	Southwest	np1	Southwest	Southwest	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
