Now	Now	av	Now	now	0
as	as	c-acp	as	as	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
cities	cities	n2	cities	city	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hans	Hans	np1	Hans	Hans	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Hamburg	Hamburg	np1	Hamburg	Hamburg	0
.	.	.	.	.	1
T	T	sy	TO	t	0
Nprimis	Nprimis	fw-la	Nprimis	nprimis	0
the	the	dt	the	the	0
Hamburgers	Hamburgers	n2	Hamburgers	hamburger	0
exhibited	exhibited	vvn	exhibited	exhibit	0
nine	nine	crd	nine	nine	0
articles	articles	n2	articles	article	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
X	X	crd	X	ten	0
they	they	pns32	they	they	0
demaunded	demaunded	vvd	demanded	demand	0
restitution	restitution	n1	restitution	restitution	0
for	for	p-acp	for	for	0
certaine	certaine	j	certain	certain	0
damages	damages	n2	damages	damage	0
offered	offered	vvn	offered	offer	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
sayd	sayd	vvd	said	say	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
English	English	jp	English	english	0
men	men	n2	men	man	0
,	,	,	,	,	0
the	the	dt	the	the	0
value	value	n1	valve	value	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
losses	losses	n2	losses	loss	0
amounted	amounted	vvd	amounted	amount	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
9117.	9117.	crd	9117.	9117.	0
nobles	nobles	n2-j	nobles	noble	0
,	,	,	,	,	0
20.	20.	crd	20.	20.	0
pence	pence	n2	pence	penny	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
due	due	j-jn	due	due	0
examination	examination	n1	examination	examination	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
promised	promised	vvn	promised	promise	0
restitution	restitution	n1	restitution	restitution	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
416.	416.	crd	416.	416.	0
nobles	nobles	n2-j	nobles	noble	0
,	,	,	,	,	0
5.	5.	crd	5.	5.	0
shillings	shillings	n2	shillings	shilling	0
.	.	.	.	.	1
Besides	Besides	p-acp	Beside	beside	0
the	the	dt	the	the	0
two	two	crd	two	two	0
articles	articles	n2	articles	article	0
propounded	propounded	vvn	propounded	propound	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
of	of	pp-f	of	of	0
Scardeburg	Scardeburg	np1	Scardeburg	Scardeburg	0
,	,	,	,	,	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
wherof	wherof	c-crq	whereof	whereof	0
was	was	vbds	was	be	0
231.	231.	crd	231.	231.	0
pounds	pounds	n2	pounds	pound	0
,	,	,	,	,	0
15.	15.	crd	15.	15.	1
S.	S.	np1	S.	S.	0
8.d	8.d	crd	8.d	8.d	0
.	.	.	.	.	0
concerning	concerning	vvg	concerning	concern	0
the	the	pno32	thee	they	0
which	which	r-crq	which	which	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
sentence	sentence	n1	sentence	sentence	0
given	given	vvn	given	give	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
commissioners	commissioners	n2	commissioners	commissioner	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
the	the	dt	the	the	0
34	34	crd	34	34	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
execution	execution	n1	execution	execution	0
wherof	wherof	c-crq	whereof	whereof	0
was	was	vbds	was	be	0
promised	promised	vvn	promised	promise	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Hamburgers	Hamburgers	n2	Hamburgers	hamburger	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
ambassadors	ambassadors	n2	ambassadors	ambassador	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
:	:	:	:	:	0
leave	leave	vvb	leave	leave	0
and	and	cc	and	and	0
licence	licence	n1	licence	licence	0
being	being	vbg	being	be	0
reserved	reserved	vvn	reserved	reserve	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Hamburgers	Hamburgers	n2	Hamburgers	hamburger	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
declaring	declaring	vvg	declaring	declare	0
or	or	cc	or	or	0
explaning	explaning	n1	explaining	explaining	0
certaine	certaine	j	certain	certain	0
obscure	obscure	j	obscure	obscure	0
articles	articles	n2	articles	article	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
exhibited	exhibited	vvn	exhibited	exhibit	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
declaration	declaration	n1	declaration	declaration	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
feast	feast	n1	feast	feast	0
of	of	pp-f	of	of	0
Easter	Easter	n1	Easter	easter	0
then	then	av	then	then	0
next	next	ord	next	next	0
to	to	p-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
or	or	cc	or	or	0
within	within	p-acp	within	within	0
one	one	crd	one	one	0
yeare	yeare	n1	year	year	0
next	next	ord	next	next	0
ensuing	ensuing	vvg	ensuing	ensue	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
feast	feast	n1	feast	feast	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
chancelor	chancelor	n1	chancellor	chancellor	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
time	time	n1	time	time	0
being	being	vbg	being	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
prooving	prooving	vvg	proving	prove	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
articles	articles	n2	articles	article	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
also	also	av	also	also	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
as	as	a-acp	as	as	0
yet	yet	av	yet	yet	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
bene	bene	vbn	be	be	0
proved	proved	vvn	proved	prove	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
being	being	vbg	being	be	0
done	done	vdn	done	do	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
full	full	j	full	full	0
complement	complement	n1	compliment	compliment	0
and	and	cc	and	and	0
execution	execution	n1	execution	execution	0
of	of	pp-f	of	of	0
justice	justice	n1	justice	justice	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Also	Also	av	Also	also	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Hamburgers	Hamburgers	n2	Hamburgers	hamburger	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
demaunded	demaunded	vvn	demanded	demand	0
445.	445.	crd	445.	445.	0
nobles	nobles	n2-j	nobles	noble	0
from	from	p-acp	from	from	0
certaine	certaine	j	certain	certain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
of	of	pp-f	of	of	0
Linne	Linne	np1	Linne	Linne	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
summe	summe	n1	sum	sum	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
prooved	prooved	vvn	proved	prove	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
due	due	j-jn	due	due	0
unto	unto	p-acp	unto	unto	0
any	any	d	any	any	0
English	English	jp	English	english	0
men	men	n2	men	man	0
,	,	,	,	,	0
the	the	dt	the	the	0
Hamburgers	Hamburgers	n2	Hamburgers	hamburger	0
are	are	vbr	are	be	0
to	to	p-acp	to	to	0
rest	rest	n1	rest	rest	0
contented	contented	vvn	contented	content	0
with	with	p-acp	with	with	0
those	those	d	those	those	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
already	already	av	already	already	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
possessions	possessions	n2	possessions	possession	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
they	they	pns32	they	they	0
of	of	pp-f	of	of	0
Breme	Breme	np1	Breme	Breme	0
propounded	propounded	vvd	propounded	propound	0
sixe	sixe	crd	sixe	six	0
articles	articles	n2	articles	article	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
Breme	Breme	np1	Breme	Breme	0
.	.	.	.	.	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
conteined	conteined	vvn	contained	contain	0
amounteth	amounteth	vvz	amounteth	amount	0
unto	unto	p-acp	unto	unto	0
4414.	4414.	crd	4414.	4414.	0
nobles	nobles	n2-j	nobles	noble	0
.	.	.	.	.	1
And	And	cc	And	and	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
no	no	dx	no	no	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
promised	promised	vvn	promised	promise	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
same	same	d	same	same	0
libertie	libertie	n1	liberty	liberty	0
and	and	cc	and	and	0
licence	licence	n1	licence	licence	0
was	was	vbds	was	be	0
reserved	reserved	vvn	reserved	reserve	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
maner	maner	n1	manner	manner	0
as	as	c-acp	as	as	0
before	before	a-acp	before	before	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Hamburgers	Hamburgers	n2	Hamburgers	hamburger	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
they	they	pns32	they	they	0
of	of	pp-f	of	of	0
Stralessund	Stralessund	np1	Stralessund	Stralessund	0
propounded	propounded	vvd	propounded	propound	0
23.	23.	crd	23.	23.	0
articles	articles	n2	articles	article	0
,	,	,	,	,	0
Stralessund	Stralessund	n1	Stralessund	stralessund	0
.	.	.	.	.	0
wherof	wherof	c-crq	whereof	whereof	0
the	the	dt	the	the	0
