The	The	dt	The	the	0
Juramentum	Juramentum	fw-la	Juramentum	juramentum	0
,	,	,	,	,	0
or	or	cc	or	or	0
othe	othe	n1	other	oath	0
,	,	,	,	,	0
ministred	ministred	vvn	ministered	minister	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
YOu	YOu	pn22	YOu	you	0
shall	shall	vmb	shall	shall	0
sweare	sweare	vvi	swear	swear	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
faithfull	faithfull	j	faithful	faithful	0
,	,	,	,	,	0
true	true	j	true	true	0
,	,	,	,	,	0
and	and	cc	and	and	0
loyal	loyal	j	loyal	loyal	0
subject	subject	n-jn	subject	subject	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
points	points	n2	points	point	0
,	,	,	,	,	0
and	and	cc	and	and	0
duties	duties	n2	duties	duty	0
,	,	,	,	,	0
that	that	cst	that	that	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
subject	subject	n-jn	subject	subject	0
appertaineth	appertaineth	vvz	appertaineth	appertain	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
Lord	Lord	n1	Lord	lord	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
his	his	po31	his	his	0
heires	heires	n2	heirs	heir	0
,	,	,	,	,	0
and	and	cc	and	and	0
successors	successors	n2	successors	successor	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
wel	wel	av	well	well	0
and	and	cc	and	and	0
truely	truely	av-j	truly	true	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
uttermost	uttermost	j	uttermost	uttermost	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
capacitie	capacitie	n1	capacity	capacity	0
,	,	,	,	,	0
wit	wit	n1	wit	wit	0
,	,	,	,	,	0
&	&	cc	&	and	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
serve	serve	vvb	serve	serve	0
this	this	d	this	this	0
present	present	j	present	present	0
voiage	voiage	n1	voyage	voyage	0
,	,	,	,	,	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
sooner	sooner	av-c	sooner	soon	0
intermit	intermit	vvi	intermit	intermit	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
atchieved	atchieved	vvd	achieved	achieve	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
foorth	foorth	av	forth	forth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
without	without	p-acp	without	without	0
danger	danger	n1	danger	danger	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
losse	losse	n1	loss	loss	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fleete	fleete	n1	fleet	fleet	0
:	:	:	:	:	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
give	give	vvi	give	give	0
good	good	j	good	good	0
,	,	,	,	,	0
true	true	j	true	true	0
,	,	,	,	,	0
and	and	cc	and	and	0
faithful	faithful	j	faithful	faithful	0
counsell	counsell	n1	counsel	counsel	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
societie	societie	n1	society	society	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
shal	shal	vmb	shall	shall	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
charge	charge	n1	charge	charge	0
with	with	p-acp	with	with	0
or	or	cc	or	or	0
under	under	p-acp	under	under	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
disclose	disclose	vvi	disclose	disclose	0
the	the	dt	the	the	0
secrets	secrets	n2-jn	secrets	secret	0
,	,	,	,	,	0
or	or	cc	or	or	0
privities	privities	n2	privities	privity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
person	person	n1	person	person	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
meane	meane	j	mean	mean	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
prejudice	prejudice	n1	prejudice	prejudice	0
,	,	,	,	,	0
hurt	hurt	n1	hurt	hurt	0
,	,	,	,	,	0
or	or	cc	or	or	0
damage	damage	n1	damage	damage	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
You	You	pn22	You	you	0
shal	shal	vmb	shall	shall	0
minister	minister	vvi	minister	minister	0
justice	justice	n1	justice	justice	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
men	men	n2	men	man	0
under	under	p-acp	under	under	0
your	your	po22	your	your	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
person	person	n1	person	person	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
that	that	cst	that	that	0
might	might	vmd	might	may	0
move	move	vvi	move	move	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
decline	decline	vvi	decline	decline	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
true	true	j	true	true	0
