The	The	dt	The	the	0
othe	othe	n1	other	oath	0
ministred	ministred	vvn	ministered	minister	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Maister	Maister	n1	Master	master	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Ou	Ou	fw-fr	Ou	ou	0
shall	shall	vmb	shall	shall	0
sweare	sweare	vvi	swear	swear	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
contents	contents	n2	contents	content	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
according	according	vvg	according	accord	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
uttermost	uttermost	j	uttermost	uttermost	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
good	good	j	good	good	0
understanding	understanding	n1	understanding	understanding	0
in	in	p-acp	in	in	0
mariners	mariners	ng1	mariners	mariner	0
science	science	n1	science	science	0
and	and	cc	and	and	0
craft	craft	n1	craft	craft	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
vocation	vocation	n1	vocation	vocation	0
doe	doe	vdb	do	do	0
your	your	po22	your	your	0
best	best	js	best	best	0
to	to	pc-acp	to	to	0
conduct	conduct	vvi	conduct	conduct	0
the	the	dt	the	the	0
good	good	j	good	good	0
shippe	shippe	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
N.	N.	np1	N.	N.	0
&c.	&c.	av	etc.	etc	0
whereof	whereof	c-crq	whereof	whereof	0
you	you	pn22	you	you	0
nowe	nowe	av	now	now	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
are	are	vbr	are	be	0
Maister	Maister	n1	Master	master	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
,	,	,	,	,	0
both	both	av-d	both	both	0
unto	unto	p-acp	unto	unto	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
portes	portes	n2	ports	port	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
discoverie	discoverie	n1	discovery	discovery	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
use	use	vvb	use	use	0
your	your	po22	your	your	0
indevour	indevour	n1	endeavour	endeavour	0
and	and	cc	and	and	0
faithfull	faithfull	j	faithful	faithful	0
diligence	diligence	n1	diligence	diligence	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
charging	charging	vvg	charging	charge	0
,	,	,	,	,	0
discharging	discharging	vvg	discharging	discharge	0
,	,	,	,	,	0
lading	lading	n-vvg	lading	lade	0
againe	againe	av	again	again	0
,	,	,	,	,	0
and	and	cc	and	and	0
roomaging	roomaging	vvg	roomaging	roomage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
shippe	shippe	n1	ship	ship	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
most	most	ds	most	most	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
benefite	benefite	n1	benefit	benefit	0
and	and	cc	and	and	0
