Certaine	Certaine	j	Certain	certain	0
notes	notes	n2	notes	note	0
gathered	gathered	vvn	gathered	gather	0
by	by	p-acp	by	by	0
Richard	Richard	np1	Richard	Richard	0
Johnson	Johnson	np1	Johnson	Johnson	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
at	at	p-acp	at	at	0
Boghar	Boghar	np1	Boghar	Boghar	0
with	with	p-acp	with	with	0
M.	M.	n1	M.	m.	0
Anthony	Anthony	np1	Anthony	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
reports	reports	n2	reports	report	0
of	of	pp-f	of	of	0
Russes	Russes	zz	Russes	russes	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
strangers	strangers	n2	strangers	stranger	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wayes	wayes	n2	ways	way	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
to	to	p-acp	to	to	0
Cathaya	Cathaya	np1	Cathaya	Cathaya	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
and	and	cc	and	and	0
strange	strange	j	strange	strange	0
people	people	n1	people	people	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
first	first	ord	first	first	0
note	note	n1	note	note	0
given	given	vvn	given	give	0
by	by	p-acp	by	by	0
one	one	pi	one	one	0
named	named	vvn	nam	name	0
Sarnichoke	Sarnichoke	n1	Sarnichoke	sarnichoke	0
a	a	dt	a	a	0
Tartarian	Tartarian	jp	Tartarian	tartarian	0
subject	subject	vvi	subject	subject	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Prince	Prince	n1	Prince	prince	0
of	of	pp-f	of	of	0
Boghar	Boghar	np1	Boghar	Boghar	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
also	also	av	also	also	0
Tartars	Tartars	np1	Tartars	Tartars	0
bordering	bordering	vvg	bordering	border	0
upon	upon	p-acp	upon	upon	0
Kizilbash	Kizilbash	np1	Kizilbash	Kizilbash	0
or	or	cc	or	or	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
declaring	declaring	vvg	declaring	declare	0
the	the	dt	the	the	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
Astracan	Astracan	jp	Astracan	astracan	0
,	,	,	,	,	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
furthest	furthest	js	furthest	further	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Cathaya	Cathaya	np1	Cathaya	Cathaya	0
as	as	c-acp	as	as	0
foloweth	foloweth	vvz	followeth	follow	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
^^wllrst	^^wllrst	js	wllrst	wllrst	0
from	from	p-acp	from	from	0
Astracan	Astracan	jp	Astracan	astracan	0
to	to	p-acp	to	to	0
Serachick	Serachick	np1	Serachick	Serachick	0
by	by	p-acp	by	by	0
land	land	n1	land	land	0
