Advertisements	Advertisements	n2	Advertisements	advertisement	0
and	and	cc	and	and	0
reports	reports	n2	reports	report	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
6.	6.	crd	6.	6.	0
voyage	voyage	n1	voyage	voyage	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
Persia	Persia	np1	Persia	Persia	0
and	and	cc	and	and	0
Media	Media	np1	Media	Media	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
companie	companie	n1	company	company	0
of	of	pp-f	of	of	0
English	English	jp	English	english	0
merchants	merchants	n2	merchant's	merchant	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
discoverie	discoverie	n1	discovery	discovery	0
of	of	pp-f	of	of	0
new	new	j	new	new	0
trades	trades	n2	trades	trade	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeeres	yeeres	n2	years	year	0
1579.	1579.	crd	1579.	1579.	0
1580.	1580.	crd	1580.	1580.	0
and	and	cc	and	and	0
1581.	1581.	crd	1581.	1581.	0
gathered	gathered	vvn	gathered	gather	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
sundrie	sundrie	j	sundry	sundry	0
letters	letters	n2	letters	letter	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
Christopher	Christopher	np1	Christopher	Christopher	0
Burrough	Burrough	np1	Burrough	Burrough	0
,	,	,	,	,	0
servant	servant	n1	servant	servant	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
uncle	uncle	n1	uncle	uncle	0
Master	Master	n1	Master	master	0
William	William	np1	William	William	0
Burrough	Burrough	np1	Burrough	Burrough	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
First	First	ord	First	first	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
understood	understood	vvn	understood	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
voiage	voiage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
S.	S.	n1	S.	saint	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
factors	factors	n2	factors	factor	0
and	and	cc	and	and	0
merchandise	merchandise	n1	merchandise	merchandise	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Persian	Persian	jp	Persian	persian	0
voiage	voiage	n1	voyage	voyage	0
were	were	vbdr	were	be	0
transported	transported	vvn	transported	transport	0
,	,	,	,	,	0
departed	departed	vvn	departed	depart	0
from	from	p-acp	from	from	0
