The	The	dt	The	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majesties	Majesties	n2	Majesties	majesty	0
letters	letters	n2	letters	letter	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Boris	Boris	np1	Boris	Boris	0
Pheodorowich	Pheodorowich	np1	Pheodorowich	Pheodorowich	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Lizabeth	Lizabeth	np1	Lizabeth	Lizabeth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
France	France	np1	France	France	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
defendour	defendour	n1	defendor	defendor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
honourable	honourable	j	honourable	honourable	0
and	and	cc	and	and	0
noble	noble	j	noble	noble	0
Prince	Prince	n1	Prince	prince	0
Lord	Lord	n1	Lord	lord	0
Boris	Boris	np1	Boris	Boris	0
Pheodorowich	Pheodorowich	np1	Pheodorowich	Pheodorowich	0
Godonova	Godonova	np1	Godonova	Godonova	0
,	,	,	,	,	0
Master	Master	n1	Master	master	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
horses	horses	n2	horses	horse	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
and	and	cc	and	and	0
mightie	mightie	j	mighty	mighty	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
his	his	po31	his	his	0
Highnesse	Highnesse	n1	Highness	highness	0
lieutenant	lieutenant	n1	lieutenant	lieutenant	0
of	of	pp-f	of	of	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Cazan	Cazan	np1	Cazan	Cazan	0
and	and	cc	and	and	0
Astracan	Astracan	jp	Astracan	astracan	0
,	,	,	,	,	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
and	and	cc	and	and	0
loving	loving	j-vvg	loving	love	0
cousin	cousin	n1	cousin	cousin	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
greeting	greeting	vvg	greeting	greet	0
.	.	.	.	.	1
Right	Right	av-jn	Right	right	0
honourable	honourable	j	honourable	honourable	0
,	,	,	,	,	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
appeared	appeared	vvn	appeared	appear	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
reading	reading	n-vvg	reading	read	0
and	and	cc	and	and	0
perusing	perusing	vvg	perusing	peruse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Letters	Letters	n2	Letters	letter	0
lately	lately	av-j	lately	late	0
sent	sent	vvd	sent	send	0
unto	unto	p-acp	unto	unto	0
our	our	po12	our	our	0
Highnesse	Highnesse	n1	Highness	highness	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
deare	deare	n1	deer	deer	0
and	and	cc	and	and	0
loving	loving	j-vvg	loving	love	0
brother	brother	n1	brother	brother	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
part	part	n1	part	part	0
his	his	po31	his	his	0
Majestie	Majestie	n1	Majesty	majesty	0
tooke	tooke	vvd	took	take	0
the	the	dt	the	the	0
late	late	j	late	late	0
imployment	imployment	n1	employment	employment	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
messenger	messenger	n1	messenger	messenger	0
Jerome	Jerome	np1	Jerome	Jerome	0
Horsey	Horsey	np1	Horsey	Horsey	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
affaires	affaires	n2	affairs	affair	0
into	into	p-acp	into	into	0
Russia	Russia	np1	Russia	Russia	0
:	:	:	:	:	0
wherein	wherein	c-crq	wherein	wherein	0
we	we	pns12	we	we	0
doe	doe	vdb	do	do	0
also	also	av	also	also	0
finde	finde	vvi	find	find	0
the	the	dt	the	the	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
honourable	honourable	j	honourable	honourable	0
endevour	endevour	vvi	endeavour	endeavour	0
used	used	vvn	used	use	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
