To	To	p-acp	To	to	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Majestic	Majestic	j	Majestic	majestic	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Boris	Boris	np1	Boris	Boris	0
Pheodorovich	Pheodorovich	np1	Pheodorovich	Pheodorovich	0
Godonova	Godonova	np1	Godonova	Godonova	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Y	Y	zz	Y	y	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
great	great	j	great	great	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
Theodore	Theodore	np1	Theodore	Theodore	0
Ivanovich	Ivanovich	np1	Ivanovich	Ivanovich	0
governour	governour	n1	governor	governor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
Volodimer	Volodimer	np1	Volodimer	Volodimer	0
,	,	,	,	,	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
and	and	cc	and	and	0
Novo-grod	Novo-grod	j	Novgorod	novgorod	0
,	,	,	,	,	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Cazan	Cazan	np1	Cazan	Cazan	0
and	and	cc	and	and	0
Astracan	Astracan	jp	Astracan	astracan	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Vobsko	Vobsko	np1	Vobsko	Vobsko	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Smolensco	Smolensco	np1	Smolensco	Smolensco	0
,	,	,	,	,	0
Otver	Otver	av	Otver	otver	0
,	,	,	,	,	0
Ughori	Ughori	fw-la	Ughori	ughori	0
,	,	,	,	,	0
Perme	Perme	n1	Perm	perm	0
,	,	,	,	,	0
Viatsky	Viatsky	np1	Viatsky	Viatsky	0
,	,	,	,	,	0
Bulgary	Bulgary	np1	Bulgary	Bulgary	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
regions	regions	n2	regions	region	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
of	of	pp-f	of	of	0
Novogrod	Novogrod	vvd	Novgorod	novgorod	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
low	low	j	low	low	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Chernigo	Chernigo	np1	Chernigo	Chernigo	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Rezan	Rezan	n1	Rezan	rezan	0
,	,	,	,	,	0
Polotsko	Polotsko	fw-mi	Polotsko	polotsko	0
,	,	,	,	,	0
Rostove	Rostove	np1	Rostove	Rostove	0
,	,	,	,	,	0
Jeroslave	Jeroslave	n1	Jeroslave	jeroslave	0
,	,	,	,	,	0
Bealozera	Bealozera	np1	Bealozera	Bealozera	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Lifland	Lifland	np1	Lifland	Lifland	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Udorsky	Udorsky	np1	Udorsky	Udorsky	0
,	,	,	,	,	0
Obdorsky	Obdorsky	np1	Obdorsky	Obdorsky	0
