The	The	dt	The	the	0
honourable	honourable	j	honourable	honourable	0
and	and	cc	and	and	0
prosperous	prosperous	j	prosperous	prosperous	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
Richard	Richard	np1	Richard	Richard	0
earle	earle	n1	earl	earl	0
of	of	pp-f	of	of	0
Cornewall	Cornewall	np1	Cornewall	Cornwall	0
,	,	,	,	,	0
brother	brother	n1	brother	brother	0
to	to	p-acp	to	to	0
king	king	n1	king	king	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
third	third	ord	third	three	0
,	,	,	,	,	0
accompanied	accompanied	vvn	accompanied	accompany	0
with	with	p-acp	with	with	0
William	William	np1	William	William	0
Longe-spee	Longe-spee	j	Longe-spee	longe-spee	0
earle	earle	n1	earl	earl	0
of	of	pp-f	of	of	0
Sarisburie	Sarisburie	np1	Sarisburie	Sarisburie	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
noble	noble	j	noble	noble	0
men	men	n2	men	man	0
into	into	p-acp	into	into	0
Syria	Syria	np1	Syria	Syria	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1240.	1240.	crd	1240.	1240.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
N	N	wd	N	n	0
the	the	dt	the	the	0
24	24	crd	24	24	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
king	king	n1	king	king	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
third	third	ord	third	three	0
,	,	,	,	,	0
Richard	Richard	np1	Richard	Richard	0
earle	earle	n1	earl	earl	0
of	of	pp-f	of	of	0
Cornwall	Cornwall	np1	Cornwall	Cornwall	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
brother	brother	n1	brother	brother	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
navy	navy	n1	navy	navy	0
of	of	pp-f	of	of	0
ships	ships	n2	ships	ship	0
sailed	sailed	vvn	sailed	sail	0
into	into	p-acp	into	into	0
Syria	Syria	np1	Syria	Syria	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
warres	warres	n2	wars	war	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Saracens	Saracens	np2	Saracens	Saracen	0
he	he	pns31	he	he	0
greatly	greatly	av-j	greatly	great	0
advanced	advanced	vvd	advanced	advance	0
the	the	dt	the	the	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Christians	Christians	np1	Christians	Christians	0
.	.	.	.	.	1
There	There	a-acp	There	there	0
went	went	vvd	went	go	0
over	over	a-acp	over	over	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
the	the	dt	the	the	0
earle	earle	n1	earl	earl	0
of	of	pp-f	of	of	0
Sarisburie	Sarisburie	np1	Sarisburie	Sarisburie	0
,	,	,	,	,	0
William	William	np1	William	William	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Longspee	Longspee	fw-mi	Longspee	longspee	0
,	,	,	,	,	0
and	and	cc	and	and	0
William	William	np1	William	William	0
Basset	Basset	np1	Basset	Basset	0
,	,	,	,	,	0
John	John	np1	John	John	0
Beauchampe	Beauchampe	np1	Beauchampe	Beauchampe	0
,	,	,	,	,	0
Geoffrey	Geoffrey	np1	Geoffrey	Geffrey	0
de	de	fw-fr	de	de	0
Lucie	Lucie	np1	Lucie	Lucy	0
,	,	,	,	,	0
John	John	np1	John	John	0
Nevel	Nevel	np1	Nevel	Nevel	0
,	,	,	,	,	0
Geoffrey	Geoffrey	np1	Geoffrey	Geffrey	0
Beauchampe	Beauchampe	np1	Beauchampe	Beauchampe	0
,	,	,	,	,	0
Peter	Peter	np1	Peter	Peter	0
de	de	fw-fr	de	de	0
Brense	Brense	np1	Brense	Brense	0
,	,	,	,	,	0
and	and	cc	and	and	0
William	William	np1	William	William	0
Furnivall	Furnivall	np1	Furnivall	Furnivall	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Simon	Simon	np1	Simon	Simon	0
Montfort	Montfort	np1	Montfort	Montfort	0
earle	earle	n1	earl	earl	0
of	of	pp-f	of	of	0
Leicester	Leicester	np1	Leicester	Leicester	0
went	went	vvd	went	go	0
over	over	a-acp	over	over	0
also	also	av	also	also	0
the	the	dt	the	the	0
same	same	d	same	same	0
time	time	n1	time	time	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
whereas	whereas	cs	whereas	whereas	0
the	the	dt	the	the	0
earle	earle	n1	earl	earl	0
of	of	pp-f	of	of	0
Cornwall	Cornwall	np1	Cornwall	Cornwall	0
tooke	tooke	vvd	took	take	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
at	at	p-acp	at	at	0
Marseils	Marseils	np1	Marseils	Marseils	0
,	,	,	,	,	0
the	the	dt	the	the	0
earle	earle	n1	earl	earl	0
of	of	pp-f	of	of	0
Leicester	Leicester	np1	Leicester	Leicester	0
passed	passed	vvd	passed	pass	0
thorow	thorow	p-acp	thorough	through	0
Italy	Italy	np1	Italy	Italy	0
,	,	,	,	,	0
and	and	cc	and	and	0
tooke	tooke	vvd	took	take	0
shipping	shipping	vvg	shipping	ship	0
at	at	p-acp	at	at	0
Brindize	Brindize	n1	Brindize	brindize	0
in	in	p-acp	in	in	0
Apulia	Apulia	np1	Apulia	Apulia	0
:	:	:	:	:	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
went	went	vvd	went	go	0
these	these	d	these	these	0
persons	persons	n2	persons	person	0
of	of	pp-f	of	of	0
name	name	n1	name	name	0
,	,	,	,	,	0
Thomas	Thomas	np1	Thomas	Thomas	0
de	de	dt	the	the	0
Fur-nival	Fur-nival	j	Fur-nival	fur-nival	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
brother	brother	n1	brother	brother	0
Gerard	Gerard	np1	Gerard	Gerard	0
de	de	fw-fr	de	de	0
Furnivall	Furnivall	np1	Furnivall	Furnivall	0
,	,	,	,	,	0
Hugh	Hugh	np1	Hugh	Hugh	0
Wake	Wake	vvb	Wake	wake	0
,	,	,	,	,	0
Almerike	Almerike	j	Almerike	almerike	0
de	de	fw-fr	de	de	0
S.	S.	n1	S.	saint	0
Aumond	Aumond	np1	Aumond	Aumond	0
,	,	,	,	,	0
Wiscard	Wiscard	vvb	Wiscard	wiscard	0
Ledet	Ledet	np1	Ledet	Ledet	0
,	,	,	,	,	0
Punchard	Punchard	np1	Punchard	Punchard	0
de	de	fw-fr	de	de	0
Dewin	Dewin	np1	Dewin	Dewin	0
,	,	,	,	,	0
and	and	cc	and	and	0
William	William	np1	William	William	0
de	de	fw-fr	de	de	0
Dewin	Dewin	np1	Dewin	Dewin	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
brethren	brethren	n2	brothers	brethren	0
,	,	,	,	,	0
Gerard	Gerard	np1	Gerard	Gerard	0
Pesmes	Pesmes	np1	Pesmes	Pesmes	0
,	,	,	,	,	0
Fouke	Fouke	np1	Fouke	Fouke	0
de	de	fw-fr	de	de	0
Baugie	Baugie	np1	Baugie	Baugie	0
,	,	,	,	,	0
and	and	cc	and	and	0
Peter	Peter	np1	Peter	Peter	0
de	de	fw-fr	de	de	0
Chauntenay	Chauntenay	np1	Chauntenay	Chauntenay	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Shortly	Shortly	av-j	Shortly	short	0
after	after	c-acp	after	after	0
also	also	av	also	also	0
John	John	np1	John	John	0
earle	earle	n1	earl	earl	0
of	of	pp-f	of	of	0
Albemarle	Albemarle	np1	Albemarle	Albemarle	0
,	,	,	,	,	0
William	William	np1	William	William	0
Fortis	Fortis	fw-la	Fortis	fortis	0
,	,	,	,	,	0
and	and	cc	and	and	0
Peter	Peter	np1	Peter	Peter	0
de	de	dt	the	the	0
Mallow	Mallow	n1	Mallow	mallow	0
a	a	dt	a	a	0
Poictouin	Poictouin	np1	Poictouin	Poictouin	0
,	,	,	,	,	0
men	men	n2	men	man	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
valiancy	valiancy	n1	valiancy	valiancy	0
greatly	greatly	av-j	greatly	great	0
renowmed	renowmed	vvn	renowned	renown	0
,	,	,	,	,	0
went	went	vvd	went	go	0
thither	thither	av	thither	thither	0
,	,	,	,	,	0
leading	leading	vvg	leading	lead	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
a	a	dt	a	a	0
great	great	j	great	great	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
Christian	Christian	njp	Christian	christian	0
souldiers	souldiers	n2	soldiers	soldier	0
.	.	.	.	.	1
Matth.	Matth.	np1	Matth.	Matth.	0
Paris	Paris	np1	Paris	Paris	0
.	.	.	.	.	1
Matth.	Matth.	np1	Matth.	Matth.	0
West	West	n1	West	west	0
