A	A	dt	A	a	0
preparation	preparation	n1	preparation	preparation	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Henrie	Henrie	np1	Henrie	Henry	0
the	the	dt	the	the	0
fourth	fourth	ord	fourth	four	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
land	land	n1	land	land	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
infidels	infidels	n2	infidels	infidel	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
1413	1413	crd	1413	1413	0
,	,	,	,	,	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
last	last	ord	last	last	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
reigne	reigne	n1	reign	reign	0
:	:	:	:	:	0
wherein	wherein	c-crq	wherein	wherein	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
prevented	prevented	vvn	prevented	prevent	0
by	by	p-acp	by	by	0
death	death	n1	death	death	0
:	:	:	:	:	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
Walsingham	Walsingham	np1	Walsingham	Walsingham	0
,	,	,	,	,	0
Fabian	Fabian	np1	Fabian	Fabian	0
,	,	,	,	,	0
Polydore	Polydore	np1	Polydore	Polydore	0
Virgile	Virgile	np1	Virgile	Virgile	0
,	,	,	,	,	0
and	and	cc	and	and	0
Holenshed	Holenshed	np1	Holenshed	Holenshed	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
N	N	wd	N	n	0
this	this	d	this	this	0
foureteenth	foureteenth	ord	foureteenth	fourteen	0
and	and	cc	and	and	0
last	last	ord	last	last	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
king	king	n1	king	king	0
Henries	Henries	npg1	Henries	Henry	0
reigne	reigne	n1	reign	reign	0
a	a	dt	a	a	0
councell	councell	n1	council	council	0
was	was	vbds	was	be	0
holden	holden	vvn	held	hold	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
White	White	j-jn	White	white	0
friers	friers	n2	friars	friar	0
in	in	p-acp	in	in	0
London	London	np1	London	London	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
among	among	p-acp	among	among	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
,	,	,	,	,	0
order	order	n1	order	order	0
was	was	vbds	was	be	0
taken	taken	vvn	taken	take	0
for	for	p-acp	for	for	0
Order	Order	n1	Order	order	0
taken	taken	vvn	taken	take	0
ships	ships	n2	ships	ship	0
and	and	cc	and	and	0
gallies	gallies	n2	galleys	galley	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
builded	builded	vvn	built	build	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
ready	ready	j	ready	ready	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
necessary	necessary	j	necessary	necessary	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
provided	provided	vvn	provided	provide	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
meant	meant	vvd	meant	mean	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
land	land	n1	land	land	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
recover	recover	vvi	recover	recover	0
the	the	dt	the	the	0
city	city	n1	city	city	0
of	of	pp-f	of	of	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
infidels	infidels	n2	infidels	infidel	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
grieved	grieved	vvd	grieved	grieve	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
consider	consider	vvi	consider	consider	0
the	the	dt	the	the	0
great	great	j	great	great	0
malice	malice	n1	malice	malice	0
of	of	pp-f	of	of	0
Christian	Christian	njp	Christian	christian	0
princes	princes	n2	princes	prince	0
