A	A	dt	A	a	0
voiage	voiage	n1	voyage	voyage	0
made	made	vvd	made	make	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
unto	unto	p-acp	unto	unto	0
Guinea	Guinea	np1	Guinea	Guinea	0
and	and	cc	and	and	0
Benin	Benin	np1	Benin	Benin	0
in	in	p-acp	in	in	0
Affrike	Affrike	np1	Affrike	Africa	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
charges	charges	n2	charges	charge	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
marchants	marchants	ng2	merchants	merchant	0
Adventurers	Adventurers	n2	Adventurers	adventurer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1553.	1553.	crd	1553.	1553.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Was	Was	vbds	Was	be	0
desired	desired	vvd	desired	desire	0
by	by	p-acp	by	by	0
certaine	certaine	j	certain	certain	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
friends	friends	n2	friends	friend	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
some	some	d	some	some	0
mention	mention	n1	mention	mention	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Voiage	Voiage	n1	Voyage	voyage	0
,	,	,	,	,	0
that	that	cst	that	that	0
some	some	d	some	some	0
memorie	memorie	n1	memory	memory	0
thereof	thereof	av	thereof	thereof	0
might	might	vmd	might	may	0
remaine	remaine	vvi	remain	remain	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
posteritie	posteritie	n1	posterity	posterity	0
,	,	,	,	,	0
if	if	cs	if	if	0
either	either	d	either	either	0
iniquitie	iniquitie	n1	iniquity	iniquity	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
consuming	consuming	vvg	consuming	consume	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
or	or	cc	or	or	0
ignorance	ignorance	n1	ignorance	ignorance	0
creeping	creeping	vvg	creeping	creep	0
in	in	p-acp	in	in	0
by	by	p-acp	by	by	0
barbarousnesse	barbarousnesse	n1	barbarousness	barbarousness	0
and	and	cc	and	and	0
contempt	contempt	n1	contempt	contempt	0
of	of	pp-f	of	of	0
knowledge	knowledge	n1	knowledge	knowledge	0
should	should	vmd	should	shall	0
hereafter	hereafter	av	hereafter	hereafter	0
bury	bury	vvi	bury	bury	0
in	in	p-acp	in	in	0
obli	obli	fw-la	obli	obli	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
vion	vion	n1	vion	vion	0
so	so	av	so	so	0
woorthie	woorthie	j	worthy	worthy	0
attempts	attempts	n2	attempts	attempt	0
,	,	,	,	,	0
so	so	av	so	so	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
greatlier	greatlier	av-jc	greatlier	greatly	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
esteemed	esteemed	vvn	esteemed	esteem	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
before	before	a-acp	before	before	0
never	never	av	never	never	0
