Este	Este	np1	Este	Este	0
es	es	fw-fr	es	es	0
un	un	fw-fr	un	un	0
traslado	traslado	n1	traslado	traslado	0
bien	bien	fw-fr	bien	bien	0
y	y	fw-fr	y	y	0
fielmente	fielmente	fw-it	fielmente	fielmente	0
sacado	sacado	fw-it	sacado	sacado	0
da	da	fw-it	da	da	0
una	una	fw-la	una	una	0
carta	carta	fw-la	carta	carta	0
real	real	j	real	real	0
del	del	n1	deal	deal	0
Rey	Rey	np1	Rey	Rey	0
Muley	Muley	np1	Muley	Muley	0
Harriet	Harriet	np1	Harriet	Harriet	0
de	de	fw-fr	de	de	0
Fes	Fes	n2	Fes	fe	0
y	y	fw-fr	y	y	0
Emperador	Emperador	np1	Emperador	Emperador	0
de	de	fw-fr	de	de	0
Marruecos	Marruecos	np1	Marruecos	Marruecos	0
,	,	,	,	,	0
cuyo	cuyo	n1	cuyo	cuyo	0
tenor	tenor	n1	tenor	tenor	0
es	es	fw-la	es	es	0
este	este	fw-la	este	este	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
Segue	Segue	np1	Segue	Segue	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
On	On	p-acp	On	on	0
el	el	fw-es	el	el	0
nombre	nombre	fw-fr	nombre	nombre	0
de	de	fw-mi	de	de	0
Dios	Dios	fw-mi	Dios	dios	0
piadoso	piadoso	fw-mi	piadoso	piadoso	0
y	y	fw-fr	y	y	0
miseri-cordioso	miseri-cordioso	j	miseri-cordioso	miseri-cordioso	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
El	El	fw-es	El	el	0
siervo	siervo	fw-la	siervo	siervo	0
de	de	fw-fr	de	de	0
Dios	Dios	fw-mi	Dios	dios	0
soberano	soberano	fw-mi	soberano	soberano	0
,	,	,	,	,	0
el	el	fw-es	el	el	0
conquistador	conquistador	fw-es	conquistador	conquistador	0
per	per	fw-la	per	per	0
su	su	n1	sum	sum	0
causa	causa	fw-la	causa	causa	0
,	,	,	,	,	0
el	el	fw-es	el	el	0
successor	successor	n1	successor	successor	0
en	en	fw-fr	en	en	0
sal^ado	sal^ado	fw-es	sal^ado	sal^ado	0
por	por	fw-es	por	por	0
Dios	Dios	fw-es	Dios	dios	0
,	,	,	,	,	0
Emperador	Emperador	np1	Emperador	Emperador	0
de	de	fw-fr	de	de	0
los	los	fw-la	los	los	0
Moros	Moros	np1	Moros	Moros	0
,	,	,	,	,	0
hijo	hijo	fw-es	hijo	hijo	0
del	del	fw-it	del	del	0
Emperador	Emperador	np1	Emperador	Emperador	0
de	de	fw-fr	de	de	0
los	los	fw-la	los	los	0
Moros	Moros	np1	Moros	Moros	0
,	,	,	,	,	0
Jariffe	Jariffe	n1	Jariffe	jariffe	0
,	,	,	,	,	0
Haceni	Haceni	np1	Haceni	Haceni	0
,	,	,	,	,	0
el	el	fw-es	el	el	0
que	que	fw-es	que	que	0
perpetue	perpetue	n1	perpetue	perpetue	0
su	su	n1	sum	sum	0
honra	honra	n1	honra	honra	0
,	,	,	,	,	0
y	y	fw-mi	y	y	0
ensalge	ensalge	fw-mi	ensalge	ensalge	0
su	su	n1	sum	sum	0
estado	estado	n1	estado	estado	0
.	.	.	.	.	1
Se	Se	fw-la	Se	se	0
pone	pone	fw-la	pone	pone	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
este	este	fw-fr	este	este	0
nuestro	nuestro	n1	nuestro	nuestro	0
real	real	j	real	real	0
mandado	mandado	fw-es	mandado	mandado	0
en	en	fw-fr	en	en	0
manos	manos	fw-la	manos	manos	0
de	de	fw-fr	de	de	0
los	los	fw-la	los	los	0
criados	criados	fw-mi	criados	criados	0
de	de	fw-la	de	de	0
nuestras	nuestras	fw-es	nuestras	nuestras	0
altas	altas	fw-la	altas	altas	0
puertas	puertas	fw-la	puertas	puertas	0
los	los	fw-la	los	los	0
mercadores	mercadores	vvz	mercadores	mercadore	0
Yngleses	Yngleses	fw-es	Yngleses	yngleses	0
;	;	;	;	;	0
para	para	fw-it	para	para	0
que	que	fw-fr	que	que	0
por	por	zz	por	por	0
el	el	fw-es	el	el	0
sepan	sepan	n1	sepan	sepan	0
todos	todos	fw-es	todos	todo	0
los	los	fw-la	los	los	0
que	que	fw-fr	que	que	0
la	la	fw-fr	la	la	0
presente	presente	n1	present	present	0
vieren	vieren	fw-mi	vieren	vieren	0
,	,	,	,	,	0
come	come	vvb	come	come	0
nuestro	nuestro	n1	nuestro	nuestro	0
alto	alto	fw-mi	alto	alto	0
Conseio	Conseio	np1	Conseio	Conseio	0
les	les	fw-fr	les	les	0
anpara	anpara	fw-la	anpara	anpara	0
con	con	fw-mi	con	con	0
el	el	fw-es	el	el	0
favor	favor	n1	favour	favour	0
de	de	fw-fr	de	de	0
Dios	Dios	fw-mi	Dios	dios	0
de	de	fw-fr	de	de	0
todo	todo	fw-es	todo	todo	0
aquello	aquello	fw-it	aquello	aquello	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
les	les	fw-fr	les	les	0
enpeciere	enpeciere	fw-fr	enpeciere	enpeciere	0
y	y	fw-fr	y	y	0
dannare	dannare	fw-la	dannare	dannare	0
en	en	fw-fr	en	en	0
qualquiera	qualquiera	fw-fr	qualquiera	qualquiera	0
manera	manera	fw-la	manera	manera	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
fueren	fueren	n1	fueren	fueren	0
offendidos	offendidos	fw-mi	offendidos	offendidos	0
,	,	,	,	,	0
y	y	fw-mi	y	y	0
en	en	fw-fr	en	en	0
