En	En	fw-fr	En	en	0
nombre	nombre	fw-fr	nombre	nombre	0
de	de	fw-fr	de	de	0
Dios	Dios	fw-es	Dios	dios	0
el	el	fw-es	el	el	0
piadoso	piadoso	fw-la	piadoso	piadoso	0
piadador	piadador	fw-la	piadador	piadador	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Oracion	Oracion	n1	Oration	oration	0
de	de	fw-fr	de	de	0
Dios	Dios	fw-mi	Dios	dios	0
sobre	sobre	j	sober	sober	0
nuestro	nuestro	n1	nuestro	nuestro	0
Sen	Sen	av	Sen	then	0
nor	nor	ccx	nor	nor	0
y	y	pn22	y	you	0
Propheta	Propheta	np1	Propheta	Propheta	0
Mahumet	Mahumet	np1	Mahumet	Mahumet	0
,	,	,	,	,	0
y	y	fw-mi	y	y	0
los	los	fw-la	los	los	0
allegados	allegados	fw-mi	allegados	allegados	0
a	a	fw-es	a	a	0
el	el	fw-es	el	el	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
L	L	sy	L	l	0
siervo	siervo	fw-la	siervo	siervo	0
de	de	fw-mi	de	de	0
Dios	Dios	fw-mi	Dios	dios	0
,	,	,	,	,	0
y	y	fw-mi	y	y	0
muy	muy	fw-es	muy	muy	0
ensalsado	ensalsado	fw-it	ensalsado	ensalsado	0
por	por	fw-es	por	por	0
la	la	fw-it	la	la	0
gratia	gratia	fw-la	gratia	gratia	0
de	de	fw-fr	de	de	0
Momanyn	Momanyn	np1	Momanyn	Momanyn	0
,	,	,	,	,	0
hijo	hijo	fw-es	hijo	hijo	0
de	de	fw-fr	de	de	0
Myra	Myra	np1	Myra	Myra	0
nieto	nieto	fw-la	nieto	nieto	0
de	de	fw-fr	de	de	0
Myra	Myra	np1	Myra	Myra	0
Momanyn	Momanyn	np1	Momanyn	Momanyn	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
guerrero	guerrero	fw-it	guerrero	guerrero	0
,	,	,	,	,	0
y	y	fw-mi	y	y	0
Dios	Dios	fw-mi	Dios	dios	0
,	,	,	,	,	0
Myra	Myra	np1	Myra	Myra	0
Momanyn	Momanyn	np1	Momanyn	Momanyn	0
,	,	,	,	,	0
el	el	fw-es	el	el	0
Jarif	Jarif	np1	Jarif	Jarif	0
,	,	,	,	,	0
el	el	fw-es	el	el	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
Mully	Mully	n1	Mully	mulai	0
Hamet	Hamet	np1	Hamet	Hamet	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Erle	Erle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Leicester	Leicester	np1	Leicester	Leicester	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
sus	sus	fw-la	sus	sus	0
reyn	reyn	vvb	reyn	rein	0
os	os	fw-la	os	os	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Hazeny	Hazeny	vvi	Hazeny	hazeny	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
Dios	Dios	fw-es	Dios	dios	0
sustenga	sustenga	fw-la	sustenga	sustenga	0
sus	sus	fw-la	sus	sus	0
reynos	reynos	fw-la	reynos	reynos	0
,	,	,	,	,	0
y	y	fw-fr	y	y	0
enhalse	enhalse	j	enhalse	enhalse	0
sus	sus	fw-la	sus	sus	0
mandados	mandados	n2	mandados	mandado	0
,	,	,	,	,	0
para	para	fw-mi	para	para	0
el	el	fw-es	el	el	0
Sennor	Sennor	n1	Sennor	signior	0
muy	muy	fw-es	muy	muy	0
affamado	affamado	fw-it	affamado	affamado	0
y	y	fw-es	y	y	0
muy	muy	fw-es	muy	muy	0
illustre	illustre	fw-it	illustre	illustre	0
,	,	,	,	,	0
muy	muy	fw-es	muy	muy	0
esti	esti	fw-la	esti	esti	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
[	[	[	[	[	0
II.	II.	crd	II	ii	0
ii	ii	crd	ii	two	0
.	.	.	.	.	1
119.	119.	crd	119.	119.	0
]	]	]	]	]	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
mado	mado	fw-it	mado	mado	0
,	,	,	,	,	0
el	el	fw-es	el	el	0
Conde	Conde	np1	Conde	Conde	0
de	de	fw-fr	de	de	0
Leycester	Leycester	np1	Leycester	Leycester	0
,	,	,	,	,	0
despues	despues	vvz	despues	despue	0
de	de	dt	the	the	0
dar	dar	n1	dar	dar	0
las	las	fw-la	las	las	0
loores	loores	n2	loores	loore	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
devidas	devidas	fw-la	devidas	devidas	0
a	a	fw-es	a	a	0
Dios	Dios	fw-es	Dios	dios	0
,	,	,	,	,	0
y	y	fw-mi	y	y	0
las	las	fw-la	las	las	0
orationes	orationes	fw-la	orationes	orationes	0
,	,	,	,	,	0
y	y	zz	y	y	0
saludes	saludes	vvz	saludes	salude	0
devidas	devidas	fw-la	devidas	devidas	0
a	a	fw-fr	a	a	0
le	le	fw-fr	le	le	0
Propheta	Propheta	np1	Propheta	Propheta	0
Mahumet	Mahumet	np1	Mahumet	Mahumet	0
.	.	.	.	.	1
Serviri	Serviri	np1	Serviri	Serviri	0
esta	esta	fw-la	esta	esta	0
por	por	fw-es	por	por	0
os	os	fw-la	os	os	0
hazer	hazer	fw-es	hazer	hacer	0
saber	saber	n1	saber	saber	0
que	que	fw-fr	que	que	0
llegd	llegd	j	llegd	llegd	0
a	a	dt	a	a	0
qui	qui	fw-fr	qui	qui	0
a	a	fw-es	a	a	0
nuestra	nuestra	fw-es	nuestra	nuestra	0
real	real	j	real	real	0
Corte	Corte	zz	Corte	corte	0
vuestra	vuestra	fw-es	vuestra	vuestra	0
carta	carta	fw-la	carta	carta	0
,	,	,	,	,	0
y	y	fw-fr	y	y	0
enten-dimos	enten-dimos	j	enten-dimos	enten-dimos	0
lo	lo	uh	lo	lo	0
que	que	fw-fr	que	que	0
en	en	fw-fr	en	en	0
ella	ella	fw-la	ella	ella	0
se	se	fw-la	se	se	0
contiene	contiene	fw-fr	contiene	contiene	0
.	.	.	.	.	1
Y	Y	zz	Y	y	0
vuestro	vuestro	n1	vuestro	vuestro	0
Ambaxador	Ambaxador	n1	Ambaxador	ambaxador	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
aqui	aqui	fw-la	aqui	aqui	0
esta	esta	fw-la	esta	esta	0
en	en	fw-fr	en	en	0
nuestra	nuestra	fw-es	nuestra	nuestra	0
corte	corte	fw-la	corte	corte	0
me	me	pno11	me	i	0
dio	dio	fw-mi	dio	dio	0
a	a	dt	a	a	0
entender	entender	j	entender	entend	0
la	la	fw-fr	la	la	0
causa	causa	fw-la	causa	causa	0
de	de	fw-fr	de	de	0
la	la	fw-fr	la	la	0
tardanda	tardanda	fw-fr	tardanda	tardanda	0
de	de	fw-fr	de	de	0
los	los	fw-la	los	los	0
rehenes	rehenes	n1	rehenes	rehenes	0
hasta	hasta	fw-la	hasta	hasta	0
agora	agora	n1	agora	agora	0
:	:	:	:	:	0
el	el	fw-es	el	el	0
qual	qual	j-jn-u	qual	qual	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
430	430	crd	430	430	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
descuento	descuento	fw-it	descuento	descuento	0
re^ebimos	re^ebimos	fw-la	re^ebimos	re^ebimos	0
,	,	,	,	,	0
y	y	fw-mi	y	y	0
nos	nos	fw-la	nos	nos	0
damos	damos	n2	damos	damo	0
por	por	fw-es	por	por	0
satisfechos	satisfechos	fw-mi	satisfechos	satisfechos	0
.	.	.	.	.	1
Y	Y	zz	Y	y	0
quanta	quanta	n1	quantam	quantam	0
a	a	dt	a	a	0
lo	lo	uh	lo	lo	0
que	que	fw-fr	que	que	0
a	a	fw-fr	a	a	0
nos	nos	fw-la	nos	nos	0
escriveys	escriveys	vvz	escriveys	escrivey	0
por	por	zz	por	por	0
causa	causa	fw-la	causa	causa	0
de	de	fw-fr	de	de	0
Juan	Juan	np1	Juan	Juan	0
Herman	Herman	np1	Herman	Herman	0
,	,	,	,	,	0
y	y	fw-mi	y	y	0
lo	lo	uh	lo	lo	0
mesmo	mesmo	fw-la	mesmo	mesmo	0
que	que	fw-fr	que	que	0
nos	nos	fw-la	nos	nos	0
ha	ha	uh	would	ha	0
dicho	dicho	n1	dicho	dicho	0
el	el	fw-es	el	el	0
Ambaxador	Ambaxador	fw-es	Ambaxador	ambaxador	0
sobre	sobre	j	sober	sober	0
el	el	fw-es	el	el	0
,	,	,	,	,	0
antes	antes	n2	ants	ant	0
que	que	fw-fr	que	que	0
llegasse	llegasse	n1	llegasse	llegasse	0
vuestra	vuestra	fw-es	vuestra	vuestra	0
carta	carta	fw-la	carta	carta	0
por	por	zz	por	por	0
la	la	fw-fr	la	la	0
quexa	quexa	fw-la	quexa	quexa	0
del	del	n1	deal	deal	0
ambaxador	ambaxador	fw-la	ambaxador	ambaxador	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
se	se	fw-la	se	se	0
avia	avia	fw-la	avia	avia	0
quexado	quexado	fw-it	quexado	quexado	0
del	del	fw-it	del	del	0
,	,	,	,	,	0
ya	ya	uh	ya	ya	0
aviamos	aviamos	n2	aviamos	aviamo	0
mandado	mandado	fw-es	mandado	mandado	0
prender	prender	vvi	prender	prender	0
lo	lo	uh	lo	lo	0
,	,	,	,	,	0
y	y	fw-fr	y	y	0
assi	assi	fw-fr	assi	assi	0
que	que	fw-fr	que	que	0
da	da	fw-la	da	da	0
aora	aora	fw-la	aora	aora	0
preso	preso	av	preso	preso	0
,	,	,	,	,	0
y	y	fw-mi	y	y	0
quedera	quedera	fw-mi	quedera	quedera	0
,	,	,	,	,	0
hasta	hasta	fw-la	hasta	hasta	0
que	que	fw-fr	que	que	0
se	se	fw-la	se	se	0
le	le	fw-fr	le	le	0
haga	haga	fw-la	haga	haga	0
la	la	fw-fr	la	la	0
j	j	crd	j	j	0
usticia	usticia	n1	usticia	usticia	0
que	que	fw-fr	que	que	0
mas	mas	n1	mass	mass	0
se	se	fw-mi	se	se	0
le	le	fw-fr	le	le	0
ha	ha	uh	would	ha	0
de	de	fw-fr	de	de	0
hazer	hazer	fw-es	hazer	hacer	0
.	.	.	.	.	1
Y	Y	zz	Y	y	0
con	con	fw-mi	con	con	0
tanto	tanto	fw-la	tanto	tanto	0
nuestro	nuestro	n1	nuestro	nuestro	0
Sennor	Sennor	n1	Sennor	signior	0
os	os	fw-la	os	os	0
tenga	tenga	fw-la	tenga	tenga	0
en	en	fw-fr	en	en	0
su	su	n1	sum	sum	0
guardia	guardia	fw-la	guardia	guardia	0
.	.	.	.	.	1
Hecha	Hecha	np1	Hecha	Hecha	0
en	en	fw-fr	en	en	0
nuestra	nuestra	fw-es	nuestra	nuestra	0
corte	corte	fw-la	corte	corte	0
real	real	j	real	real	0
en	en	fw-fr	en	en	0
Marruecos	Marruecos	np1	Marruecos	Marruecos	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
Dios	Dios	fw-es	Dios	dios	0
sostenga	sostenga	fw-es	sostenga	sostenga	0
,	,	,	,	,	0
el	el	fw-es	el	el	0
28.	28.	crd	28.	28.	0
dias	dias	fw-la	dias	dias	0
del	del	fw-it	del	del	0
mes	mes	fw-fr	mes	mes	0
de	de	fw-fr	de	de	0
Remodan	Remodan	np1	Remodan	Remodan	0
anno	anno	fw-la	anno	anno	0
996.	996.	crd	996.	996.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
In	In	p-acp	In	in	0
the	the	dt	the	the	0
Name	Name	n1	Name	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mercifull	mercifull	j	merciful	merciful	0
and	and	cc	and	and	0
pitifull	pitifull	j	pitiful	pitiful	0
God	God	np1	God	God	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
blessing	blessing	vvg	blessing	bless	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
light	light	n1	light	light	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
and	and	cc	and	and	0
prophet	prophet	n1	prophet	prophet	0
Mahumet	Mahumet	np1	Mahumet	Mahumet	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
obedient	obedient	j	obedient	obedient	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
servant	servant	n1	servant	servant	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
both	both	d	both	both	0
mightie	mightie	j	mighty	mighty	0
in	in	p-acp	in	in	0
warre	warre	n1	war	war	0
and	and	cc	and	and	0
mightily	mightily	av-j	mightily	mighty	0
exalted	exalted	vvn	exalted	exalt	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Myra	Myra	np1	Myra	Myra	0
Momanyn	Momanyn	np1	Momanyn	Momanyn	0
,	,	,	,	,	0
the	the	dt	the	the	0
son	son	n1	son	son	0
of	of	pp-f	of	of	0
Myra	Myra	np1	Myra	Myra	0
Momanyn	Momanyn	np1	Momanyn	Momanyn	0
,	,	,	,	,	0
the	the	dt	the	the	0
Jariff	Jariff	np1	Jariff	Jariff	0
,	,	,	,	,	0
the	the	dt	the	the	0
Hazeni	Hazeni	np2	Hazeni	hazeni	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
kingdoms	kingdoms	n2	kingdoms	kingdom	0
God	God	np1	God	God	0
maintaine	maintaine	vvi	maintain	maintain	0
and	and	cc	and	and	0
advance	advance	vvi	advance	advance	0
his	his	po31	his	his	0
authoritie	authoritie	n1	authority	authority	0
:	:	:	:	:	0
Unto	Unto	p-acp	Unto	unto	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
famous	famous	j	famous	famous	0
,	,	,	,	,	0
right	right	av-jn	right	right	0
noble	noble	j	noble	noble	0
,	,	,	,	,	0
&	&	cc	&	and	0
right	right	vvi	right	right	0
highly	highly	av-j	highly	high	0
esteemed	esteemed	j-vvn	esteemed	esteem	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Erle	Erle	np1	Erle	Erle	0
of	of	pp-f	of	of	0
Leicester	Leicester	np1	Leicester	Leicester	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
due	due	j-jn	due	due	0
praises	praises	n2	praises	praise	0
given	given	vvn	given	give	0
unto	unto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
&	&	cc	&	and	0
due	due	j-jn	due	due	0
blessings	blessings	n2	blessings	blessing	0
and	and	cc	and	and	0
salutations	salutations	n2	salutations	salutation	0
rendred	rendred	vvn	rendered	render	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
prophet	prophet	n1	prophet	prophet	0
Mahumet	Mahumet	np1	Mahumet	Mahumet	0
.	.	.	.	.	1
These	These	d	These	these	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
letters	letters	n2	letters	letter	0
arrived	arrived	vvn	arrived	arrive	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
royal	royal	j	royal	royal	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
wel	wel	av	well	well	0
perceive	perceive	vvb	perceive	perceive	0
the	the	dt	the	the	0
contents	contents	n2	contents	content	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
And	And	cc	And	and	0
your	your	po22	your	your	0
Ambassador	Ambassador	n1	Ambassador	ambassador	0
which	which	r-crq	which	which	0
remaineth	remaineth	vvz	remains	remain	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Court	Court	n1	Court	court	0
told	told	vvd	told	tell	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
slownesse	slownesse	n1	slowness	slowness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
gages	gages	n2	gages	gage	0
or	or	cc	or	or	0
pledges	pledges	n2	pledges	pledge	0
until	until	c-acp	until	until	0
this	this	d	this	this	0
time	time	n1	time	time	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
reckoning	reckoning	vvg	reckoning	reckon	0
we	we	pns12	we	we	0
accept	accept	vvb	accept	accept	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
and	and	cc	and	and	0
holde	holde	vvb	hold	hold	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
as	as	c-acp	as	as	0
satisfied	satisfied	vvn	satisfied	satisfy	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
wherof	wherof	c-crq	whereof	whereof	0
you	you	pn22	you	you	0
write	write	vvb	write	write	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
concerning	concerning	vvg	concerning	concern	0
John	John	np1	John	John	0
Herman	Herman	np1	Herman	Herman	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
selfe	selfe	n1	self	self	0
same	same	d	same	same	0
complaint	complaint	n1	complaint	complaint	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
Ambassador	Ambassador	n1	Ambassador	ambassador	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
comming	comming	n-vvg	coming	come	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
letter	letter	n1	letter	letter	0
,	,	,	,	,	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
already	already	av	already	already	0
commaunded	commaunded	vvn	commanded	command	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
complaint	complaint	n1	complaint	complaint	0
