Orders	Orders	n1	Order	order	0
agreed	agreed	vvn	agreed	agree	0
upon	upon	p-acp	upon	upon	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Captaines	Captaines	n2	Captains	captain	0
and	and	cc	and	and	0
Masters	Masters	n2	Master's	master	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
observed	observed	vvn	observed	observe	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
fleet	fleet	n1	fleet	fleet	0
of	of	pp-f	of	of	0
Sir	Sir	n1	Sir	sir	0
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
Gilbert	Gilbert	np1	Gilbert	Gilbert	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Irst	Irst	vvb	Irst	irst	0
the	the	dt	the	the	0
Admirall	Admirall	n1	Admiral	admiral	0
to	to	pc-acp	to	to	0
cary	cary	vvi	carry	carry	0
his	his	po31	his	his	0
flag	flag	n1	flag	flag	0
by	by	p-acp	by	by	0
day	day	n1	day	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
light	light	n1	light	light	0
by	by	p-acp	by	by	0
night	night	n1	night	night	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
2	2	crd	2	2	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Admirall	Admirall	n1	Admiral	admiral	0
shall	shall	vmb	shall	shall	0
shorten	shorten	vvi	shorten	shorten	0
his	his	po31	his	his	0
saile	saile	n1	sail	sail	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
by	by	p-acp	by	by	0
night	night	n1	night	night	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
two	two	crd	two	two	0
lights	lights	n2	lights	light	0
untill	untill	c-acp	until	until	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
answered	answered	vvn	answered	answer	0
againe	againe	av	again	again	0
by	by	p-acp	by	by	0
every	every	d	every	every	0
ship	ship	n1	ship	ship	0
shewing	shewing	vvg	showing	show	0
one	one	crd	one	one	0
light	light	n1	light	light	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
short	short	j	short	short	0
time	time	n1	time	time	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
3	3	crd	3	3	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Admirall	Admirall	n1	Admiral	admiral	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
shortening	shortening	n-vvg	shortening	shorten	0
of	of	pp-f	of	of	0
saile	saile	n1	sail	sail	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
aforesayd	aforesayd	vvn	aforesaid	aforesaid	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
make	make	vvi	make	make	0
more	more	dc	more	more	0
saile	saile	n1	sail	sail	0
againe	againe	av	again	again	0
:	:	:	:	:	0
then	then	cs	then	than	0
he	he	pns31	he	he	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
three	three	crd	three	three	0
lights	lights	n2	lights	light	0
one	one	crd	one	one	0
above	above	p-acp	above	above	0
another	another	n-jn	another	another	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
4	4	crd	4	4	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Admirall	Admirall	n1	Admiral	admiral	0
shall	shall	vmb	shall	shall	0
happen	happen	vvi	happen	happen	0
to	to	pc-acp	to	to	0
hull	hull	vvi	hull	hull	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
night	night	n1	night	night	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
wavering	wavering	j-vvg	wavering	waver	0
light	light	n1	light	light	0
over	over	p-acp	over	over	0
his	his	po31	his	his	0
other	other	j-jn	other	other	0
light	light	n1	light	light	0
,	,	,	,	,	0
wavering	wavering	vvg	wavering	waver	0
the	the	dt	the	the	0
light	light	n1	light	light	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
pole	pole	n1	pole	pole	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
5	5	crd	5	5	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
fleet	fleet	n1	fleet	fleet	0
should	should	vmd	should	shall	0
happen	happen	vvi	happen	happen	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
scattered	scattered	vvn	scattered	scatter	0
weather	weather	n1	weather	weather	0
,	,	,	,	,	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
mishap	mishap	n1	mishap	mishap	0
,	,	,	,	,	0
then	then	av	then	then	0
so	so	av	so	so	0
soone	soone	av	soon	soon	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
shall	shall	vmb	shall	shall	0
descry	descry	vvi	descry	descry	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
hoise	hoise	vvi	hoist	hoist	0
both	both	d	both	both	0
toppe	toppe	n1	top	top	0
sailes	sailes	vvz	sails	sail	0
twise	twise	av	twice	twice	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
weather	weather	n1	weather	weather	0
will	will	vmb	will	will	0
serve	serve	vvi	serve	serve	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
strike	strike	vvi	strike	strike	0
them	them	pno32	them	they	0
twise	twise	av	twice	twice	0
againe	againe	av	again	again	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
if	if	cs	if	if	0
the	the	dt	the	the	0
weather	weather	n1	weather	weather	0
serve	serve	vvb	serve	serve	0
not	not	xx	not	not	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
hoise	hoise	vvi	hoist	hoist	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
top	top	n1	top	top	0
saile	saile	vvi	sail	sail	0
twise	twise	av	twice	twice	0
,	,	,	,	,	0
and	and	cc	and	and	0
forthwith	forthwith	av	forthwith	forthwith	0
to	to	pc-acp	to	to	0
strike	strike	vvi	strike	strike	0
it	it	pn31	it	it	0
twise	twise	av	twice	twice	0
againe	againe	av	again	again	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
6	6	crd	6	6	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
happen	happen	vvi	happen	happen	0
a	a	dt	a	a	0
great	great	j	great	great	0
fogge	fogge	n1	fog	fog	0
to	to	pc-acp	to	to	0
fall	fall	vvi	fallen	fall	0
,	,	,	,	,	0
then	then	av	then	then	0
presently	presently	av-j	presently	present	0
every	every	d	every	every	0
shippe	shippe	n1	ship	ship	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
up	up	a-acp	up	up	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
admirall	admirall	n1	admiral	admiral	0
,	,	,	,	,	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
winde	winde	n1	wind	wind	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
calme	calme	j-jn	calm	calm	0
,	,	,	,	,	0
then	then	cs	then	than	0
every	every	d	every	every	0
ship	ship	n1	ship	ship	0
to	to	pc-acp	to	to	0
hull	hull	vvi	hull	hull	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
lie	lie	vvi	lie	lie	0
at	at	p-acp	at	at	0
hull	hull	n1	hull	hull	0
till	till	c-acp	till	till	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
cleere	cleere	j	clear	clear	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
the	the	dt	the	the	0
fogge	fogge	n1	fog	fog	0
do	do	vdb	do	do	0
continue	continue	vvi	continue	continue	0
long	long	av-j	long	long	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
Admirall	Admirall	n1	Admiral	admiral	0
to	to	pc-acp	to	to	0
shoot	shoot	vvi	shoot	shoot	0
ofF	ofF	a-acp	ofF	off	0
two	two	crd	two	two	0
pieces	pieces	n2	pieces	piece	0
every	every	d	every	every	0
evening	evening	n1	evening	evening	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
ship	ship	n1	ship	ship	0
to	to	pc-acp	to	to	0
answere	answere	vvi	answer	answer	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
one	one	crd	one	one	0
shot	shot	n1	shot	shot	0
:	:	:	:	:	0
and	and	cc	and	and	0
every	every	d	every	every	0
man	man	n1	man	man	0
bearing	bearing	vvg	bearing	bear	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
leeward	leeward	av	leeward	leeward	0
so	so	av	so	so	0
neere	neere	av-j	near	near	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
7	7	crd	7	7	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
every	every	d	every	every	0
master	master	n1	master	master	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
charge	charge	n1	charge	charge	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
watch	watch	n1	watch	watch	0
to	to	pc-acp	to	to	0
looke	looke	vvi	look	look	0
out	out	av	out	out	0
well	well	av	well	well	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
laying	laying	vvg	laying	lay	0
aboord	aboord	a-acp	aboard	aboard	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
another	another	j-jn	another	another	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
night	night	n1	night	night	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
fogges	fogges	n2	fogs	fog	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
8	8	crd	8	8	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
every	every	d	every	every	0
evening	evening	n1	evening	evening	0
every	every	d	every	every	0
ship	ship	n1	ship	ship	0
to	to	pc-acp	to	to	0
haile	haile	vvi	hail	hail	0
the	the	dt	the	the	0
admirall	admirall	n1	admiral	admiral	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
fall	fall	vvi	fallen	fall	0
asterne	asterne	j	astern	astern	0
him	him	pno31	him	he	0
,	,	,	,	,	0
sailing	sailing	vvg	sailing	sail	0
thorow	thorow	p-acp	thorough	through	0
the	the	dt	the	the	0
Ocean	Ocean	n1	Ocean	ocean	0
:	:	:	:	:	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
,	,	,	,	,	0
every	every	d	every	every	0
ship	ship	n1	ship	ship	0
to	to	pc-acp	to	to	0
haile	haile	vvi	hail	hail	0
him	him	pno31	him	he	0
both	both	d	both	both	0
morning	morning	n1	morning	morning	0
and	and	cc	and	and	0
evening	evening	n1	evening	evening	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
9	9	crd	9	9	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
if	if	cs	if	if	0
any	any	d	any	any	0
ship	ship	n1	ship	ship	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
danger	danger	n1	danger	danger	0
any	any	d	any	any	0
way	way	n1	way	way	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
leake	leake	n1	leak	leak	0
or	or	cc	or	or	0
otherwise	otherwise	av	otherwise	otherwise	0
,	,	,	,	,	0
then	then	cs	then	than	0
she	she	pns31	she	she	0
to	to	pc-acp	to	to	0
shoot	shoot	vvi	shoot	shoot	0
ofF	ofF	a-acp	ofF	off	0
a	a	dt	a	a	0
piece	piece	n1	piece	piece	0
,	,	,	,	,	0
and	and	cc	and	and	0
presently	presently	av-j	presently	present	0
to	to	pc-acp	to	to	0
hang	hang	vvi	hang	hang	0
out	out	av	out	out	0
one	one	crd	one	one	0
light	light	n1	light	light	0
,	,	,	,	,	0
whereupon	whereupon	c-crq	whereupon	whereupon	0
every	every	d	every	every	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
towards	towards	p-acp	towards	towards	0
her	her	pno31	her	she	0
,	,	,	,	,	0
answering	answering	vvg	answering	answer	0
her	her	pno31	her	she	0
with	with	p-acp	with	with	0
one	one	crd	one	one	0
light	light	n1	light	light	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
short	short	j	short	short	0
time	time	n1	time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
it	it	pn31	it	it	0
out	out	av	out	out	0
againe	againe	av	again	again	0
;	;	;	;	;	0
thereby	thereby	av	thereby	thereby	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
knowledge	knowledge	n1	knowledge	knowledge	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
seene	seene	vvn	seen	see	0
her	her	po31	her	her	0
token	token	n1	token	token	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
10	10	crd	10	10	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
whensoever	whensoever	c-crq	whensoever	whensoever	0
the	the	dt	the	the	0
Admirall	Admirall	n1	Admiral	admiral	0
shall	shall	vmb	shall	shall	0
hang	hang	vvi	hang	hang	0
out	out	av	out	out	0
her	her	po31	her	her	0
ensigne	ensigne	n1	ensign	ensign	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
shrowds	shrowds	n2	shrowds	shrowd	0
,	,	,	,	,	0
then	then	cs	then	than	0
every	every	d	every	every	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
aboord	aboord	a-acp	aboard	aboard	0
her	her	pno31	her	she	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
counsell	counsell	n1	counsel	counsel	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
11	11	crd	11	11	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
happen	happen	vvi	happen	happen	0
any	any	d	any	any	0
storme	storme	n1	storm	storm	0
or	or	cc	or	or	0
contrary	contrary	j-jn	contrary	contrary	0
winde	winde	n1	wind	wind	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
fleet	fleet	n1	fleet	fleet	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
discovery	discovery	n1	discovery	discovery	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
separated	separated	vvn	separated	separate	0
:	:	:	:	:	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1583.	1583.	crd	1583.	1583.	0
then	then	cs	then	than	0
every	every	d	every	every	0
ship	ship	n1	ship	ship	0
