A	A	dt	A	a	0
relation	relation	n1	relation	relation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
reverend	reverend	j-jn	reverend	reverend	0
father	father	n1	father	father	0
Frier	Frier	n1	Friar	friar	0
Marco	Marco	np1	Marco	Marco	0
de	de	fw-fr	de	de	0
Nifa	Nifa	np1	Nifa	Nifa	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
his	his	po31	his	his	0
discovery	discovery	n1	discovery	discovery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king-dome	king-dome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
Cevola	Cevola	np1	Cevola	Cevola	0
or	or	cc	or	or	0
Cibola	Cibola	np1	Cibola	Cibola	0
,	,	,	,	,	0
situate	situate	vvb	situate	situate	0
about	about	p-acp	about	about	0
30.	30.	crd	30.	30.	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
latitude	latitude	n1	latitude	latitude	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
North	North	n1	North	north	0
of	of	pp-f	of	of	0
Nueva	Nueva	np1	Nueva	Nueva	0
Espanna	Espanna	np1	Espanna	Espanna	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Chap.	Chap.	np1	Chap.	Chap.	0
1.	1.	crd	1.	1.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Frier	Frier	np1	Frier	Frier	0
Marco	Marco	np1	Marco	Marco	0
de	de	fw-fr	de	de	0
Ni	Ni	fw-fr	Ni	ni	0
?	?	?	?	?	1
a	a	dt	a	a	0
departeth	departeth	vvz	departeth	depart	0
from	from	p-acp	from	from	0
Saint	Saint	n1	Saint	saint	0
Michael	Michael	np1	Michael	Michael	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Province	Province	n1	Province	province	0
of	of	pp-f	of	of	0
Culiacan	Culiacan	jp	Culiacan	culiacan	0
,	,	,	,	,	0
standing	standing	vvg	standing	stand	0
in	in	p-acp	in	in	0
24.	24.	crd	24.	24.	0
degrees	degrees	n2	degrees	degree	0
