A	A	dt	A	a	0
discourse	discourse	n1	discourse	discourse	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
Miles	Miles	n2	Miles	mile	0
Philips	Philips	vvz	Philips	fillip	0
Englishman	Englishman	np1	Englishman	Englishman	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
company	company	n1	company	company	0
put	put	vvd	put	put	0
on	on	p-acp	on	on	0
shoare	shoare	n1	shore	shore	0
Northward	Northward	av-j	Northward	northward	0
of	of	pp-f	of	of	0
Panuco	Panuco	np1	Panuco	Panuco	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np2	Indies	Indies	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Hawkins	Hawkins	np1	Hawkins	Hawkins	0
1568.	1568.	crd	1568.	1568.	0
conteining	conteining	vvg	containing	contain	0
many	many	d	many	many	0
special	special	j	special	special	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
countrey	countrey	n1	country	country	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Spanish	Spanish	jp	Spanish	spanish	0
government	government	n1	government	government	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
specially	specially	av-j	specially	special	0
of	of	pp-f	of	of	0
'	'	'	'	'	0
’	’	’	’	’	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
cruelties	cruelties	n2	cruelties	cruelty	0
used	used	vvn	used	use	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
,	,	,	,	,	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
of	of	pp-f	of	of	0
15.	15.	crd	15.	15.	0
or	or	cc	or	or	0
16.	16.	crd	16.	16.	0
yeres	yeres	n2	years	year	0
together	together	av	together	together	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
by	by	p-acp	by	by	0
and	and	cc	and	and	0
happy	happy	j	happy	happy	0
meanes	meanes	n2	means	mean	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
delivered	delivered	vvn	delivered	deliver	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1.	1.	crd	1.	1.	1
The	The	dt	The	the	0
Jesus	Jesus	np1	Jesus	Jesus	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
2.	2.	crd	2.	2.	1
The	The	dt	The	the	0
Myn-ion	Myn-ion	j	Minion	minion	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
^	^	^	^	^	0
.	.	.	.	.	1
TheWilliam	TheWilliam	np1	TheWilliam	TheWilliam	0
and	and	cc	and	and	0
John.	John.	np1	John.	John.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
