A	A	dt	A	a	0
Catalogue	Catalogue	n1	Catalogue	catalogue	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
Masters	Masters	n2	Master's	master	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Dutch	Dutch	jp	Dutch	dutch	0
knights	knights	n2	knights	knight	0
,	,	,	,	,	0
commonly	commonly	av-j	commonly	common	0
called	called	vvn	called	call	0
the	the	dt	the	the	0
Hospitalaries	Hospitalaries	n2	Hospitalaries	hospitalary	0
of	of	pp-f	of	of	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
:	:	:	:	:	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
great	great	j	great	great	0
exploites	exploites	n2	exploits	exploit	0
every	every	d	every	every	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
Masters	Masters	n2	Master's	master	0
hath	hath	vhz	hath	have	0
atchieved	atchieved	vvd	achieved	achieve	0
,	,	,	,	,	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
conquering	conquering	j-vvg	conquering	conquer	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
taming	taming	vvg	taming	tame	0
and	and	cc	and	and	0
subduing	subduing	j-vvg	subduing	subdue	0
the	the	dt	the	the	0
Infidels	Infidels	n2	Infidels	infidel	0
,	,	,	,	,	0
or	or	cc	or	or	0
els	els	av	else	else	0
in	in	p-acp	in	in	0
keeping	keeping	vvg	keeping	keep	0
them	them	pno32	them	they	0
under	under	p-acp	under	under	0
their	their	po32	their	their	0
obedience	obedience	n1	obedience	obedience	0
and	and	cc	and	and	0
subjection	subjection	n1	subjection	subjection	0
,	,	,	,	,	0
taken	taken	vvn	taken	take	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Munster	Munster	np1	Munster	Munster	0
.	.	.	.	.	1
He	He	pns31	He	he	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Dutch	Dutch	jp	Dutch	dutch	0
knights	knights	n2	knights	knight	0
had	had	vhd	had	have	0
their	their	po32	their	their	0
first	first	ord	first	first	0
original	original	n-jn	original	original	0
at	at	p-acp	at	at	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lorde	Lorde	n1	Lord	lord	0
1190.	1190.	crd	1190.	1190.	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
Hospitali	Hospitali	fw-la	Hospitali	hospitali	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
blessed	blessed	j-vvn	blessed	bless	0
Virgine	Virgine	n1	Virgin	virgin	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Master	Master	n1	Master	master	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
order	order	n1	order	order	0
was	was	vbds	was	be	0
called	called	vvn	called	call	0
Henrie	Henrie	np1	Henrie	Henry	0
of	of	pp-f	of	of	0
Walpot	Walpot	np1	Walpot	Walpot	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
whome	whome	ro-crq	whom	who	0
many	many	d	many	many	0
good	good	j	good	good	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
much	much	d	much	much	0
wealth	wealth	n1	wealth	wealth	0
and	and	cc	and	and	0
riches	riches	n2	riches	riches	0
were	were	vbdr	were	be	0
throughout	throughout	p-acp	throughout	throughout	0
all	all	d	all	all	0
Germanie	Germanie	np1	Germanie	Germany	0
and	and	cc	and	and	0
Italie	Italie	np1	Italie	Italy	0
procured	procured	vvd	procured	procure	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
order	order	n1	order	order	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
Hospitali	Hospitali	fw-la	Hospitali	hospitali	0
was	was	vbds	was	be	0
removed	removed	vvn	removed	remove	0
from	from	p-acp	from	from	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
unto	unto	p-acp	unto	unto	0
Ptolemais	Ptolemais	np1	Ptolemais	Ptolemais	0
,	,	,	,	,	0
otherwise	otherwise	av	otherwise	otherwise	0
called	called	vvd	called	call	0
Aeon	Aeon	np1	Aeon	Aeon	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
Order	Order	n1	Order	order	0
grew	grew	vvd	grew	grow	0
and	and	cc	and	and	0
mightily	mightily	av-j	mightily	mighty	0
increased	increased	vvd	increased	increase	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
hereafter	hereafter	av	hereafter	hereafter	0
discourse	discourse	vvi	discourse	discourse	0
more	more	av-dc	more	more	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Treatise	Treatise	n1	Treatise	treatise	0
of	of	pp-f	of	of	0
Syria	Syria	np1	Syria	Syria	0
.	.	.	.	.	1
Henrie	Henrie	np1	Henrie	Henry	0
of	of	pp-f	of	of	0
Walpot	Walpot	np1	Walpot	Walpot	0
deceased	deceased	vvn	deceased	decease	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
1200.	1200.	crd	1200.	1200.	1
The	The	dt	The	the	0
2.	2.	crd	2.	2.	1
Master	Master	n1	Master	master	0
was	was	vbds	was	be	0
Otto	Otto	np1	Otto	Otto	0
of	of	pp-f	of	of	0
Kerpen	Kerpen	np1	Kerpen	Kerpen	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
continued	continued	vvd	continued	continue	0
Master	Master	n1	Master	master	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Order	Order	n1	Order	order	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
sixe	sixe	crd	sixe	six	0
yeeres	yeeres	n2	years	year	0
.	.	.	.	.	1
The	The	dt	The	the	0
3.	3.	crd	3.	3.	0
was	was	vbds	was	be	0
Hermannus	Hermannus	np1	Hermannus	Hermannus	0
Bart	Bart	np1	Bart	Bart	0
a	a	dt	a	a	0
godly	godly	j	godly	godly	0
and	and	cc	and	and	0
devout	devout	j	devout	devout	0
person	person	n1	person	person	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
deceased	deceased	vvn	deceased	decease	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1210.	1210.	crd	1210.	1210.	0
being	being	vbg	being	be	0
interred	interred	vvn	interred	inter	0
at	at	p-acp	at	at	0
Aeon	Aeon	np1	Aeon	Aeon	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
his	his	po31	his	his	0
predecessors	predecessors	n2	predecessors	predecessor	0
were	were	vbdr	were	be	0
.	.	.	.	.	1
The	The	dt	The	the	0
4.	4.	crd	4.	4.	0
was	was	vbds	was	be	0
Hermannus	Hermannus	np1	Hermannus	Hermannus	0
de	de	dt	the	the	0
Saltza	Saltza	np1	Saltza	Saltza	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
thirtie	thirtie	crd	thirtie	thirty	0
yeeres	yeeres	n2	years	year	0
together	together	av	together	together	0
governed	governed	vvn	governed	govern	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
Order	Order	n1	Order	order	0
,	,	,	,	,	0
and	and	cc	and	and	0
managed	managed	vvd	managed	manage	0
the	the	dt	the	the	0
first	first	ord	first	first	0
expedition	expedition	n1	expedition	expedition	0
of	of	pp-f	of	of	0
11	11	d	11	both	0
The	The	dt	The	the	0
first	first	ord	first	first	0
war	war	n1	war	war	0
moved	moved	vvn	moved	move	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Prussian	Prussian	jp	Prussian	prussian	0
infidels	infidels	n2	infidels	infidel	0
,	,	,	,	,	0
anno	anno	fw-la	anno	anno	0
dom	dom	fw-la	dom	dom	0
.	.	.	.	.	1
1239.	1239.	crd	1239.	1239.	1
[	[	[	[	[	0
I.	I.	np1	I.	I.	0
U5	U5	np1	U5	U5	0
-	-	-	-	-	0
]	]	]	]	]	0
warre	warre	n1	war	war	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
infidels	infidels	n2	infidels	infidel	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
and	and	cc	and	and	0
ordained	ordained	vvn	ordained	ordain	0
another	another	j-jn	another	another	0
Master	Master	n1	Master	master	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
Prussia	Prussia	np1	Prussia	Prussia	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
his	his	po31	his	his	0
Deputie	Deputie	n1	Deputy	deputy	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
region	region	n1	region	region	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1239.	1239.	crd	1239.	1239.	0
the	the	pno32	thee	they	0
knights	knights	n2	knights	knight	0
