A	A	dt	A	a	0
large	large	j	large	large	0
Charter	Charter	n1	Charter	charter	0
granted	granted	vvn	granted	grant	0
by	by	p-acp	by	by	0
K.	K.	n1	K.	king	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
4	4	crd	4	4	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
second	second	ord	second	second	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
reigne	reigne	n1	reign	reign	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
resident	resident	j-jn	resident	resident	0
especially	especially	av-j	especially	especial	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Netherland	Netherland	np1	Netherland	Netherlands	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
chusing	chusing	vvg	choosing	choose	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
master	master	n1	master	master	0
and	and	cc	and	and	0
governor	governor	n1	governor	governor	0
among	among	p-acp	among	among	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
governe-ment	governe-ment	j	government	government	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
appointed	appointed	vvn	appointed	appoint	0
unto	unto	p-acp	unto	unto	0
one	one	crd	one	one	0
William	William	np1	William	William	0
Obray	Obray	np1	Obray	Obray	0
:	:	:	:	:	0
with	with	p-acp	with	with	0
expresse	expresse	j	express	express	0
mention	mention	n1	mention	mention	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
autho-ritie	autho-ritie	j	authority	authority	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
.	.	.	.	.	1
Dward	Dward	np1	Dward	Dward	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
1462.	1462.	crd	1462.	1462.	1
France	France	np1	France	France	0
,	,	,	,	,	0
&	&	cc	&	and	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
&	&	cc	&	and	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
al	al	d	all	all	0
those	those	d	those	those	0
which	which	r-crq	which	which	0
shal	shal	vmb	shall	shall	0
see	see	vvi	see	see	0
or	or	cc	or	or	0
heare	heare	vvi	hear	hear	0
these	these	d	these	these	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
sendeth	sendeth	vvz	sends	send	0
greeting	greeting	n1	greeting	greeting	0
,	,	,	,	,	0
&	&	cc	&	and	0
good	good	j	good	good	0
wil	wil	n1	will	will	0
.	.	.	.	.	1
Know	Know	vvb	Know	know	0
ye	ye	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
whereas	whereas	cs	whereas	whereas	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
understood	understood	vvn	understood	understand	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
loving	loving	j-vvg	loving	love	0
and	and	cc	and	and	0
faithfull	faithfull	j	faithful	faithful	0
Counsellors	Counsellors	n2	Counsellors	counselor	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
common	common	j	common	common	0
complaint	complaint	n1	complaint	complaint	0
and	and	cc	and	and	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
many	many	d	many	many	0
vexations	vexations	n2	vexations	vexation	0
,	,	,	,	,	0
griefs	griefs	n2	griefs	grief	0
,	,	,	,	,	0
debates	debates	n2	debates	debate	0
,	,	,	,	,	0
discords	discords	n2	discords	discord	0
,	,	,	,	,	0
annoyes	annoyes	n2	annoys	annoy	0
,	,	,	,	,	0
dissentions	dissentions	n2	dissensions	dissension	0
,	,	,	,	,	0
&	&	cc	&	and	0
damages	damages	n2	damages	damage	0
,	,	,	,	,	0
have	have	vhb	have	have	0
heretofore	heretofore	av	heretofore	heretofore	0
bene	bene	vbn	be	be	0
done	done	vdn	done	do	0
,	,	,	,	,	0
moved	moved	vvn	moved	move	0
,	,	,	,	,	0
committed	committed	vvn	committed	commit	0
,	,	,	,	,	0
and	and	cc	and	and	0
happened	happened	vvd	happened	happen	0
,	,	,	,	,	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
daily	daily	av-j	daily	daily	0
fal	fal	vvi	fall	fall	0
out	out	av	out	out	0
and	and	cc	and	and	0
happen	happen	vvi	happen	happen	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
common	common	j	common	common	0
marchants	marchants	n2	merchants	merchant	0
&	&	cc	&	and	0
mariners	mariners	n2	mariners	mariner	0
,	,	,	,	,	0
our	our	po12	our	our	0
subjects	subjects	n2-jn	subject's	subject	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
realmes	realmes	n2	realms	realm	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
&	&	cc	&	and	0
England	England	np1	England	England	0
,	,	,	,	,	0
&	&	cc	&	and	0
our	our	po12	our	our	0
lordships	lordships	n2	lordship's	lordship	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
and	and	cc	and	and	0
Wales	Wales	np1	Wales	Wales	0
,	,	,	,	,	0
&	&	cc	&	and	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
our	our	po12	our	our	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
seigneuries	seigneuries	n2	seigneuries	seigneury	0
,	,	,	,	,	0
147	147	crd	147	147	0
and	and	cc	and	and	0
territories	territories	n2	territories	territory	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
that	that	cst	that	that	0
good	good	j	good	good	0
discretion	discretion	n1	discretion	discretion	0
and	and	cc	and	and	0
authority	authority	n1	authority	authority	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
bin	bin	vbn	been	be	0
observed	observed	vvn	observed	observe	0
among	among	p-acp	among	among	0
our	our	po12	our	our	0
saide	saide	j-vvn	said	say	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
