The	The	dt	The	the	0
othe	othe	n1	other	oath	0
ministred	ministred	vvn	ministered	minister	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
servants	servants	n2	servants	servant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fellowship	fellowship	n1	fellowship	fellowship	0
.	.	.	.	.	1
E	E	sy	E	e	0
sweare	sweare	vvb	swear	swear	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
contents	contents	n2	contents	content	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
that	that	cst	that	that	0
ye	ye	pn22	you	you	0
shal	shal	vmb	shall	shall	0
wel	wel	av	well	well	0
,	,	,	,	,	0
faithfully	faithfully	av-j	faithfully	faithful	0
and	and	cc	and	and	0
truely	truely	av-j	truly	true	0
,	,	,	,	,	0
and	and	cc	and	and	0
uprightly	uprightly	av-j	uprightly	upright	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
your	your	po22	your	your	0
indevour	indevour	n1	endeavour	endeavour	0
,	,	,	,	,	0
serve	serve	vvb	serve	serve	0
this	this	d	this	this	0
right	right	j-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
company	company	n1	company	company	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
order	order	n1	order	order	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
fellowships	fellowships	n2	fellowships	fellowship	0
Agent	Agent	n1	Agent	agent	0
or	or	cc	or	or	0
Agents	Agents	n2	Agents	agent	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dominions	dominions	n2	dominions	dominion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Emperours	Emperours	n2	Emperors	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
committed	committed	vvn	committed	commit	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
commission	commission	n1	commission	commission	0
,	,	,	,	,	0
com-mandement	com-mandement	j	commandment	commandment	0
,	,	,	,	,	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
his	his	po31	his	his	0
direction	direction	n1	direction	direction	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
obedient	obedient	j	obedient	obedient	0
and	and	cc	and	and	0
faithfull	faithfull	j	faithful	faithful	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
our	our	po12	our	our	0
Agent	Agent	n1	Agent	agent	0
or	or	cc	or	or	0
Agents	Agents	n2	Agents	agent	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
well	well	av	well	well	0
,	,	,	,	,	0
and	and	cc	and	and	0
truely	truely	av-j	truly	true	0
and	and	cc	and	and	0
uprightly	uprightly	av-j	uprightly	upright	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
commission	commission	n1	commission	commission	0
,	,	,	,	,	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
commandement	commandement	n1	commandment	commandment	0
,	,	,	,	,	0
