The	The	dt	The	the	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
M.	M.	n1	M.	m.	0
Stephen	Stephen	np1	Stephen	Stephen	0
Burrough	Burrough	np1	Burrough	Burrough	0
,	,	,	,	,	0
An.	An.	np1	An.	An.	1
1557.	1557.	crd	1557.	1557.	0
from	from	p-acp	from	from	0
Colmogro	Colmogro	n1	Colmogro	colmogro	0
to	to	p-acp	to	to	0
Wardhouse	Wardhouse	np1	Wardhouse	Wardhouse	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
sent	sent	vvn	sent	send	0
to	to	pc-acp	to	to	0
seeke	seeke	vvi	seek	seek	0
the	the	dt	the	the	0
Bona	Bona	fw-la	Bona	bona	0
Esperanza	Esperanza	np1	Esperanza	Esperanza	0
,	,	,	,	,	0
the	the	dt	the	the	0
Bona	Bona	fw-la	Bona	bona	0
Confidentia	Confidentia	np1	Confidentia	Confidentia	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Philip	Philip	n1	Philip	fillip	0
and	and	cc	and	and	0
Mary	Mary	vvi	Marry	marry	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
heard	heard	vvn	herd	hear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
before	before	a-acp	before	before	0
.	.	.	.	.	1
May	May	np1	May	May	0
.	.	.	.	.	1
Pon	Pon	np1	Pon	Pon	0
Sunday	Sunday	np1	Sunday	Sunday	0
the	the	dt	the	the	0
23.	23.	crd	23.	23.	0
of	of	pp-f	of	of	0
May	May	n1	May	may	0
,	,	,	,	,	0
I	I	pns11	I	i	0
departed	departed	vvd	departed	depart	0
23	23	crd	23	23	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Searchthrift	Searchthrift	n1	Searchthrift	searchthrift	0
from	from	p-acp	from	from	0
Colmogro	Colmogro	np1	Colmogro	Colmogro	0
,	,	,	,	,	0
the	the	dt	the	the	0
latitude	latitude	n1	latitude	latitude	0
whereof	whereof	c-crq	whereof	whereof	0
is	is	vbz	is	be	0
64.	64.	crd	64.	64.	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
25.	25.	crd	25.	25.	0
minutes	minutes	n2	minutes	minute	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
variation	variation	n1	variation	variation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
compasse	compasse	n1	compass	compass	0
,	,	,	,	,	0
5.	5.	crd	5.	5.	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
10	10	crd	10	10	0
minutes	minutes	n2	minutes	minute	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
North	North	n1	North	north	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
East	East	n1	East	east	0
.	.	.	.	.	1
Wednesday	Wednesday	np1	Wednesday	Wednesday	0
we	we	pns12	we	we	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Island	Island	n1	Island	island	0
26	26	crd	26	26	0
called	called	vvn	called	call	0
Pozanka	Pozanka	fw-mi	Pozanka	pozanka	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Island	Island	n1	Island	island	0
is	is	vbz	is	be	0
within	within	p-acp	within	within	0
foure	foure	crd	foure	four	0
leagues	leagues	n2	leagues	league	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
barre	barre	n1	bar	bar	0
Berozova	Berozova	np1	Berozova	Berozova	0
.	.	.	.	.	1
It	It	pn31	It	it	0
floweth	floweth	vvz	flows	flow	0
here	here	av	here	here	0
at	at	p-acp	at	at	0
an	an	dt	and	a	0
East	East	n1	East	east	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
South	South	n1	South	south	0
moone	moone	n1	moon	moon	0
full	full	j	full	full	0
sea	sea	n1	sea	sea	0
.	.	.	.	.	1
Saturday	Saturday	np1	Saturday	Saturday	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
we	we	pns12	we	we	0
departed	departed	vvd	departed	depart	0
from	from	p-acp	from	from	0
Pozanka	Pozanka	fw-mi	Pozanka	pozanka	0
,	,	,	,	,	0
29	29	crd	29	29	0
and	and	cc	and	and	0
plied	plied	vvd	plied	ply	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
barre	barre	n1	bar	bar	0
of	of	pp-f	of	of	0
Berdzova	Berdzova	np1	Berdzova	Berdzova	0
Gooba	Gooba	np1	Gooba	Gooba	0
,	,	,	,	,	0
whereupon	whereupon	c-crq	whereupon	whereupon	0
wee	wee	pns12	we	we	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
anker	anker	n1	anchor	anchor	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
lowe	lowe	j	low	low	0
water	water	n1	water	water	0
,	,	,	,	,	0
and	and	cc	and	and	0
sounded	sounded	vvd	sounded	sound	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Barre	Barre	n1	Bar	bar	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
two	two	crd	two	two	0
Skiffes	Skiffes	n2	Skiffs	skiff	0
,	,	,	,	,	0
and	and	cc	and	and	0
found	found	vvd	found	find	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
best	best	js	best	best	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
shoaldest	shoaldest	vv2	shoaldest	shoald	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
barre	barre	n1	bar	bar	0
13.	13.	crd	13.	13.	0
foote	foote	n1	foot	foot	0
water	water	n1	water	water	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
rule	rule	n1	rule	rule	0
.	.	.	.	.	1
It	It	pn31	It	it	0
higheth	higheth	vvz	higheth	high	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
barre	barre	n1	bar	bar	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
spring	spring	n1	spring	spring	0
streames	streames	n2	streams	stream	0
3.	3.	crd	3.	3.	0
foote	foote	n1	foot	foot	0
water	water	n1	water	water	0
:	:	:	:	:	0
and	and	cc	and	and	0
an	an	dt	and	a	0
East	East	n1	East	east	0
Moone	Moone	n1	Moon	moon	0
maketh	maketh	vvz	makes	make	0
a	a	dt	a	a	0
full	full	j	full	full	0
sea	sea	n1	sea	sea	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
barre	barre	n1	bar	bar	0
.	.	.	.	.	1
Sunday	Sunday	np1	Sunday	Sunday	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
wee	wee	pns12	we	we	0
departed	departed	vvd	departed	depart	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
barre	barre	n1	bar	bar	0
3°	3°	n1	3°	3°	0
of	of	pp-f	of	of	0
Berozova	Berozova	np1	Berozova	Berozova	0
,	,	,	,	,	0
and	and	cc	and	and	0
plied	plied	vvd	plied	ply	0
along	along	a-acp	along	along	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
shoalds	shoalds	n2	shoalds	shoald	0
in	in	p-acp	in	in	0
five	five	crd	five	five	0
fadome	fadome	n1	fathom	fathom	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
roade	roade	vvd	road	ride	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
wee	wee	pns12	we	we	0
cast	cast	vvd	cast	cast	0
about	about	a-acp	about	about	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Northwards	Northwards	n2	Northwards	northward	0
,	,	,	,	,	0
and	and	cc	and	and	0
went	went	vvd	went	go	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
hommocke	hommocke	n1	hommocke	hommocke	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
halfe	halfe	j-jn	half	half	0
a	a	dt	a	a	0
mile	mile	n1	mile	mile	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Eastwards	Eastwards	n2-j	Eastwards	eastwards	0
of	of	pp-f	of	of	0
Coya	Coya	np1	Coya	Coya	0
Reca	Reca	np1	Reca	Reca	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hommocke	hommocke	n1	hommocke	hommocke	0
and	and	cc	and	and	0
S.	S.	n1	S.	saint	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
abbey	abbey	n1	abbey	abbey	0
Coia	Coia	np1	Coia	Coia	0
Reca	Reca	np1	Reca	Reca	0
.	.	.	.	.	0
lye	lye	vvb	lie	lie	0
Southsouthwest	Southsouthwest	n1	Southsouthwest	southsouthwest	0
,	,	,	,	,	0
and	and	cc	and	and	0
Northnortheast	Northnortheast	n1	Northnortheast	northnortheast	0
,	,	,	,	,	0
and	and	cc	and	and	0
betweene	betweene	p-acp	between	between	0
[	[	[	[	[	0
I	I	pns11	I	i	0
.	.	.	.	.	0
291	291	crd	291	291	0
,	,	,	,	,	0
]	]	]	]	]	0
them	them	pno32	them	they	0
are	are	vbr	are	be	0
11.	11.	crd	11.	11.	0
leagues	leagues	n2	leagues	league	0
.	.	.	.	.	1
Coia	Coia	np1	Coia	Coia	0
Reca	Reca	np1	Reca	Reca	0
is	is	vbz	is	be	0
halfe	halfe	j-jn	half	half	0
a	a	dt	a	a	0
mile	mile	n1	mile	mile	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Eastwards	Eastwards	n2-j	Eastwards	eastwards	0
of	of	pp-f	of	of	0
Coscaynos	Coscaynos	fw-la	Coscaynos	coscaynos	0
.	.	.	.	.	1
Coscaynos	Coscaynos	fw-la	Coscaynos	coscaynos	0
&	&	cc	&	and	0
the	the	dt	the	the	0
middes	middes	n2-jn	mids	mid	0
of	of	pp-f	of	of	0
Coscaynos	Coscaynos	fw-la	Coscaynos	coscaynos	0
.	.	.	.	.	0
the	the	dt	the	the	0
Island	Island	n1	Island	island	0
called	called	vvd	called	call	0
Mondeustova	Mondeustova	np1	Mondeustova	Mondeustova	0
ostrove	ostrove	vvd	ostrove	ostrove	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
thwart	thwart	j	thwart	thwart	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
barre	barre	n1	bar	bar	0
of	of	pp-f	of	of	0
Berozova	Berozova	np1	Berozova	Berozova	0
