The	The	dt	The	the	0
first	first	ord	first	first	0
voyage	voyage	n1	voyage	voyage	0
made	made	vvd	made	make	0
by	by	p-acp	by	by	0
Master	Master	n1	Master	master	0
Anthonie	Anthonie	np1	Anthonie	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
begun	begun	vvn	begun	begin	0
the	the	dt	the	the	0
twelfth	twelfth	ord	twelfth	twelve	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1557.	1557.	crd	1557.	1557.	1
Irst	Irst	n1	Irst	irst	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
day	day	n1	day	day	0
and	and	cc	and	and	0
yeere	yeere	n1	year	year	0
above	above	a-acp	above	above	0
mentioned	mentioned	vvn	mentioned	mention	0
,	,	,	,	,	0
I	I	pns11	I	i	0
departed	departed	vvd	departed	depart	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Citie	Citie	n1	City	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
day	day	n1	day	day	0
at	at	p-acp	at	at	0
Gravesend	Gravesend	np1	Gravesend	Gravesend	0
embarked	embarked	vvd	embarked	embark	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
good	good	j	good	good	0
shippe	shippe	n1	ship	ship	0
,	,	,	,	,	0
named	named	vvd	nam	name	0
the	the	dt	the	the	0
Primerose	Primerose	n1	Primerose	primerose	0
,	,	,	,	,	0
being	being	vbg	being	be	0
appointed	appointed	vvn	appointed	appoint	0
,	,	,	,	,	0
although	although	cs	although	although	0
unworthy	unworthy	j	unworthy	unworthy	0
,	,	,	,	,	0
chiefe	chiefe	j-jn	chief	chief	0
captaine	captaine	n1	captain	captain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
3	3	crd	3	3	0
good	good	j	good	good	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
the	the	dt	the	the	0
John	John	np1	John	John	0
Evangelist	Evangelist	np1	Evangelist	Evangelist	0
,	,	,	,	,	0
the	the	dt	the	the	0
Anne	Anne	zz	Anne	anne	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Trinitie	Trinitie	np1	Trinitie	Trinity	0
,	,	,	,	,	0
having	having	vhg	having	have	0
also	also	av	also	also	0
the	the	dt	the	the	0
conduct	conduct	n1	conduct	conduct	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
his	his	po31	his	his	0
ambassadour	ambassadour	n1	ambassador	ambassador	0
named	named	vvn	nam	name	0
