A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
Sigismond	Sigismond	np1	Sigismond	Sigismond	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Polonia	Polonia	np1	Polonia	Polonia	0
,	,	,	,	,	0
written	written	vvn	written	write	0
1559.	1559.	crd	1559.	1559.	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
39.	39.	crd	39.	39	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
reigne	reigne	n1	reign	reign	0
to	to	p-acp	to	to	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Majestic	Majestic	j	Majestic	majestic	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
QIgismudus	QIgismudus	np1	QIgismudus	QIgismudus	0
Augustus	Augustus	np1	Augustus	Augustus	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
0	0	crd	0	0	0
Polonia	Polonia	np1	Polonia	Polonia	0
,	,	,	,	,	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Lituania	Lituania	np1	Lituania	Lituania	0
,	,	,	,	,	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
Massovia	Massovia	np1	Massovia	Massovia	0
,	,	,	,	,	0
and	and	cc	and	and	0
Samogetia	Samogetia	np1	Samogetia	Samogetia	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
heire	heire	n1	heir	heir	0
&c.	&c.	av	etc.	etc	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
Princesse	Princesse	n1	Princess	princess	0
Ladie	Ladie	n1	Lady	lady	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Queene	Queene	n1	Queen	queen	0
