A	A	dt	A	a	0
copie	copie	n1	copy	copy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
priviledges	priviledges	n2	privileges	privilege	0
given	given	vvn	given	give	0
by	by	p-acp	by	by	0
Obdolowcan	Obdolowcan	jp	Obdolowcan	obdolowcan	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Hircania	Hircania	np1	Hircania	Hyrcania	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
English	English	jp	English	english	0
merchants	merchants	n2	merchant's	merchant	0
Adventurers	Adventurers	n2	Adventurers	adventurer	0
for	for	p-acp	for	for	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
and	and	cc	and	and	0
Mare	Mare	n1	Mare	mare	0
Caspium	Caspium	np1	Caspium	Caspium	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
the	the	dt	the	the	0
lands	lands	n2	lands	land	0
and	and	cc	and	and	0
countreys	countreys	ng2	countries'	country	0
adjoyning	adjoyning	vvg	adjoining	adjoin	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
obtained	obtained	vvn	obtained	obtain	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Anthonie	Anthonie	np1	Anthonie	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
being	being	vbg	being	be	0
there	there	a-acp	there	there	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
affaires	affaires	n2	affairs	affair	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
company	company	n1	company	company	0
,	,	,	,	,	0
April	April	np1	April	April	0
14.	14.	crd	14.	14.	1
Anno	Anno	fw-la	Anno	anno	0
1563.	1563.	crd	1563.	1563.	1
WE	WE	pns12	WE	we	0
Obdolowcan	Obdolowcan	vvi	Obdolowcan	obdolowcan	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
mightie	mightie	j	mighty	mighty	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
maker	maker	n1	maker	maker	0
of	of	pp-f	of	of	0
heaven	heaven	n1	heaven	heaven	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
appointed	appointed	vvn	appointed	appoint	0
and	and	cc	and	and	0
now	now	av	now	now	0
raigning	raigning	vvg	reigning	reign	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Shirvan	Shirvan	np1	Shirvan	Shirvan	0
and	and	cc	and	and	0
Hircan	Hircan	jp	Hircan	hircan	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
meere	meere	j	mere	mere	0
motion	motion	n1	motion	motion	0
and	and	cc	and	and	0
great	great	j	great	great	0
goodnes	goodnes	n1	goodness	goodness	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
earnest	earnest	j	earnest	earnest	0
sute	sute	n1	suit	suit	0
and	and	cc	and	and	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
favoured	favoured	j-vvn	favoured	favour	0
and	and	cc	and	and	0
welbeloved	welbeloved	j	well-beloved	well-beloved	0
Anthonie	Anthonie	np1	Anthonie	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
,	,	,	,	,	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
and	and	cc	and	and	0
graunted	graunted	vvn	granted	grant	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
Sir	Sir	n1	Sir	sir	0
William	William	np1	William	William	0
Garret	Garret	n1	Garret	garret	0
,	,	,	,	,	0
sir	sir	n1	sir	sir	0
William	William	np1	William	William	0
Chester	Chester	np1	Chester	Chester	0
,	,	,	,	,	0
sir	sir	n1	sir	sir	0
Thomas	Thomas	np1	Thomas	Thomas	0
Lodge	Lodge	vvi	Lodge	lodge	0
,	,	,	,	,	0
M.	M.	n1	M.	m.	0
Richard	Richard	np1	Richard	Richard	0
Mallarie	Mallarie	n1	Mallarie	mallarie	0
,	,	,	,	,	0
and	and	cc	and	and	0
M.	M.	n1	M.	m.	0
Richard	Richard	np1	Richard	Richard	0
Chamberlaine	Chamberlaine	np1	Chamberlaine	Chamberlaine	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
their	their	po32	their	their	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
merchants	merchants	n2	merchant's	merchant	0
Adventurers	Adventurers	n2	Adventurers	adventurer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
free	free	j	free	free	0
libertie	libertie	n1	liberty	liberty	0
,	,	,	,	,	0
safe	safe	j	safe	safe	0
conduct	conduct	n1	conduct	conduct	0
,	,	,	,	,	0
and	and	cc	and	and	0
licence	licence	n1	licence	licence	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
or	or	cc	or	or	0
sende	sende	vvi	send	send	0
their	their	po32	their	their	0
factors	factors	n2	factors	factor	0
in	in	p-acp	in	in	0
trade	trade	n1	trade	trade	0
of	of	pp-f	of	of	0
merchandize	merchandize	n1	merchandise	merchandise	0
into	into	p-acp	into	into	0
our	our	po12	our	our	0
countreys	countreys	ng2	countries'	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
buy	buy	vvi	buy	buy	0
and	and	cc	and	and	0
sell	sell	vvi	fell	sell	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
merchants	merchants	n2	merchant's	merchant	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
either	either	av-d	either	either	0
for	for	p-acp	for	for	0
ready	ready	j	ready	ready	0
money	money	n1	money	money	0
or	or	cc	or	or	0
barter	barter	n1	barter	barter	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
tary	tary	vvi	tarry	tarry	0
and	and	cc	and	and	0
abide	abide	vvi	abide	abide	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
so	so	av	so	so	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
away	away	av	away	away	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
list	list	vvb	list	listen	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
impediment	impediment	n1	impediment	impediment	0
,	,	,	,	,	0
let	let	vvb	let	let	0
,	,	,	,	,	0
or	or	cc	or	or	0
