Distances	Distances	n2	Distances	distance	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
places	places	n2	places	place	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
.	.	.	.	.	1
The	The	dt	The	the	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
Saint	Saint	n1	Saint	saint	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
To	To	p-acp	To	to	0
Colmogro	Colmogro	np1	Colmogro	Colmogro	0
To	To	p-acp	To	to	0
Ustiug	Ustiug	vvg	Ustiug	ustiug	0
To	To	p-acp	To	to	0
Totma	Totma	np1	Totma	Totma	0
To	To	p-acp	To	to	0
Vologhda	Vologhda	np1	Vologhda	Vologhda	0
All	All	d	All	all	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Dwina	Dwina	np1	Dwina	Dwina	0
To	To	pc-acp	To	to	0
Yeraslave	Yeraslave	vvi	Yeraslave	yeraslave	0
To	To	p-acp	To	to	0
Rostove	Rostove	n1	Rostove	rostove	0
To	To	pc-acp	To	to	0
Peraslave	Peraslave	vvi	Peraslave	peraslave	0
To	To	p-acp	To	to	0
Mosko	Mosko	np1	Mosko	Mosko	0
By	By	p-acp	By	by	0
land	land	n1	land	land	0
East	East	n1	East	east	0
and	and	cc	and	and	0
West	West	n1	West	west	0
Baie	Baie	n1	Bay	bay	0
to	to	p-acp	to	to	0
Mosco	Mosco	np1	Mosco	Moscow	0
.	.	.	.	.	0
versts	versts	n2	versts	verst	0
100	100	crd	100	100	0
500	500	crd	500	500	0
250	250	crd	250	250	0
250	250	crd	250	250	0
}	}	}	}	}	0
1100	1100	crd	1100	1100	0
180	180	crd	180	180	0
60	60	crd	60	60	0
60	60	crd	60	60	0
120	120	crd	120	120	0
}	}	}	}	}	0
440	440	crd	440	440	0
The	The	dt	The	the	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
Mosko	Mosko	np1	Mosko	Mosko	0
to	to	p-acp	to	to	0
To	To	p-acp	To	to	0
Moram	Moram	np1	Moram	Moram	0
To	To	p-acp	To	to	0
Smolensko	Smolensko	fw-mi	Smolensko	smolensko	0
Smolensko	Smolensko	fw-mi	Smolensko	smolensko	0
.	.	.	.	.	1
300	300	crd	300	300	0
200	200	crd	200	200	0
The	The	dt	The	the	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
Mosko	Mosko	np1	Mosko	Mosko	0
to	to	p-acp	to	to	0
To	To	pc-acp	To	to	0
Ottver	Ottver	vvi	Ottver	ottver	0
To	To	pc-acp	To	to	0
Torzhoke	Torzhoke	vvi	Torzhoke	torzhoke	0
To	To	p-acp	To	to	0
Wisnovolloko	Wisnovolloko	np1	Wisnovolloko	Wisnovolloko	0
To	To	p-acp	To	to	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
Southeast	Southeast	n1	Southeast	southeast	0
and	and	cc	and	and	0
Northwest	Northwest	av-an	Northwest	northwest	0
Novogrod	Novogrod	av	Novgorod	novgorod	0
.	.	.	.	.	1
}	}	}	}	}	0
45°	45°	n1	45°	45°	0
180	180	crd	180	180	0
60	60	crd	60	60	0
60	60	crd	60	60	0
150	150	crd	150	150	0
The	The	dt	The	the	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
To	To	p-acp	To	to	0
Teseva	Teseva	np1	Teseva	Teseva	0
To	To	p-acp	To	to	0
the	the	dt	the	the	0
Friers	Friers	n2	Friars	friar	0
To	To	p-acp	To	to	0
Yria	Yria	np1	Yria	Yria	0
Niagorod	Niagorod	np1	Niagorod	Niagorod	0
To	To	pc-acp	To	to	0
Narve	Narve	vvi	Narve	narve	0
Southwest	Southwest	np1	Southwest	Southwest	0
and	and	cc	and	and	0
Northeast	Northeast	np1	Northeast	Northeast	0
to	to	pc-acp	to	to	0
Narve	Narve	vvi	Narve	narve	0
.	.	.	.	.	1
}	}	}	}	}	0
165	165	crd	165	165	0
50	50	crd	50	50	0
60	60	crd	60	60	0
4°	4°	n1	4°	4°	0
IS	IS	vbz	IS	be	0
ARTHUR	ARTHUR	np1	ARTHUR	Arthur	0
Em	Em	np1	Em	Em	0
From	From	p-acp	From	from	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
to	to	p-acp	to	to	0
Vobsky	Vobsky	np1	Vobsky	Vobsky	0
,	,	,	,	,	0
is	is	vbz	is	be	0
The	The	dt	The	the	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
Vobski	Vobski	np1	Vobski	Vobski	0
to	to	p-acp	to	to	0
To	To	p-acp	To	to	0
Newhouse	Newhouse	np1	Newhouse	Newhouse	0
To	To	pc-acp	To	to	0
Go	Go	vvi	Go	go	0
ven	ven	c-crq	ven	when	0
on	on	p-acp	on	on	0
ye	ye	pn22	you	you	0
borders	borders	n2	borders	border	0
'	'	'	'	'	0
To	To	p-acp	To	to	0
Wenden	Wenden	np1	Wenden	Wenden	0
To	To	pc-acp	To	to	0
Trecado	Trecado	vvi	Trecado	trecado	0
To	To	p-acp	To	to	0
Newslot	Newslot	np1	Newslot	Newslot	0
To	To	p-acp	To	to	0
Rie	Rie	n1	Rye	rye	0
VARDS	VARDS	npg1	VARDS	vards	0
180.	180.	crd	180.	180.	0
versts	versts	n2	versts	verst	0
by	by	p-acp	by	by	0
East	East	n1	East	east	0
.	.	.	.	.	1
Ry	Ry	zz	Ry	ry	0
in	in	p-acp	in	in	0
Liefland	Liefland	np1	Liefland	Liefland	0
.	.	.	.	.	1
50	50	crd	50	50	0
versts	versts	vvz	versts	verst	0
►	►	sy	►	►	0
Al	Al	d	All	all	0
is	is	vbz	is	be	0
200.	200.	crd	200.	200.	0
versts	versts	n2	versts	verst	0
A.D.	A.D.	np1	A.D.	A.D.	1
1567.	1567.	crd	1567.	1567.	1
To	To	p-acp	To	to	0
To	To	p-acp	To	to	0
To	To	p-acp	To	to	0
To	To	p-acp	To	to	0
The	The	dt	The	the	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
Mosco	Mosco	np1	Mosco	Moscow	0
Costrom	Costrom	np1	Costrom	Costrom	0
Nisnovogrod	Nisnovogrod	np1	Nisnovogrod	Nisnovogrod	0
Cazan	Cazan	np1	Cazan	Cazan	0
Astracan	Astracan	jp	Astracan	astracan	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
Astracan	Astracan	jp	Astracan	astracan	0
.	.	.	.	.	1
}	}	}	}	}	0
2800.	2800.	crd	2800.	2800.	0
versts	versts	vvz	versts	verst	0
The	The	dt	The	the	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
Vologhda	Vologhda	np1	Vologhda	Vologhda	0
to	to	pc-acp	to	to	0
Narve	Narve	vvi	Narve	narve	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
Belozerco	Belozerco	np1	Belozerco	Belozerco	0
140	140	crd	140	140	0
To	To	p-acp	To	to	0
Batag	Batag	n1	Batag	batag	0
80	80	crd	80	80	0
To	To	p-acp	To	to	0
Witergen	Witergen	np1	Witergen	Witergen	0
40	40	crd	40	40	0
To	To	p-acp	To	to	0
Ladiski	Ladiski	np1	Ladiski	Ladiski	0
60	60	crd	60	60	0
To	To	p-acp	To	to	0
Onega	Onega	np1	Onega	Onega	0
lake	lake	n1	lake	lake	0
80	80	crd	80	80	0
To	To	p-acp	To	to	0
Oher	Oher	zz	Oher	oher	0
90	90	crd	90	90	0
To	To	p-acp	To	to	0
Narve	Narve	vvi	Narve	narve	0
180	180	crd	180	180	0
Southwest	Southwest	n1	Southwest	southwest	0
and	and	cc	and	and	0
Northeast	Northeast	np1	Northeast	Northeast	0
}	}	}	}	}	0
770.	770.	crd	770.	770.	0
versts	versts	n2	versts	verst	0
To	To	pc-acp	To	to	0
go	go	vvi	go	go	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
small	small	j	small	small	0
boat	boat	n1	boat	boat	0
within	within	a-acp	within	within	0
to	to	p-acp	to	to	0
Wardh	Wardh	np1	Wardh	Wardh	0
To	To	p-acp	To	to	0
Newnox	Newnox	np1	Newnox	Newnox	0
river	river	n1	river	river	0
'	'	'	'	'	0
To	To	p-acp	To	to	0
Ovsca	Ovsca	np1	Ovsca	Ovsca	0
Gouba	Gouba	np1	Gouba	Gouba	0
To	To	p-acp	To	to	0
Lobshanga	Lobshanga	np1	Lobshanga	Lobshanga	0
To	To	pc-acp	To	to	0
Ovst	Ovst	vv2	Ovst	ovst	0
Navelocki	Navelocki	np1	Navelocki	Navelocki	0
To	To	p-acp	To	to	0
Orlovanos	Orlovanos	np1	Orlovanos	Orlovanos	0
To	To	p-acp	To	to	0
Solvsca	Solvsca	np1	Solvsca	Solvsca	0
Monasterie	Monasterie	n1	Monastery	monastery	0
To	To	p-acp	To	to	0
Candelox	Candelox	np1	Candelox	Candelox	0
To	To	pc-acp	To	to	0
Ovst	Ovst	vv2	Ovst	ovst	0
Colla	Colla	np1	Colla	Colla	0
To	To	p-acp	To	to	0
Zhemaker	Zhemaker	n1	Zhemaker	zhemaker	0
To	To	p-acp	To	to	0
Poganna	Poganna	fw-la	Poganna	poganna	0
Volocki	Volocki	np1	Volocki	Volocki	0
To	To	p-acp	To	to	0
Chibe	Chibe	n1	Chibe	chibe	0
Navolocke	Navolocke	n1	Navolocke	navolocke	0
To	To	p-acp	To	to	0
Kegor	Kegor	np1	Kegor	Kegor	0
the	the	dt	the	the	0
land	land	n1	land	land	0
from	from	p-acp	from	from	0
S.	S.	n1	S.	saint	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
ouse	ouse	n1	ouse	ouse	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
Wardhouse	Wardhouse	np1	Wardhouse	Wardhouse	0
in	in	p-acp	in	in	0
>	>	>	>	>	0
all	all	d	all	all	0
8	8	crd	8	8	0
00	00	crd	00	00	0
.	.	.	.	.	0
versts	versts	vvz	versts	verst	0
Northwest	Northwest	av-an	Northwest	northwest	0
