A	A	dt	A	a	0
note	note	n1	note	note	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
proceeding	proceeding	n-vvg	proceeding	proceed	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
Anthonie	Anthonie	np1	Anthonie	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
,	,	,	,	,	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
arrivall	arrivall	n1	arrival	arrival	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
26.	26.	crd	26.	26.	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
1571	1571	crd	1571	1571	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
his	his	po31	his	his	0
departure	departure	n1	departure	departure	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
the	the	dt	the	the	0
23.	23.	crd	23.	23.	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
1572.	1572.	crd	1572.	1572.	1
He	He	pns31	He	he	0
said	said	vvd	said	say	0
26.	26.	crd	26.	26.	0
day	day	n1	day	day	0
I	I	pns11	I	i	0
arrived	arrived	vvd	arrived	arrive	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
two	two	crd	two	two	0
good	good	j	good	good	0
ships	ships	n2	ships	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Swalow	Swalow	n1	Swallow	swallow	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Harry	Harry	np1	Harry	Harry	0
in	in	p-acp	in	in	0
safetie	safetie	n1	safety	safety	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Baie	Baie	n1	Bay	bay	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
aforesayd	aforesayd	vvn	aforesaid	aforesaid	0
,	,	,	,	,	0
and	and	cc	and	and	0
landed	landed	vvd	landed	land	0
at	at	p-acp	at	at	0
Rose	Rose	n1	Rose	rose	0
Island	Island	n1	Island	island	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
immediately	immediately	av-j	immediately	immediate	0
I	I	pns11	I	i	0
sent	sent	vvd	sent	send	0
away	away	av	away	away	0
my	my	po11	my	my	0
interpreter	interpreter	n1	interpreter	interpreter	0
Daniel	Daniel	np1	Daniel	Daniel	0
Silvester	Silvester	np1	Silvester	Silvester	0
in	in	p-acp	in	in	0
post	post	n1	post	post	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
being	being	vbg	being	be	0
then	then	av	then	then	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
his	his	po31	his	his	0
majestie	majestie	n1	majesty	majesty	0
might	might	vmd	might	may	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
bee	bee	vbi	be	be	0
advertised	advertised	vvn	advertised	advertise	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
arrivall	arrivall	n1	arrival	arrival	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Dominions	Dominions	n2	Dominions	dominion	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
his	his	po31	his	his	0
highnesse	highnesse	n1	highness	highness	0
pleasure	pleasure	n1	pleasure	pleasure	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
further	further	jc	further	further	0
accesse	accesse	n1	access	access	0
.	.	.	.	.	1
And	And	np1	And	And	0
remaining	remaining	vvg	remaining	remain	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Island	Island	n1	Island	island	0
two	two	crd	two	two	0
or	or	cc	or	or	0
three	three	crd	three	three	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
conference	conference	n1	conference	conference	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Agent	Agent	n1	Agent	agent	0
about	about	p-acp	about	about	0
your	your	po22	your	your	0
affaires	affaires	n2	affairs	affair	0
,	,	,	,	,	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
well	well	av	well	well	0
perceive	perceive	vvi	perceive	perceive	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
wordes	wordes	n2	words	word	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Agent	Agent	n1	Agent	agent	0
and	and	cc	and	and	0
others	others	ng2-jn	others	other	0
your	your	po22	your	your	0
servants	servants	n1	servants	servant	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
entred	entred	vvn	entered	enter	0
into	into	p-acp	into	into	0
170	170	crd	170	170	0
great	great	j	great	great	0
perill	perill	n1	peril	peril	0
and	and	cc	and	and	0
danger	danger	n1	danger	danger	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
life	life	n1	life	life	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
reported	reported	vvd	reported	report	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
heard	heard	vvd	herd	hear	0
said	said	vvn	said	say	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
princes	princes	ng1	princes	prince	0
displeasure	displeasure	n1	displeasure	displeasure	0
was	was	vbds	was	be	0
such	such	d	such	such	0
against	against	p-acp	against	against	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
ever	ever	av	ever	ever	0
I	I	pns11	I	i	0
came	came	vvd	came	come	0
into	into	p-acp	into	into	0
his	his	po31	his	his	0
countrey	countrey	n1	country	country	0
againe	againe	av	again	again	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
loose	loose	vvi	lose	loose	0
my	my	po11	my	my	0
head	head	n1	head	head	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
words	words	n2	words	word	0
of	of	pp-f	of	of	0
discouragement	discouragement	n1	discouragement	discouragement	0
.	.	.	.	.	1
Whereat	Whereat	c-crq	Whereat	whereat	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
dis-maid	dis-maid	n1	dismayed	dismayed	0
,	,	,	,	,	0
not	not	xx	not	not	0
knowing	knowing	vvg	knowing	know	0
whether	whether	cs	whither	whether	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
best	best	js	best	best	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
proceed	proceed	vvi	proceed	proceed	0
forwards	forwards	av-j	forward	forward	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
home	home	av-an	home	home	0
againe	againe	av	again	again	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
safegard	safegard	n1	safeguard	safeguard	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
life	life	n1	life	life	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
calling	calling	vvg	calling	call	0
to	to	pc-acp	to	to	0
mind	mind	vvi	mind	mind	0
mine	mine	po11	mine	my	0
innocencie	innocencie	n1	innocence	innocence	0
and	and	cc	and	and	0
good	good	j	good	good	0
meaning	meaning	n1	meaning	meaning	0
,	,	,	,	,	0
and	and	cc	and	and	0
knowing	knowing	vvg	knowing	know	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
offended	offended	vvn	offended	offend	0
his	his	po31	his	his	0
Majestie	Majestie	n1	Majesty	majesty	0
any	any	d	any	any	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
wayes	wayes	n2	ways	way	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
word	word	n1	word	word	0
or	or	cc	or	or	0
