Instructions	Instructions	np1	Instructions	Instructions	0
made	made	vvd	made	make	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
English	English	jp	English	english	0
merchants	merchants	n2	merchant's	merchant	0
for	for	p-acp	for	for	0
discovery	discovery	n1	discovery	discovery	0
of	of	pp-f	of	of	0
new	new	j	new	new	0
trades	trades	n2	trades	trade	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
Richard	Richard	np1	Richard	Richard	0
Gibs	Gibs	np1	Gibs	Gibs	0
,	,	,	,	,	0
William	William	np1	William	William	0
Biggat	Biggat	np1	Biggat	Biggat	0
,	,	,	,	,	0
John	John	np1	John	John	0
Backhouse	Backhouse	np1	Backhouse	Backhouse	0
,	,	,	,	,	0
William	William	np1	William	William	0
Freeman	Freeman	n1	Freeman	freeman	0
,	,	,	,	,	0
John	John	np1	John	John	0
Haly	Haly	np1	Haly	Haly	0
,	,	,	,	,	0
and	and	cc	and	and	0
James	James	np1	James	James	0
Woodcock	Woodcock	n1	Woodcock	woodcock	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
masters	masters	n2	master's	master	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
9	9	crd	9	9	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
barke	barke	n1	bark	bark	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
freighted	freighted	vvn	freighted	freight	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
voiage	voiage	n1	voyage	voyage	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
)	)	)	)	)	0
from	from	p-acp	from	from	0
hence	hence	av	hence	hence	0
to	to	p-acp	to	to	0
S.	S.	n1	S.	saint	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
and	and	cc	and	and	0
backe	backe	av	back	back	0
againe	againe	av	again	again	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
ships	ships	n2	ships	ship	0
being	being	vbg	being	be	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Thames	Thames	np1	Thames	Thames	0
are	are	vbr	are	be	0
presently	presently	av-j	presently	present	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
depart	depart	vvi	depart	depart	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
next	next	ord	next	next	0
apt	apt	j	apt	apt	0
winds	winds	n2	winds	wind	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
serve	serve	vvi	serve	serve	0
thereunto	thereunto	av	thereunto	thereunto	0
:	:	:	:	:	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
Fleet	Fleet	n1	Fleet	fleet	0
afterwards	afterwards	av	afterwards	afterward	0
was	was	vbds	was	be	0
joined	joined	vvn	joined	join	0
M.	M.	n1	M.	m.	0
Christopher	Christopher	np1	Christopher	Christopher	0
Carlisle	Carlisle	np1	Carlisle	Carlisle	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Tyger	Tyger	n1	Tiger	tiger	0
.	.	.	.	.	1
The	The	dt	The	the	0
1	1	crd	1	1	0
of	of	pp-f	of	of	0
June	June	np1	June	June	0
1582.	1582.	crd	1582.	1582.	1
Orasmuch	Orasmuch	av	Orasmuch	orasmuch	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
shippes	shippes	n2	ships	ship	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
purpose	purpose	vvb	purpose	purpose	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Fleete	Fleete	n1	Fleet	fleet	0
together	together	av	together	together	0
for	for	p-acp	for	for	0
Saint	Saint	n1	Saint	saint	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
is	is	vbz	is	be	0
greater	greater	jc	greater	great	0
then	then	cs	then	than	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
time	time	n1	time	time	0
heretofore	heretofore	av	heretofore	heretofore	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
sent	sent	vvn	sent	send	0
thither	thither	av	thither	thither	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
some	some	d	some	some	0
speeches	speeches	n2	speeches	speech	0
are	are	vbr	are	be	0
given	given	vvn	given	give	0
out	out	av	out	out	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
met	met	vvn	met	meet	0
withall	withall	av	withal	withal	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
with	with	p-acp	with	with	0
force	force	n1	force	force	0
&	&	cc	&	and	0
violence	violence	n1	violence	violence	0
will	will	vmb	will	will	0
assault	assault	vvi	assault	assault	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
that	that	cst	that	that	0
good	good	j	good	good	0
3°3	3°3	n1	3°3	3°3	0
[	[	[	[	[	0
I	I	pns11	I	i	0
.	.	.	.	.	0
454.	454.	crd	454.	454.	0
]	]	]	]	]	0
order	order	np1-n	order	order	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
established	established	vvn	established	establish	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
keeping	keeping	vvg	keeping	keep	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
company	company	n1	company	company	0
,	,	,	,	,	0
and	and	cc	and	and	0
uniting	uniting	n-vvg	uniting	unite	0
your	your	po22	your	your	0
forces	forces	n2	forces	force	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
better	better	jc	better	better	0
direction	direction	n1	direction	direction	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
had	had	vhn	had	have	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
navigation	navigation	n1	navigation	navigation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
for	for	c-acp	for	for	0
your	your	po22	your	your	0
more	more	n1	more	moor	0
safety	safety	n1	safety	safety	0
and	and	cc	and	and	0
strength	strength	n1	strength	strength	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
enemie	enemie	n1	enemy	enemy	0
,	,	,	,	,	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
thought	thought	vvn	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
appoint	appoint	vvi	appoint	appoint	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
an	an	dt	and	a	0
Admirall	Admirall	n1	Admiral	admiral	0
and	and	cc	and	and	0
Viceadmirall	Viceadmirall	n1	Viceadmiral	vice-admiral	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
all	all	d	all	all	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
every	every	d	every	every	0
one	one	pi	one	one	0
particularly	particularly	av-j	particularly	particular	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
bound	bound	vvn	bound	bind	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
hundred	hundred	crd	hundred	hundred	0
pounds	pounds	n2	pounds	pound	0
to	to	pc-acp	to	to	0
keepe	keepe	vvi	keep	keep	0
company	company	n1	company	company	0
together	together	av	together	together	0
.	.	.	.	.	1
2	2	crd	2	2	0
Because	Because	p-acp	Because	because	0
the	the	dt	the	the	0
Salomon	Salomon	np1	Salomon	Salomon	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
biggest	biggest	js	biggest	big	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
best	best	js	best	best	0
appointed	appointed	vvn	appointed	appoint	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
