To	To	p-acp	To	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
honourable	honourable	j	honourable	honourable	0
my	my	po11	my	my	0
very	very	j	very	very	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Boris	Boris	np1	Boris	Boris	0
Pheodorowich	Pheodorowich	np1	Pheodorowich	Pheodorowich	0
,	,	,	,	,	0
Master	Master	n1	Master	master	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
horses	horses	n2	horses	horse	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
and	and	cc	and	and	0
mighty	mighty	j	mighty	mighty	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
his	his	po31	his	his	0
Highnesse	Highnesse	n1	Highness	highness	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
Cazan	Cazan	np1	Cazan	Cazan	0
and	and	cc	and	and	0
Astracan	Astracan	jp	Astracan	astracan	0
,	,	,	,	,	0
William	William	np1	William	William	0
Cecill	Cecill	np1	Cecill	Cecill	0
Lord	Lord	n1	Lord	lord	0
Burghley	Burghley	np1	Burghley	Burghley	0
,	,	,	,	,	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
noble	noble	j	noble	noble	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
,	,	,	,	,	0
and	and	cc	and	and	0
Lord	Lord	n1	Lord	lord	0
high	high	j	high	high	0
Treasurer	Treasurer	n1	Treasurer	treasurer	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
sendeth	sendeth	vvz	sends	send	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
Ight	Ight	wd	Ight	ight	0
honourable	honourable	j	honourable	honourable	0
my	my	po11	my	my	0
very	very	j	very	very	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
last	last	ord	last	last	0
returne	returne	n1	return	return	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
merchants	merchants	n2	merchant's	merchant	0
shippes	shippes	n2	ships	ship	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
brought	brought	vvn	brought	bring	0
unto	unto	p-acp	unto	unto	0
my	my	po11	my	my	0
handes	handes	n2	hands	hand	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
Francis	Francis	np1	Francis	Francis	0
Cherrie	Cherrie	n1	Cherry	cherry	0
an	an	dt	and	a	0
English	English	jp	English	english	0
merchant	merchant	n1	merchant	merchant	0
,	,	,	,	,	0
a	a	dt	a	a	0
letter	letter	n1	letter	letter	0
directed	directed	vvn	directed	direct	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
great	great	j	great	great	0
and	and	cc	and	and	0
mightie	mightie	j	mighty	mighty	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
and	and	cc	and	and	0
another	another	j-jn	another	another	0
letter	letter	n1	letter	letter	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
directed	directed	vvn	directed	direct	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
sayd	sayd	vvd	said	say	0
letter	letter	n1	letter	letter	0
written	written	vvn	written	write	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Emperor	Emperor	n1	Emperor	emperor	0
to	to	p-acp	to	to	0
her	her	po31	her	her	0
Majesty	Majesty	n1	Majesty	majesty	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
considerately	considerately	av-j	considerately	considerate	0
and	and	cc	and	and	0
advisedly	advisedly	av-vvn	advisedly	advise	0
by	by	p-acp	by	by	0
her	her	pno31	her	she	0
Highnesse	Highnesse	n1	Highness	highness	0
read	read	vvn	read	read	0
and	and	cc	and	and	0
perused	perused	vvn	perused	peruse	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
complaint	complaint	n1	complaint	complaint	0
against	against	p-acp	against	against	0
Jerome	Jerome	np1	Jerome	Jerome	0
Horsey	Horsey	np1	Horsey	Horsey	0
therein	therein	av	therein	therein	0
comprised	comprised	vvd	comprised	comprise	0
thorowly	thorowly	av-j	thoroughly	thorough	0
examined	examined	vvn	examined	examine	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
turned	turned	vvn	turned	turn	0
the	the	dt	the	the	0
same	same	d	same	same	0
Horsey	Horsey	np1	Horsey	Horsey	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
great	great	j	great	great	0
displeasure	displeasure	n1	displeasure	displeasure	0
.	.	.	.	.	1
I	I	pns11	I	i	0
did	did	vdd	did	do	0
also	also	av	also	also	0
acquaint	acquaint	vvi	acquaint	acquaint	0
our	our	po12	our	our	0
Majesty	Majesty	n1	Majesty	majesty	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
contents	contents	n2	contents	content	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Lordships	Lordships	ng1	Lordship's	lordship	0
letters	letters	n2	letters	letter	0
written	written	vvn	written	write	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
enformed	enformed	vvn	informed	inform	0
her	her	pno31	her	she	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Lordships	Lordships	ng1	Lordship's	lordship	0
honourable	honourable	j	honourable	honourable	0
favour	favour	n1	favour	favour	0
shewed	shewed	vvd	showed	show	0
to	to	p-acp	to	to	0
her	her	po31	her	her	0
Highnesse	Highnesse	n1	Highness	highness	0
merchants	merchants	n2	merchant's	merchant	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
tooke	tooke	vvd	took	take	0
the	the	dt	the	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
most	most	av-ds	most	most	0
gracious	gracious	j	gracious	gracious	0
part	part	n1	part	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
confessed	confessed	vvd	confessed	confess	0
her	her	po31	her	her	0
selfe	selfe	n1	self	self	0
43°	43°	n1	43°	43°	0
....	....	....	....	....	0
15911	15911	crd	15911	15911	0
infinitly	infinitly	av-j	infinitely	infinite	0
beholding	beholding	vvg	beholding	behold	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
honourable	honourable	j	honourable	honourable	0
offices	offices	n2	offices	office	0
done	done	vdn	done	do	0
for	for	p-acp	for	for	0
her	her	po31	her	her	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
she	she	pns31	she	she	0
meant	meant	vvd	meant	mean	0
to	to	pc-acp	to	to	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
by	by	p-acp	by	by	0
her	her	po31	her	her	0
letters	letters	n2	letters	letter	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
written	written	vvn	written	write	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
under	under	p-acp	under	under	0
her	her	po31	her	her	0
princely	princely	j	princely	princely	0
hand	hand	n1	hand	hand	0
and	and	cc	and	and	0
seale	seale	vvi	seal	seal	0
.	.	.	.	.	1
And	And	cc	And	and	0
forasmuch	forasmuch	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
your	your	po22	your	your	0
good	good	j	good	good	0
Lordshippe	Lordshippe	n1	Lordship	lordship	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
handes	handes	n2	hands	hand	0
the	the	dt	the	the	0
protection	protection	n1	protection	protection	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
merchants	merchants	n2	merchant's	merchant	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
redresse	redresse	n1	redress	redress	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
injuries	injuries	n2	injuries	injury	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
,	,	,	,	,	0
or	or	cc	or	or	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
offered	offered	vvn	offered	offer	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
contrary	contrary	n-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
meaning	meaning	n1	meaning	meaning	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
priviledges	priviledges	n2	privileges	privilege	0
and	and	cc	and	and	0
the	the	dt	the	the	0
free	free	j	free	free	0
liberty	liberty	n1	liberty	liberty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
entercourse	entercourse	n1	intercourse	intercourse	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
points	points	n2	points	point	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
hath	hath	vhz	hath	have	0
already	already	av	already	already	0
