A	A	dt	A	a	0
most	most	av-ds	most	most	0
gracious	gracious	j	gracious	gracious	0
Letter	Letter	n1	Letter	letter	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Merchants	Merchants	ng1	Merchant's	merchant	0
Sir	Sir	n1	Sir	sir	0
John	John	np1	John	John	0
Hart	Hart	n1	Heart	hart	0
and	and	cc	and	and	0
his	his	po31	his	his	0
company	company	n1	company	company	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Theodore	Theodore	np1	Theodore	Theodore	0
Ivanowich	Ivanowich	np1	Ivanowich	Ivanowich	0
,	,	,	,	,	0
the	the	dt	the	the	0
King	King	n1	King	king	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
duke	duke	n1	duke	duke	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
upholder	upholder	n1	upholder	upholder	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
He	He	pns31	He	he	0
onely	onely	j	only	only	0
God	God	np1	God	God	0
omnipotent	omnipotent	j	omnipotent	omnipotent	0
before	before	p-acp	before	before	0
all	all	d	all	all	0
eternitie	eternitie	n1	eternity	eternity	0
,	,	,	,	,	0
his	his	po31	his	his	0
will	will	n1	will	will	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
without	without	p-acp	without	without	0
ende	ende	n1	end	end	0
:	:	:	:	:	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
Sonne	Sonne	n1	Son	son	0
,	,	,	,	,	0
and	and	cc	and	and	0
holy	holy	j	holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
we	we	pns12	we	we	0
glorifie	glorifie	vvi	glorify	glorify	0
in	in	p-acp	in	in	0
Trinitie	Trinitie	np1	Trinitie	Trinity	0
.	.	.	.	.	1
Our	Our	po12	Our	our	0
onely	onely	j	only	only	0
God	God	np1	God	God	0
the	the	dt	the	the	0
maker	maker	n1	maker	maker	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
and	and	cc	and	and	0
worker	worker	n1	worker	worker	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
every	every	d	every	every	0
where	where	c-crq	where	where	0
with	with	p-acp	with	with	0
plentifull	plentifull	j	plentiful	plentiful	0
increase	increase	n1	increase	increase	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
cause	cause	n1	cause	cause	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
life	life	n1	life	life	0
to	to	p-acp	to	to	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
love	love	vvi	love	love	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
trust	trust	vvi	trust	trust	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
:	:	:	:	:	0
Our	Our	po12	Our	our	0
onely	onely	j	only	only	0
God	God	np1	God	God	0
which	which	r-crq	which	which	0
inspireth	inspireth	vvz	inspireth	inspire	0
every	every	d	every	every	0
one	one	crd	one	one	0
