A	A	dt	A	a	0
Fleete	Fleete	n1	Fleet	fleet	0
of	of	pp-f	of	of	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
,	,	,	,	,	0
Danes	Danes	np2	Danes	Dane	0
,	,	,	,	,	0
and	and	cc	and	and	0
Flemmings	Flemmings	np2	Flemmings	Fleming	0
,	,	,	,	,	0
arrived	arrived	vvn	arrived	arrive	0
at	at	p-acp	at	at	0
Joppa	Joppa	np1	Joppa	Joppa	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
land	land	n1	land	land	0
,	,	,	,	,	0
the	the	dt	the	the	0
seventh	seventh	ord	seventh	seven	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
Baldwine	Baldwine	np1	Baldwine	Baldwine	0
the	the	dt	the	the	0
second	second	ord	second	second	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Hierusalem	Hierusalem	np1	Hierusalem	Jerusalem	0
.	.	.	.	.	1
Written	Written	j-vvn	Written	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
tenth	tenth	ord	tenth	ten	0
booke	booke	n1	book	book	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Chronicle	Chronicle	n1	Chronicle	chronicle	0
of	of	pp-f	of	of	0
Hierusalem	Hierusalem	np1	Hierusalem	Jerusalem	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
8.	8.	crd	8.	8.	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
Cap.	Cap.	np1	Cap.	Cap.	0
1.	1.	crd	1.	1.	1
T	T	sy	TO	t	0
the	the	dt	the	the	0
same	same	d	same	same	0
time	time	n1	time	time	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
seventh	seventh	ord	seventh	seven	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
raigne	raigne	n1	reign	reign	0
of	of	pp-f	of	of	0
Baldwine	Baldwine	np1	Baldwine	Baldwine	0
the	the	dt	the	the	0
Catholike	Catholike	jp	Catholic	catholic	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Hierusalem	Hierusalem	np1	Hierusalem	Jerusalem	0
,	,	,	,	,	0
a	a	dt	a	a	0
very	very	j	very	very	0
great	great	j	great	great	0
warre-like	warre-like	j	warlike	warlike	0
Fleete	Fleete	n1	Fleet	fleet	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Catholike	Catholike	jp	Catholic	catholic	0
nation	nation	n1	nation	nation	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
about	about	p-acp	about	about	0
seven	seven	crd	seven	seven	0
thousand	thousand	crd	thousand	thousand	0
,	,	,	,	,	0
having	having	vhg	having	have	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
more	more	av-dc	more	more	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
warre	warre	n1	war	war	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
