The	The	dt	The	the	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
entring	entring	n-vvg	entering	enter	0
of	of	pp-f	of	of	0
Soliman	Soliman	np1	Soliman	Soliman	0
the	the	dt	the	the	0
great	great	j	great	great	0
Turke	Turke	np1	Turke	Turk	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
armie	armie	n1	army	army	0
into	into	p-acp	into	into	0
Aleppo	Aleppo	np1	Aleppo	Aleppo	0
in	in	p-acp	in	in	0
Syria	Syria	np1	Syria	Syria	0
,	,	,	,	,	0
marching	marching	vvg	marching	march	0
towards	towards	p-acp	towards	towards	0
Persia	Persia	np1	Persia	Persia	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
Sophie	Sophie	n1	Sophy	sophy	0
,	,	,	,	,	0
the	the	dt	the	the	0
fourth	fourth	ord	fourth	four	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
November	November	np1	November	November	0
,	,	,	,	,	0
1553	1553	crd	1553	1553	0
,	,	,	,	,	0
noted	noted	vvn	noted	note	0
by	by	p-acp	by	by	0
Master	Master	n1	Master	master	0
Anthony	Anthony	np1	Anthony	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
,	,	,	,	,	0
present	present	vvb	present	present	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
time	time	n1	time	time	0
.	.	.	.	.	1
0Here	0Here	np1	0Here	0Here	0
marched	marched	vvd	marched	march	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Signior	Signior	n1	Signior	signior	0
,	,	,	,	,	0
otherwise	otherwise	av	otherwise	otherwise	0
called	called	vvn	called	call	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
Turke	Turke	np1	Turke	Turk	0
,	,	,	,	,	0
6000	6000	crd	6000	6000	0
Esperes	Esperes	n2	Esperes	espere	0
,	,	,	,	,	0
otherwise	otherwise	av	otherwise	otherwise	0
called	called	vvn	called	call	0
light	light	j	light	light	0
horsemen	horsemen	n2	horsemen	horseman	0
very	very	av	very	very	0
brave	brave	j	brave	brave	0
,	,	,	,	,	0
clothed	clothed	vvn	clothed	clothe	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
scarlet	scarlet	n-jn	scarlet	scarlet	0
.	.	.	.	.	1
After	After	p-acp	After	after	0
,	,	,	,	,	0
marched	marched	vvd	marched	march	0
10000	10000	crd	10000	10000	0
men	men	n2	men	man	0
,	,	,	,	,	0
called	called	vvn	called	call	0
Nortans	Nortans	np1	Nortans	Nortans	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
be	be	vbb	be	be	0
tributaries	tributaries	n2-jn	tributaries	tributary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
Turke	Turke	np1	Turke	Turk	0
,	,	,	,	,	0
clothed	clothed	vvn	clothed	clothe	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
yellow	yellow	j-jn	yellow	yellow	0
velvet	velvet	n1	velvet	velvet	0
,	,	,	,	,	0
