A	A	dt	A	a	0
commaundement	commaundement	n1	commandment	commandment	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Byes	Byes	np1	Byes	Byes	0
,	,	,	,	,	0
and	and	cc	and	and	0
Cadies	Cadies	n2	Cadies	cady	0
of	of	pp-f	of	of	0
Metelin	Metelin	np1	Metelin	Metelin	0
and	and	cc	and	and	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
the	the	dt	the	the	0
Cadies	Cadies	n2	Cadies	cady	0
and	and	cc	and	and	0
Byes	Byes	np1	Byes	Byes	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
.	.	.	.	.	1
TO	TO	p-acp	TO	to	0
the	the	dt	the	the	0
Sanjakbies	Sanjakbies	n2	Sanjakbies	sanjakby	0
of	of	pp-f	of	of	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
and	and	cc	and	and	0
Metelin	Metelin	np1	Metelin	Metelin	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Sanjacbies	Sanjacbies	n2	Sanjacbies	sanjacby	0
bordering	bordering	vvg	bordering	border	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
sea-coast	sea-coast	n1	seacoast	sea-coast	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Cadies	Cadies	n2	Cadies	cady	0
in	in	p-acp	in	in	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
and	and	cc	and	and	0
Metelin	Metelin	np1	Metelin	Metelin	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Ermins	Ermins	n2	Ermins	ermine	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
ports	ports	n2	ports	port	0
and	and	cc	and	and	0
coastes	coastes	n2	coasts	coast	0
.	.	.	.	.	1
This	This	d	This	this	0
commaundement	commaundement	n1	commandment	commandment	0
comming	comming	vvg	coming	come	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
know	know	vvb	know	know	0
that	that	d	that	that	0
the	the	dt	the	the	0
Embassadour	Embassadour	n1	Ambassador	ambassador	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
required	required	vvd	required	require	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
our	our	po12	our	our	0
commaundement	commaundement	n1	commandment	commandment	0
that	that	cst	that	that	0
their	their	po32	their	their	0
ships	ships	n2	ships	ship	0
comming	comming	vvg	coming	come	0
