A	A	dt	A	a	0
commaundement	commaundement	n1	commandment	commandment	0
for	for	p-acp	for	for	0
Aleppo	Aleppo	np1	Aleppo	Aleppo	0
.	.	.	.	.	1
WHen	WHen	c-crq	WHen	when	0
my	my	po11	my	my	0
letters	letters	n2	letters	letter	0
shal	shal	vmb	shall	shall	0
come	come	vvi	come	come	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
know	know	vvb	know	know	0
that	that	d	that	that	0
the	the	dt	the	the	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
her	her	po31	her	her	0
Embassador	Embassador	n1	Ambassador	ambassador	0
by	by	p-acp	by	by	0
supplication	supplication	n1	supplication	supplication	0
certified	certified	vvn	certified	certify	0
how	how	c-crq	how	how	0
that	that	d	that	that	0
before	before	p-acp	before	before	0
this	this	d	this	this	0
time	time	n1	time	time	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
given	given	vvn	given	give	0
our	our	po12	our	our	0
commandement	commandement	n1	commandment	commandment	0
that	that	cst	that	that	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
70	70	crd	70	70	0
ducats	ducats	n2	ducats	ducat	0
,	,	,	,	,	0
&	&	cc	&	and	0
other	other	j-jn	other	other	0
marchandize	marchandize	n1	merchandise	merchandise	0
belonging	belonging	vvg	belonging	belong	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
William	William	np1	William	William	0
Barret	Barret	np1	Barret	Barret	0
in	in	p-acp	in	in	0
Aleppo	Aleppo	np1	Aleppo	Aleppo	0
,	,	,	,	,	0
now	now	av	now	now	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
saying	saying	vvg	saying	say	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
Venetian	Venetian	njp	Venetian	venetian	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Venetians	Venetians	njp2	Venetians	venetian	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
find	find	vvi	find	find	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
a	a	dt	a	a	0
Venetian	Venetian	njp	Venetian	venetian	0
,	,	,	,	,	0
my	my	po11	my	my	0
will	will	n1	will	will	0
was	was	vbds	was	be	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
send	send	vvi	send	send	0
all	all	d	all	all	0
his	his	po31	his	his	0
goods	goods	n2-j	goods	good	0
and	and	cc	and	and	0
marchandize	marchandize	n1	merchandise	merchandise	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
port	port	n1	port	port	0
into	into	p-acp	into	into	0
my	my	po11	my	my	0
treasurie	treasurie	n1	treasury	treasury	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
because	because	c-acp	because	because	0
that	that	cst	that	that	0
man	man	n1	man	man	0
was	was	vbds	was	be	0
an	an	dt	and	a	0
Englishman	Englishman	np1	Englishman	Englishman	0
,	,	,	,	,	0
the	the	dt	the	the	0
Embassadour	Embassadour	n1	Ambassador	ambassador	0
required	required	vvd	required	require	0
that	that	cst	that	that	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
goods	goods	n2-j	goods	good	0
might	might	n1	might	might	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
290	290	crd	290	290	0
diminished	diminished	vvn	diminished	diminish	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
restored	restored	vvn	restored	restore	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Englishmen	Englishmen	np1	Englishmen	Englishmen	0
.	.	.	.	.	1
This	This	d	This	this	0
businesse	businesse	n1	business	business	0
was	was	vbds	was	be	0
signified	signified	vvn	signified	signify	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
nine	nine	crd	nine	nine	0
hundred	hundred	crd	hundred	hundred	0
ninety	ninety	crd	ninety	ninety	0
&	&	cc	&	and	0
fourth	fourth	ord	fourth	four	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
Mahomet	Mahomet	np1	Mahomet	Mahomet	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
May	May	vmb	May	may	0
the	the	dt	the	the	0
io	io	zz	io	io	0
day	day	n1	day	day	0
.	.	.	.	.	1
This	This	d	This	this	0
businesse	businesse	n1	business	business	0
[	[	[	[	[	0
II	II	crd	II	two	0
-	-	-	-	-	0
i	i	sy	i	i	0
.	.	.	.	.	1
184.	184.	crd	184.	184.	0
]	]	]	]	]	0
pertaineth	pertaineth	vvz	pertaineth	pertain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
handes	handes	ng1	hands	hand	0
our	our	po12	our	our	0
privilege	privilege	n1	privilege	privilege	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
privilege	privilege	n1	privilege	privilege	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
hands	hands	n2	hands	hand	0
let	let	vvb	let	let	0
this	this	d	this	this	0
matter	matter	n1	matter	matter	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
.	.	.	.	.	1
Against	Against	p-acp	Against	against	0
this	this	d	this	this	0
privilege	privilege	n1	privilege	privilege	0
do	do	vdb	do	do	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
aske	aske	vvb	ask	ask	0
nothing	nothing	pix	nothing	nothing	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
restore	restore	vvb	restore	restore	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
one	one	crd	one	one	0
his	his	po31	his	his	0
goods	goods	n2-j	goods	good	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
command	command	vvb	command	command	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
my	my	po11	my	my	0
com-mandement	com-mandement	j	commandment	commandment	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
you	you	pn22	you	you	0
doe	doe	vdb	do	do	0
according	according	p-acp	according	according	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
according	according	vvg	according	accord	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
certified	certified	vvn	certified	certify	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
privilege	privilege	n1	privilege	privilege	0
,	,	,	,	,	0
peruse	peruse	vvb	peruse	peruse	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
looke	looke	vvb	look	look	0
that	that	cst	that	that	0
nothing	nothing	pix	nothing	nothing	0
be	be	vbb	be	be	0
committed	committed	vvn	committed	commit	0
against	against	p-acp	against	against	0
it	it	pn31	it	it	0
and	and	cc	and	and	0
our	our	po12	our	our	0
