A	A	dt	A	a	0
declaration	declaration	n1	declaration	declaration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
places	places	n2	places	place	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
subscribed	subscribed	vvn	subscribed	subscribe	0
doe	doe	vdb	do	do	0
come	come	vvi	come	come	0
.	.	.	.	.	1
CLoves	CLoves	n2	CLoves	clove	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Maluco	Maluco	np1	Maluco	Maluco	0
,	,	,	,	,	0
Tarenate	Tarenate	n1	Tarenate	tarenate	0
,	,	,	,	,	0
Amboina	Amboina	np1	Amboina	Amboina	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Java	Java	np1	Java	Java	0
.	.	.	.	.	1
Nutmegs	Nutmegs	n2	Nutmegs	nutmeg	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Banda	Banda	np1	Banda	Banda	0
.	.	.	.	.	1
Maces	Maces	n2	Maces	mace	0
from	from	p-acp	from	from	0
Banda	Banda	np1	Banda	Banda	0
,	,	,	,	,	0
Java	Java	np1	Java	Java	0
,	,	,	,	,	0
and	and	cc	and	and	0
Malacca	Malacca	np1	Malacca	Malacca	0
.	.	.	.	.	1
Pepper	Pepper	n1	Pepper	pepper	0
Gawrie	Gawrie	np1	Gawrie	Gawrie	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Cochin	Cochin	np1	Cochin	Cochin	0
.	.	.	.	.	1
Pepper	Pepper	n1	Pepper	pepper	0
common	common	j	common	common	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Malabar	Malabar	np1	Malabar	Malabar	0
.	.	.	.	.	1
Sinnamon	Sinnamon	n1	Cinnamon	cinnamon	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Sedan	Sedan	np1	Sedan	Sedan	0
.	.	.	.	.	1
Tinne	Tinne	n1	Tin	tin	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Malacca	Malacca	np1	Malacca	Malacca	0
.	.	.	.	.	1
Verzini	Verzini	np1	Verzini	Verzini	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
S.	S.	n1	S.	saint	0
