An	An	dt	And	a	0
act	act	n1	act	act	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
exaction	exaction	n1	exaction	exaction	0
of	of	pp-f	of	of	0
money	money	n1	money	money	0
or	or	cc	or	or	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
thing	thing	n1	thing	thing	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
officer	officer	n1	officer	officer	0
for	for	p-acp	for	for	0
licence	licence	n1	licence	licence	0
to	to	pc-acp	to	to	0
traffique	traffique	vvi	traffic	traffic	0
into	into	p-acp	into	into	0
Iseland	Iseland	np1	Iseland	Iseland	0
&	&	cc	&	and	0
Newfoundland	Newfoundland	np1	Newfoundland	Newfoundland	0
,	,	,	,	,	0
made	made	vvn	made	make	0
in	in	p-acp	in	in	0
An.	An.	np1	An.	An.	1
2.	2.	crd	2.	2.	1
Edwardi	Edwardi	fw-la	Edwardi	edwardi	0
sexti	sexti	fw-la	sexti	sexti	0
.	.	.	.	.	1
Orasmuch	Orasmuch	av	Orasmuch	orasmuch	0
as	as	c-acp	as	as	0
within	within	p-acp	within	within	0
these	these	d	these	these	0
few	few	d	few	few	0
yeeres	yeeres	n2	years	year	0
now	now	av	now	now	0
last	last	ord	last	last	0
past	past	vvd	passed	pass	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
have	have	vhi	have	have	0
bene	bene	vbn	be	be	0
levied	levied	vvn	levied	levy	0
,	,	,	,	,	0
perceived	perceived	vvd	perceived	perceive	0
&	&	cc	&	and	0
taken	taken	vvn	taken	take	0
by	by	p-acp	by	by	0
certaine	certaine	j	certain	certain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
officers	officers	n2	officers	officer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Admiraltie	Admiraltie	n1	Admiralty	admiralty	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
Marchants	Marchants	n2	Merchants	merchant	0
,	,	,	,	,	0
and	and	cc	and	and	0
fishermen	fishermen	n2	fishermen	fisherman	0
as	as	c-acp	as	as	0
have	have	vhb	have	have	0
used	used	vvn	used	use	0
and	and	cc	and	and	0
practised	practised	vvd	practised	practise	0
the	the	dt	the	the	0
adventures	adventures	n2	adventures	adventure	0
and	and	cc	and	and	0
journeys	journeys	n2	journeys	journey	0
into	into	p-acp	into	into	0
Iseland	Iseland	np1	Iseland	Iseland	0
,	,	,	,	,	0
New	New	np1	New	New	0
-	-	-	-	-	0
foundland	foundland	n1	foundland	foundland	0
,	,	,	,	,	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
commodious	commodious	j	commodious	commodious	0
for	for	p-acp	for	for	0
fishing	fishing	vvg	fishing	fish	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
getting	getting	n-vvg	getting	get	0
of	of	pp-f	of	of	0
fish	fish	n1	fish	fish	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Seas	Seas	n2	Seas	sea	0
or	or	cc	or	or	0
otherwise	otherwise	av	otherwise	otherwise	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Marchants	Marchants	n2	Merchants	merchant	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
parties	parties	n2	parties	party	0
,	,	,	,	,	0
divers	divers	j	diverse	diverse	0
great	great	j	great	great	0
exactions	exactions	n2	exactions	exaction	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
summes	summes	n2	sums	sum	0
of	of	pp-f	of	of	0
money	money	n1	money	money	0
,	,	,	,	,	0
doles	doles	n2	doles	dole	0
or	or	cc	or	or	0
shares	shares	n2	shares	share	0
of	of	pp-f	of	of	0
fish	fish	n1	fish	fish	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
other	other	j-jn	other	other	0
like	like	j	like	like	0
things	things	n2	things	thing	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
discouragement	discouragement	n1	discouragement	discouragement	0
&	&	cc	&	and	0
hinderance	hinderance	n1	hindrance	hindrance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
Marchants	Marchants	n2	Merchants	merchant	0
and	and	cc	and	and	0
fishermen	fishermen	n2	fishermen	fisherman	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
no	no	dx	no	no	0
little	little	j	little	little	0
dammage	dammage	n1	damage	damage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
,	,	,	,	,	0
and	and	cc	and	and	0
thereof	thereof	av	thereof	thereof	0
also	also	av	also	also	0
great	great	j	great	great	0
