A	A	dt	A	a	0
true	true	j	true	true	0
Report	Report	n1	Report	report	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
late	late	j	late	late	0
discoveries	discoveries	n2	discoveries	discovery	0
,	,	,	,	,	0
and	and	cc	and	and	0
possession	possession	n1	possession	possession	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Crowne	Crowne	n1	Crown	crown	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Newfound	Newfound	j	Newfound	newfound	0
Lands	Lands	n2	Lands	land	0
,	,	,	,	,	0
By	By	p-acp	By	by	0
that	that	cst	that	that	0
valiant	valiant	j	valiant	valiant	0
and	and	cc	and	and	0
worthy	worthy	j	worthy	worthy	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
Gilbert	Gilbert	np1	Gilbert	Gilbert	0
Knight	Knight	n1	Knight	knight	0
.	.	.	.	.	1
Wherein	Wherein	q-crq	Wherein	wherein	0
is	is	vbz	is	be	0
also	also	av	also	also	0
briefly	briefly	av-j	briefly	brief	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
her	her	po31	her	her	0
highnesse	highnesse	n1	highness	highness	0
lawfull	lawfull	j	lawful	lawful	0
Title	Title	n1	Title	title	0
thereunto	thereunto	av	thereunto	thereunto	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
great	great	j	great	great	0
and	and	cc	and	and	0
manifold	manifold	j	manifold	manifold	0
commodities	commodities	n2	commodities	commodity	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
likely	likely	j	likely	likely	0
to	to	pc-acp	to	to	0
grow	grow	vvi	grow	grow	0
therby	therby	av	thereby	thereby	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Realme	Realme	n1	Realm	realm	0
in	in	p-acp	in	in	0
generali	generali	fw-la	generali	generali	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Adventurers	Adventurers	n2	Adventurers	adventurer	0
in	in	p-acp	in	in	0
particular	particular	j	particular	particular	0
:	:	:	:	:	0
Together	Together	av	Together	together	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
easinesse	easinesse	n1	easiness	easiness	0
and	and	cc	and	and	0
short-nesse	short-nesse	j	shortness	shortness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Voyage	Voyage	n1	Voyage	voyage	0
.	.	.	.	.	1
Written	Written	j-vvn	Written	write	0
by	by	p-acp	by	by	0
Sir	Sir	n1	Sir	sir	0
George	George	np1	George	George	0
Peckham	Peckham	np1	Peckham	Peckham	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
adventurer	adventurer	n1	adventurer	adventurer	0
,	,	,	,	,	0
and	and	cc	and	and	0
furtherer	furtherer	n1	furtherer	furtherer	0
of	of	pp-f	of	of	0
Sir	Sir	n1	Sir	sir	0
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
Gilberts	Gilberts	n2	Gilberts	gilbert	0
voyage	voyage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
Newfound	Newfound	j	Newfound	newfound	0
Land.	Land.	n1	Land.	land	1
The	The	dt	The	the	0
first	first	ord	first	first	0
Chapter	Chapter	n1	Chapter	chapter	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
the	the	dt	the	the	0
Argument	Argument	n1	Argument	argument	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Booke	Booke	n1	Book	book	0
is	is	vbz	is	be	0
contained	contained	vvn	contained	contain	0
.	.	.	.	.	1
T	T	sy	TO	t	0
was	was	vbds	was	be	0
my	my	po11	my	my	0
fortune	fortune	n1	fortune	fortune	0
(	(	(	(	(	0
good	good	j	good	good	0
Reader	Reader	n1	Reader	reader	0
)	)	)	)	)	0
not	not	xx	not	not	0
Master	Master	n1	Master	master	0
Ed-many	Ed-many	j	Ed-many	ed-many	0
dayes	dayes	n2	days	day	0
past	past	vvn	passed	pass	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
meete	meete	vvi	meet	meet	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
right	right	j-jn	right	right	0
ward	ward	n1	ward	ward	0
honest	honest	j	honest	honest	0
and	and	cc	and	and	0
discreete	discreete	j	discreet	discreet	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
accompanied	accompanied	vvd	accompanied	accompany	0
that	that	cst	that	that	0
valiant	valiant	j	valiant	valiant	0
and	and	cc	and	and	0
worthy	worthy	j	worthy	worthy	0
Knight	Knight	n1	Knight	knight	0
Sir	Sir	n1	Sir	sir	0
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
Gilbert	Gilbert	np1	Gilbert	Gilbert	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
last	last	ord	last	last	0
journey	journey	n1	journey	journey	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Westerne	Westerne	j	Western	western	0
discoveries	discoveries	n2	discoveries	discovery	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
owner	owner	n1	owner	owner	0
and	and	cc	and	and	0
Captaine	Captaine	n1	Captain	captain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
vessell	vessell	n1	vessel	vessel	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
as	as	a-acp	as	as	0
yet	yet	av	yet	yet	0
returned	returned	vvn	returned	return	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
him	him	pno31	him	he	0
I	I	pns11	I	i	0
understand	understand	vvb	understand	understand	0
that	that	d	that	that	0
Sir	Sir	n1	Sir	sir	0
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
departed	departed	vvd	departed	depart	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
the	the	dt	the	the	0
eleventh	eleventh	ord	eleventh	eleven	0
of	of	pp-f	of	of	0
June	June	np1	June	June	0
last	last	ord	last	last	0
past	past	vvd	passed	pass	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
five	five	crd	five	five	0
sayle	sayle	n1	sail	sail	0
of	of	pp-f	of	of	0
Shippes	Shippes	n2	Ships	ship	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Caushen	Caushen	n1	Caushen	caushen	0
bay	bay	n1	bay	bay	0
neere	neere	av-j	near	near	0
Plim-mouth	Plim-mouth	n1	Plymouth	plymouth	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
best	best	js	best	best	0
forsooke	forsooke	vvd	forsook	forsake	0
his	his	po31	his	his	0
company	company	n1	company	company	0
,	,	,	,	,	0
the	the	dt	the	the	0
thirteenth	thirteenth	ord	thirteenth	thirteenth	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
moneth	moneth	n1	month	month	0
,	,	,	,	,	0
and	and	cc	and	and	0
returned	returned	vvd	returned	return	0
into	into	p-acp	into	into	0
England	England	np1	England	England	0
.	.	.	.	.	1
The	The	dt	The	the	0
other	other	j-jn	other	other	0
foure	foure	crd	foure	four	0
(	(	(	(	(	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
assistance	assistance	n1	assistance	assistance	0
of	of	pp-f	of	of	0
Almighty	Almighty	j-jn	Almighty	almighty	0
God	God	np1	God	God	0
)	)	)	)	)	0
did	did	vdd	did	do	0
arrive	arrive	vvi	arrive	arrive	0
at	at	p-acp	at	at	0
Saint	Saint	n1	Saint	saint	0
Johns	Johns	np1	Johns	Johns	0
Haven	Haven	n1	Haven	haven	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Newfound	Newfound	j	Newfound	newfound	0
89	89	crd	89	89	0
Sir	Sir	n1	Sir	sir	0
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
land	land	n1	land	land	0
,	,	,	,	,	0
the	the	dt	the	the	0
3.	3.	crd	3.	3.	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
last	last	ord	last	last	0
.	.	.	.	.	1
Upon	Upon	p-acp	Upon	upon	0
whose	whose	rg-crq	whose	who	0
