The	The	dt	The	the	0
maners	maners	n2	manners	manner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Savages	Savages	n2-jn	Savages	savage	0
.	.	.	.	.	1
[	[	[	[	[	0
ill	ill	av-jn	ill	ill	0
.	.	.	.	.	1
242.	242.	crd	242.	242.	0
]	]	]	]	]	1
TO	TO	p-acp	TO	to	0
dedare	dedare	n1	dedare	dedare	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Savages	Savages	n2-jn	Savages	savage	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
goodly	goodly	j	goodly	goodly	0
stature	stature	n1	stature	stature	0
,	,	,	,	,	0
and	and	cc	and	and	0
well	well	av	well	well	0
made	made	vvd	made	make	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
very	very	av	very	very	0
white	white	j-jn	white	white	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
all	all	d	all	all	0
naked	naked	j	naked	naked	0
:	:	:	:	:	0
and	and	cc	and	and	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
apparelled	apparelled	vvn	appareled	apparel	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
French	French	jp	French	french	0
are	are	vbr	are	be	0
,	,	,	,	,	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
bee	bee	vbi	be	be	0
as	as	a-acp	as	as	0
white	white	j-jn	white	white	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
fayre	fayre	j	fair	fair	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
paynt	paynt	vvb	paint	paint	0
themselves	themselves	px32	themselves	themselves	0
for	for	p-acp	for	for	0
feare	feare	n1	fear	fear	0
of	of	pp-f	of	of	0
heat	heat	n1	heat	heat	0
and	and	cc	and	and	0
sunne	sunne	n1	sun	sun	0
burning	burning	vvg	burning	burn	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
stead	stead	n1	stead	stead	0
of	of	pp-f	of	of	0
apparell	apparell	n1	apparel	apparel	0
,	,	,	,	,	0
they	they	pns32	they	they	0
weare	weare	vvb	wear	wear	0
skinnes	skinnes	n2	skins	skin	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
like	like	av-j	like	like	0
mantles	mantles	n2	mantles	mantle	0
;	;	;	;	;	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
small	small	j	small	small	0
payre	payre	n1	pair	pair	0
of	of	pp-f	of	of	0
breeches	breeches	n2	breeches	breech	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
they	they	pns32	they	they	0
cover	cover	vvb	cover	cover	0
their	their	po32	their	their	0
privities	privities	n2	privities	privity	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
men	men	n2	men	man	0
as	as	p-acp	as	as	0
women	women	n2	women	woman	0
.	.	.	.	.	1
They	They	pns32	They	they	0
have	have	vhb	have	have	0
hosen	hosen	vvn	hosen	hose	0
and	and	cc	and	and	0
shooes	shooes	n2	shoes	shoe	0
of	of	pp-f	of	of	0
lether	lether	n1	leather	leather	0
excellently	excellently	av-j	excellently	excellent	0
made	made	vvn	made	make	0
.	.	.	.	.	1
And	And	cc	And	and	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
shirts	shirts	n2	shirts	shirt	0
:	:	:	:	:	0
neither	neither	av-dx	neither	neither	0
cover	cover	n1	cover	cover	0
they	they	pns32	they	they	0
