Parescer	Parescer	np1	Parescer	Parescer	0
de	de	fw-fr	de	de	0
Don	Don	n1	DONE	don	0
Alvaro	Alvaro	np1	Alvaro	Alvero	0
Ba^an	Ba^an	n1	Ba^an	ba^an	0
,	,	,	,	,	0
marques	marques	n2	marks	mark	0
de	de	fw-fr	de	de	0
Santa	Santa	np1	Santa	Santa	0
Cruz	Cruz	np1	Cruz	Cruz	0
,	,	,	,	,	0
tocante	tocante	fw-la	tocante	tocante	0
la	la	fw-fr	la	la	0
Armada	Armada	n1	Armada	armada	0
de	de	fw-fr	de	de	0
Francisco	Francisco	np1	Francisco	Francisco	0
Draque	Draque	fw-la	Draque	draque	0
,	,	,	,	,	0
estando	estando	fw-la	estando	estando	0
en	en	fw-fr	en	en	0
las	las	fw-fr	las	las	0
yslas	yslas	fw-fr	yslas	yslas	0
de	de	fw-fr	de	de	0
Vayona	Vayona	np1	Vayona	Vayona	0
:	:	:	:	:	0
Hecha	Hecha	np1	Hecha	Hecha	0
en	en	fw-fr	en	en	0
Lisboa	Lisboa	np1	Lisboa	Lisboa	0
a	a	dt	a	a	0
26	26	crd	26	26	0
de	de	fw-la	de	de	0
Otubre	Otubre	fw-la	Otubre	otubre	0
,	,	,	,	,	0
estilo	estilo	fw-it	estilo	estilo	0
de	de	fw-it	de	de	0
Espanna	Espanna	fw-la	Espanna	espanna	0
de	de	fw-la	de	de	0
1585.	1585.	crd	1585.	1585.	1
O	O	fw-fr	O	o	0
que	que	fw-fr	que	que	0
paresce	paresce	vvi	paresce	paresce	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
podra	podra	fw-fr	podra	podra	0
hazer	hazer	fw-es	hazer	hacer	0
el	el	fw-es	el	el	0
Armada	Armada	n1	Armada	armada	0
Inglese	Inglese	np1	Inglese	Inglese	0
,	,	,	,	,	0
en	en	fw-fr	en	en	0
caso	caso	fw-it	caso	caso	0
que	que	fw-fr	que	que	0
quiere	quiere	fw-fr	quiere	quiere	0
passar	passar	n1	passar	passar	0
a	a	dt	a	a	0
las	las	fw-fr	las	las	0
Indias	Indias	npg1	Indias	India	0
,	,	,	,	,	0
y	y	fw-mi	y	y	0
entrar	entrar	fw-it	entrar	entrar	0
en	en	fw-fr	en	en	0
el	el	fw-es	el	el	0
mar	mar	vvi	mar	mar	0
del	del	fw-it	del	del	0
Sur	Sur	fw-fr	Sur	sur	0
,	,	,	,	,	0
(	(	(	(	(	0
como	como	j	common	common	0
lo	lo	uh	lo	lo	0
ha	ha	uh	would	ha	0
hecho	hecho	fw-it	hecho	hecho	0
otra	otra	fw-fr	otra	otra	0
vez	vez	fw-fr	vez	vez	0
Francisco	Francisco	np1	Francisco	Francisco	0
Draque	Draque	np1	Draque	Draque	0
)	)	)	)	)	0
con	con	vvb	con	con	0
las	las	fw-fr	las	las	0
treynta	treynta	fw-mi	treynta	treynta	0
y	y	zz	y	y	0
dos	dos	vdz	dos	do	0
naves	naves	n2	naves	nave	0
y	y	p-acp	y	in	0
galeones	galeones	n2	galeones	galeone	0
,	,	,	,	,	0
y	y	zz	y	y	0
muchas	muchas	wd	much	muchas	0
lanchas	lanchas	n2	lanchas	lancha	0
y	y	fw-mi	y	y	0
vergantines	vergantines	n1	vergantines	vergantines	0
deremo	deremo	fw-la	deremo	deremo	0
que	que	fw-fr	que	que	0
trae	trae	fw-la	trae	trae	0
,	,	,	,	,	0
y	y	fw-fr	y	y	0
cinco	cinco	n1	cinco	cinco	0
mil	mil	vmb	mil	will	0
hombres	hombres	n2	hombres	hombre	0
de	de	fw-fr	de	de	0
guerra	guerra	fw-mi	guerra	guerra	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
es	es	fw-mi	es	es	0
el	el	fw-es	el	el	0
numero	numero	fw-it	numero	numero	0
que	que	fw-es	que	que	0
a	a	fw-es	a	a	0
los	los	fw-la	los	los	0
de	de	fw-fr	de	de	0
Vayona	Vayona	np1	Vayona	Vayona	0
parescio	parescio	fw-la	parescio	parescio	0
que	que	fw-fr	que	que	0
venian	venian	n1	venian	venian	0
en	en	fw-fr	en	en	0
el	el	fw-es	el	el	0
armada	armada	n1	armada	armada	0
,	,	,	,	,	0
es	es	fw-mi	es	es	0
lo	lo	uh	lo	lo	0
siguiente	siguiente	j	siguiente	siguiente	0
.	.	.	.	.	1
Levera	Levera	np1	Levera	Levera	0
su	su	n1	sum	sum	0
derotta	derotta	fw-it	derotta	derotta	0
al	al	d	all	all	0
Rio	Rio	np1	Rio	Rio	0
de	de	fw-fr	de	de	0
Jenero	Jenero	np1	Jenero	Jenero	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
es	es	fw-fr	es	es	0
en	en	fw-fr	en	en	0
la	la	fw-fr	la	la	0
costa	costa	fw-mi	costa	costa	0
del	del	fw-it	del	del	0
Brasil	Brasil	np1	Brasil	Brasil	0
en	en	fw-fr	en	en	0
23	23	crd	23	23	0
grados	grados	n2	grados	grado	0
de	de	fw-fr	de	de	0
la	la	fw-fr	la	la	0
parte	parte	fw-la	parte	parte	0
del	del	fw-it	del	del	0
Sur	Sur	fw-fr	Sur	sur	0
de	de	fw-fr	de	de	0
la	la	fw-fr	la	la	0
Linea	Linea	fw-la	Linea	linea	0
.	.	.	.	.	1
Es	Es	fw-ge	Es	es	0
puerto	puerto	av	puerto	puerto	0
capaz	capaz	n1	capaz	capaz	0
de	de	fw-fr	de	de	0
muchos	muchos	fw-mi	muchos	muchos	0
navios	navios	fw-mi	navios	navios	0
y	y	fw-mi	y	y	0
muy	muy	fw-es	muy	muy	0
seguro	seguro	fw-la	seguro	seguro	0
,	,	,	,	,	0
adonde	adonde	fw-fr	adonde	adonde	0
se	se	fw-mi	se	se	0
tiene	tiene	fw-it	tiene	tiene	0
agua	agua	fw-la	agua	agua	0
,	,	,	,	,	0
lenna	lenna	fw-es	lenna	lenna	0
,	,	,	,	,	0
y	y	fw-fr	y	y	0
carne	carne	j	carnem	carne	0
:	:	:	:	:	0
y	y	fw-mi	y	y	0
tam	tam	fw-la	tam	tam	0
bien	bien	fw-fr	bien	bien	0
podra	podra	fw-fr	podra	podra	0
tomar	tomar	n1	tomar	tomar	0
harina	harina	fw-la	harina	harina	0
de	de	fw-la	de	de	0
Maiz	Maiz	fw-la	Maiz	maiz	0
en	en	fw-fr	en	en	0
un	un	fw-fr	un	un	0
lugar	lugar	n1	lugar	lugar	0
dos	dos	vdz	dos	do	0
o	o	sy	oh	o	0
tres	tres	fw-la	tres	tres	0
leguas	leguas	fw-la	leguas	leguas	0
del	del	fw-it	del	del	0
dicho	dicho	n1	dicho	dicho	0
puerto	puerto	av	puerto	puerto	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
se	se	fw-la	se	se	0
dize	dize	n1	dize	dize	0
San	San	zz	San	san	0
Vincente	Vincente	np1	Vincente	Vincente	0
.	.	.	.	.	1
Y	Y	zz	Y	y	0
por	por	zz	por	por	0
ser	ser	fw-mi	ser	ser	0
camino	camino	fw-la	camino	camino	0
per	per	fw-la	per	per	0
las	las	fw-la	las	las	0
islas	islas	fw-la	islas	islas	0
de	de	fw-fr	de	de	0
la	la	fw-fr	la	la	0
Madera	Madera	np1	Madera	Madera	0
,	,	,	,	,	0
Canaria	Canaria	np1	Canaria	Canaria	0
,	,	,	,	,	0
y	y	fw-mi	y	y	0
Cabo	Cabo	np1	Cabo	Cabo	0
Verde	Verde	np1	Verde	Verde	0
,	,	,	,	,	0
podra	podra	fw-fr	podra	podra	0
saquear	saquear	n1	saquear	saquear	0
estas	estas	fw-la	estas	estas	0
islas	islas	uh	islas	islas	0
,	,	,	,	,	0
dandole	dandole	vvb	dandole	dandole	0
el	el	fw-es	el	el	0
tiempo	tiempo	fw-it	tiempo	tiempo	0
lugar	lugar	n1	lugar	lugar	0
a	a	dt	a	a	0
ello	ello	n1	ello	ello	0
.	.	.	.	.	1
Desde	Desde	vvd	Desde	desde	0
Vaiona	Vaiona	np1	Vaiona	Vaiona	0
a	a	fw-fr	a	a	0
la	la	fw-fr	la	la	0
isla	isla	fw-fr	isla	isla	0
de	de	fw-fr	de	de	0
Madera	Madera	np1	Madera	Madera	0
con	con	fw-mi	con	con	0
los	los	fw-la	los	los	0
vientos	vientos	fw-es	vientos	vientos	0
Nortes	Nortes	np1	Nortes	Nortes	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
aora	aora	fw-es	aora	aora	0
correran	correran	fw-ge	correran	correran	0
(	(	(	(	(	0
passados	passados	n2	passados	passado	0
los	los	vvn	los	loss	0
vientos	vientos	n2	vientos	viento	0
de	de	fw-fr	de	de	0
Vallee	Vallee	np1	Vallee	Vallee	0
,	,	,	,	,	0
88	88	crd	88	88	0
que	que	fw-fr	que	que	0
aora	aora	fw-mi	aora	aora	0
reynan	reynan	av	reynan	reynan	0
,	,	,	,	,	0
por	por	zz	por	por	0
estar	estar	n1	estar	estar	0
la	la	fw-fr	la	la	0
costa	costa	fw-mi	costa	costa	0
de	de	fw-fr	de	de	0
Espanna	Espanna	fw-la	Espanna	espanna	0
llovida	llovida	fw-la	llovida	llovida	0
)	)	)	)	)	0
yra	yra	n1	yra	yra	0
la	la	fw-fr	la	la	0
Armada	Armada	n1	Armada	armada	0
en	en	fw-fr	en	en	0
seis	seis	n2	seis	sei	0
dias	dias	fw-la	dias	dias	0
;	;	;	;	;	0
de	de	fw-la	de	de	0
alii	alii	fw-la	alii	alii	0
a	a	dt	a	a	0
las	las	fw-la	las	las	0
Canarias	Canarias	np1	Canarias	Canarias	0
en	en	fw-fr	en	en	0
quatro	quatro	fw-la	quatro	quatro	0
,	,	,	,	,	0
y	y	fw-mi	y	y	0
de	de	fw-fr	de	de	0
las	las	fw-fr	las	las	0
Canarias	Canarias	np1	Canarias	Canarias	0
a	a	dt	a	a	0
Cabo	Cabo	np1	Cabo	Cabo	0
verde	verde	vvd	verde	verde	0
en	en	fw-fr	en	en	0
ocho	ocho	fw-es	ocho	ocho	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
son	son	fw-fr	son	son	0
per	per	fw-la	per	per	0
todos	todos	fw-es	todos	todo	0
diez	diez	fw-fr	diez	diez	0
y	y	fw-es	y	y	0
ocho	ocho	fw-es	ocho	ocho	0
dias	dias	fw-la	dias	dias	0
:	:	:	:	:	0
y	y	fw-mi	y	y	0
tardera	tardera	fw-mi	tardera	tardera	0
lo	lo	uh	lo	lo	0
que	que	fw-es	que	que	0
se	se	fw-es	se	se	0
tuviere	tuviere	fw-fr	tuviere	tuviere	0
en	en	fw-fr	en	en	0
saquear	saquear	vvb	saquear	saquear	0
las	las	uh	las	alas	0
islas	islas	uh	islas	islas	0
.	.	.	.	.	1
De	De	fw-fr	De	de	0
Cabo	Cabo	np1	Cabo	Cabo	0
Verde	Verde	np1	Verde	Verde	0
al	al	d	all	all	0
rio	rio	fw-la	rio	rio	0
de	de	fw-fr	de	de	0
Jenero	Jenero	fw-la	Jenero	jenero	0
tardera	tardera	fw-la	tardera	tardera	0
quarenta	quarenta	fw-la	quarenta	quarenta	0
Rio	Rio	np1	Rio	Rio	0
de	de	fw-fr	de	de	0
Jenero	Jenero	fw-la	Jenero	jenero	0
.	.	.	.	.	0
dias	dias	fw-la	dias	dias	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
vernan	vernan	n1	vernan	vernan	0
a	a	dt	a	a	0
ser	ser	fw-es	ser	ser	0
todos	todos	fw-es	todos	todo	0
dos	dos	vdz	dos	do	0
meses	meses	n2	meses	mese	0
:	:	:	:	:	0
por	por	fw-es	por	por	0
manera	manera	fw-la	manera	manera	0
,	,	,	,	,	0
que	que	fw-fr	que	que	0
estando	estando	n1	estando	estando	0
el	el	fw-es	el	el	0
Armada	Armada	n1	Armada	armada	0
todo	todo	fw-es	todo	todo	0
este	este	fw-la	este	este	0
mes	mes	fw-fr	mes	mes	0
en	en	fw-fr	en	en	0
Galicia	Galicia	np1	Galicia	Galicia	0
,	,	,	,	,	0
podra	podra	fw-fr	podra	podra	0
ser	ser	fw-mi	ser	ser	0
en	en	fw-fr	en	en	0
el	el	fw-es	el	el	0
rio	rio	fw-la	rio	rio	0
de	de	fw-fr	de	de	0
Jenero	Jenero	fw-la	Jenero	jenero	0
en	en	fw-fr	en	en	0
fin	fin	fw-fr	fin	fin	0
de	de	fw-fr	de	de	0
Deziembre	Deziembre	np1	Deziembre	Deziembre	0
.	.	.	.	.	1
A	A	dt	A	a	0
la	la	fw-fr	la	la	0
entrada	entrada	fw-la	entrada	entrada	0
de	de	fw-fr	de	de	0
la	la	fw-fr	la	la	0
baia	baia	fw-mi	baia	baia	0
del	del	fw-it	del	del	0
Rio	Rio	np1	Rio	Rio	0
de	de	fw-it	de	de	0
Jenero	Jenero	fw-it	Jenero	jenero	0
ay	ay	uh	ay	ay	0
una	una	fw-la	una	una	0
baxa	baxa	fw-la	baxa	baxa	0
,	,	,	,	,	0
[	[	[	[	[	0
HI	HI	pno31	HIM	he	0
.	.	.	.	.	1
531.	531.	crd	531.	531.	0
]	]	]	]	]	0
adonde	adonde	fw-fr	adonde	adonde	0
con	con	fw-mi	con	con	0
facilidad	facilidad	fw-es	facilidad	facilidad	0
se	se	fw-es	se	se	0
hara	hara	fw-la	hara	hara	0
un	un	fw-fr	un	un	0
fuerte	fuerte	j	fuerte	fuerte	0
