A	A	dt	A	a	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
Master	Master	n1	Master	master	0
William	William	np1	William	William	0
Parker	Parker	np1	Parker	Parker	0
of	of	pp-f	of	of	0
Plim-mouth	Plim-mouth	n1	Plymouth	plymouth	0
gentleman	gentleman	n1	gentleman	gentleman	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Margarita	Margarita	np1	Margarita	Margarita	0
,	,	,	,	,	0
Jamaica	Jamaica	np1	Jamaica	Jamaica	0
,	,	,	,	,	0
Truxillo	Truxillo	np1	Truxillo	Truxillo	0
,	,	,	,	,	0
Puerto	Puerto	np1	Puerto	Puerto	0
de	de	fw-fr	de	de	0
Cavallos	Cavallos	np1	Cavallos	Cavallos	0
situate	situate	vvb	situate	situate	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
bay	bay	n1	bay	bay	0
of	of	pp-f	of	of	0
Honduras	Honduras	np1	Honduras	Honduras	0
,	,	,	,	,	0
and	and	cc	and	and	0
taken	taken	vvn	taken	take	0
by	by	p-acp	by	by	0
sir	sir	n1	sir	sir	0
Anthony	Anthony	np1	Anthony	Anthony	0
Sherley	Sherley	np1	Sherley	Shirley	0
and	and	cc	and	and	0
him	him	pno31	him	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
likewise	likewise	av	likewise	likewise	0
up	up	p-acp	up	up	0
Rio	Rio	np1	Rio	Rio	0
dolce	dolce	fw-it	dolce	dolce	0
:	:	:	:	:	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
returne	returne	n1	return	return	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
valiant	valiant	j	valiant	valiant	0
and	and	cc	and	and	0
happie	happie	j	happy	happy	0
enterprize	enterprize	n1	enterprise	enterprise	0
upon	upon	p-acp	upon	upon	0
Campeche	Campeche	n1	Campeche	campeche	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
Yucatan	Yucatan	np1	Yucatan	Yucatan	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
tooke	tooke	vvd	took	take	0
and	and	cc	and	and	0
sacked	sacked	vvn	sacked	sack	0
with	with	p-acp	with	with	0
sixe	sixe	crd	sixe	six	0
and	and	cc	and	and	0
fifty	fifty	crd	fifty	fifty	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
brought	brought	vvd	brought	bring	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
harbour	harbour	n1	harbour	harbour	0
a	a	dt	a	a	0
Frigat	Frigat	n1	Frigate	frigate	0
laden	laden	vvn	laden	lade	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
tribute	tribute	n1	tribute	tribute	0
,	,	,	,	,	0
and	and	cc	and	and	0
surprized	surprized	vvn	surprised	surprise	0
also	also	av	also	also	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
Sebo	Sebo	np1	Sebo	Sebo	0
.	.	.	.	.	1
N	N	sy	N	n	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1596	1596	crd	1596	1596	0
,	,	,	,	,	0
Master	Master	n1	Master	master	0
William	William	np1	William	William	0
Parker	Parker	np1	Parker	Parker	0
of	of	pp-f	of	of	0
Plimmouth	Plimmouth	np1	Plimmouth	Plymouth	0
gentleman	gentleman	n1	gentleman	gentleman	0
being	being	vbg	being	be	0
furnished	furnished	vvn	furnished	furnish	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
tall	tall	j	tall	tall	0
shippe	shippe	n1	ship	ship	0
and	and	cc	and	and	0
a	a	dt	a	a	0
barke	barke	n1	bark	bark	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
charges	charges	n2	charges	charge	0
,	,	,	,	,	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Prudence	Prudence	n1	Prudence	prudence	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
hundreth	hundreth	ord	hundreth	hundred	0
and	and	cc	and	and	0
twenty	twenty	crd	twenty	twenty	0
tunnes	tunnes	n2	tons	ton	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
himselfe	himselfe	px31	himself	himself	0
went	went	vvd	went	go	0
captaine	captaine	n1	captain	captain	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
barke	barke	n1	bark	bark	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Adventure	Adventure	n1	Adventure	adventure	0
of	of	pp-f	of	of	0
five	five	crd	five	five	0
and	and	cc	and	and	0
twentie	twentie	crd	twentie	twenty	0
tunnes	tunnes	n2	tons	ton	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
was	was	vbds	was	be	0
captain	captain	n1	captain	captain	0
one	one	crd	one	one	0
Richard	Richard	np1	Richard	Richard	0
Hen	Hen	np1	Hen	Hen	0
,	,	,	,	,	0
departed	departed	vvn	departed	depart	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
foresayd	foresayd	j-vvn	foresaid	foresay	0
haven	haven	n1	haven	haven	0
of	of	pp-f	of	of	0
Plimmouth	Plimmouth	np1	Plimmouth	Plymouth	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
November	November	np1	November	November	0
,	,	,	,	,	0
having	having	vhg	having	have	0
one	one	crd	one	one	0
hundreth	hundreth	ord	hundreth	hundred	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
company	company	n1	company	company	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
place	place	n1	place	place	0
where	where	c-crq	where	where	0
wee	wee	pns12	we	we	0
touched	touched	vvd	touched	touch	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Margarita	Margarita	np1	Margarita	Margarita	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Tierra	Tierra	np1	Tierra	Tierra	0
firma	firma	fw-la	firma	firma	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
tooke	tooke	vvd	took	take	0
a	a	dt	a	a	0
Spanish	Spanish	jp	Spanish	spanish	0
gentleman	gentleman	n1	gentleman	gentleman	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
ransome	ransome	n1	ransom	ransom	0
set	set	vvn	set	set	0
at	at	p-acp	at	at	0
libertie	libertie	n1	liberty	liberty	0
Master	Master	n1	Master	master	0
James	James	np1	James	James	0
Willis	Willis	np1	Willis	Willis	0
,	,	,	,	,	0
and	and	cc	and	and	0
five	five	crd	five	five	0
other	other	j-jn	other	other	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
prisoners	prisoners	n2	prisoners	prisoner	0
in	in	p-acp	in	in	0
Cumana	Cumana	np1	Cumana	Cumana	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
otherwise	otherwise	av	otherwise	otherwise	0
were	were	vbdr	were	be	0
never	never	av-x	never	never	0
like	like	j	like	like	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
come	come	vvn	come	come	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
passing	passing	vvg	passing	pass	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
sayled	sayled	vvd	sailed	sail	0
over	over	a-acp	over	over	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Jamaica	Jamaica	np1	Jamaica	Jamaica	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
second	second	ord	second	second	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
we	we	pns12	we	we	0
met	met	vvd	met	meet	0
with	with	p-acp	with	with	0
sir	sir	n1	sir	sir	0
Anthony	Anthony	np1	Anthony	Anthony	0
Sherley	Sherley	np1	Sherley	Shirley	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
before	before	p-acp	before	before	0
our	our	po12	our	our	0
comming	comming	n-vvg	coming	come	0
had	had	vhd	had	have	0
taken	taken	vvn	taken	take	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
towne	towne	n1	town	town	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Island	Island	n1	Island	island	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
now	now	av	now	now	0
almost	almost	av	almost	almost	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
readines	readines	n1	readiness	readiness	0
to	to	pc-acp	to	to	0
depart	depart	vvi	depart	depart	0
.	.	.	.	.	1
And	And	cc	And	and	0
here	here	av	here	here	0
consorting	consorting	j-vvg	consorting	consort	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
we	we	pns12	we	we	0
departed	departed	vvd	departed	depart	0
from	from	p-acp	from	from	0
Jamaica	Jamaica	np1	Jamaica	Jamaica	0
277	277	crd	277	277	0
Margarita	Margarita	np1	Margarita	Margarita	0
.	.	.	.	.	1
Sixe	Sixe	crd	Sixe	six	0
English	English	jp	English	english	0
men	men	n2	men	man	0
redeemed	redeemed	vvn	redeemed	redeem	0
.	.	.	.	.	1
Truxillo	Truxillo	np1	Truxillo	Truxillo	0
the	the	dt	the	the	0
sixt	sixt	ord	sixt	sixth	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
,	,	,	,	,	0
and	and	cc	and	and	0
resolved	resolved	vvd	resolved	resolve	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
strong	strong	j	strong	strong	0
assailed	assailed	vvn	assailed	assail	0
.	.	.	.	.	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
Truxillo	Truxillo	np1	Truxillo	Truxillo	0
neere	neere	av-j	near	near	0
the	the	dt	the	the	0
