Certaine	Certaine	j	Certain	certain	0
rare	rare	j	rare	rare	0
and	and	cc	and	and	0
special	special	j	special	special	0
notes	notes	n2	notes	note	0
most	most	av-ds	most	most	0
properly	properly	av-j	properly	proper	0
belonging	belonging	vvg	belonging	belong	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
Thomas	Thomas	np1	Thomas	Thomas	0
Can	Can	vmb	Can	can	0
dish	dish	n1	dish	dish	0
next	next	ord	next	next	0
before	before	p-acp	before	before	0
described	described	vvd	described	describe	0
;	;	;	;	;	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
heights	heights	n2	heights	height	0
,	,	,	,	,	0
soundings	soundings	n2-vvg	soundings	sounding	0
,	,	,	,	,	0
lyings	lyings	n2-vvg	lyings	lying	0
of	of	pp-f	of	of	0
lands	lands	n2	lands	land	0
,	,	,	,	,	0
distances	distances	n2	distances	distance	0
of	of	pp-f	of	of	0
places	places	n2	places	place	0
,	,	,	,	,	0
the	the	dt	the	the	0
variation	variation	n1	variation	variation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Compasse	Compasse	n1	Compass	compass	0
,	,	,	,	,	0
the	the	dt	the	the	0
just	just	j	just	just	0
length	length	n1	length	length	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
spent	spent	vvn	spent	spend	0
in	in	p-acp	in	in	0
sayling	sayling	vvg	sailing	sail	0
betweene	betweene	p-acp	between	between	0
divers	divers	j	diverse	diverse	0
places	places	n2	places	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
abode	abode	n1	abided	abode	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
the	the	dt	the	the	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
harbour	harbour	n1	harbour	harbour	0
and	and	cc	and	and	0
anckering	anckering	j-vvg	anckering	ancker	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
depths	depths	n2	depths	depth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
observation	observation	n1	observation	observation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
windes	windes	n2	winds	wind	0
on	on	p-acp	on	on	0
severall	severall	j	several	several	0
coastes	coastes	n2	coasts	coast	0
:	:	:	:	:	0
Written	Written	vvn	Written	write	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Thomas	Thomas	np1	Thomas	Thomas	0
Fuller	Fuller	np1	Fuller	Fuller	0
of	of	pp-f	of	of	0
Ipswich	Ipswich	np1	Ipswich	Ipswich	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
Master	Master	n1	Master	master	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
Thomas	Thomas	np1	Thomas	Thomas	0
Candish	Candish	vvb	Candish	candish	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
prosperous	prosperous	j	prosperous	prosperous	0
voyage	voyage	n1	voyage	voyage	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
A	A	dt	A	a	0
note	note	n1	note	note	0
